Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0ABK5	1.2021657222857613e-23	-1.779261307916478	22.92003565936056	down	cysK	bolA	True	True	4.395990856339019e-06	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0AG55	9.798398488843889e-23	-1.8567903487203985	22.00884490229683	down	rplF	purF	True	True	8.791981712678038e-06	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P37685	1.5217518380336303e-22	-1.9625297009064369	21.817656165016135	down	aldB	VRP1	True	True	1.3187972569017059e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0AC33	2.5421776977669616e-22	-2.0461585046196404	21.594794095614276	down	fumA	dps	True	True	1.7583963425356075e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P09394	2.8916833728716823e-22	-1.8548535506766513	21.53884926218758	down	glpQ	nagE	True	True	2.1979954281695095e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0ABT2	3.3514983960027246e-22	-1.8531124550359444	21.474760984119676	down	dps	cysK	True	True	2.6375945138034118e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A6Z3	4.469665085124143e-22	-1.8543591289147976	21.349725017613423	down	htpG	hfq	True	True	3.0771935994373134e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0AD49	8.549778596421623e-22	-2.1787496073381334	21.068045131540522	down	raiA	ydjA	True	True	3.516792685071215e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P77674	9.577119010881118e-22	-1.8892228777877556	21.01876511574928	down	patD	ydgJ	True	True	3.9563917707051173e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P38249	1.1266542577528304e-21	1.0630881297465535	20.948209337713443	up	RPG1	MUM2	True	True	4.395990856339019e-05	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	randomforest	0.5
P27302	1.1909791241830267e-21	-1.9349206678015491	20.924095850886303	down	tktA	RPS7A	True	True	4.835589941972921e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A6M8	1.2365123813200017e-21	-1.8807491667669645	20.907801530647582	down	fusA	deoB	True	True	5.2751890276068236e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0AC38	1.4819146026131706e-21	-1.879632872059915	20.829176822458216	down	aspA	menB	True	True	5.7147881132407245e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P00350	1.8440800193164746e-21	-1.9285380853305085	20.734220237732718	down	gnd	LDHA	True	True	6.154387198874627e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P39676	1.897726171727077e-21	1.0480978656829123	20.721766452966317	up	YHB1	LAA1	True	True	6.593986284508528e-05	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	randomforest	0.5
P0A853	2.114500172785087e-21	-1.57480237144161	20.67479227502897	down	tnaA	metK	True	True	7.03358537014243e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A8N3	2.696818366836248e-21	-1.7633660767130515	20.56914830268952	down	lysS	yaeP	True	True	7.473184455776332e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A9Q7	2.9488108848061404e-21	-1.9347413302571503	20.530353079031364	down	adhE	gpt	True	True	7.912783541410235e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P69783	2.988114379468336e-21	-1.8589299573646443	20.524602782552353	down	crr	rplY	True	True	8.352382627044137e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
Q07878	3.664313873774428e-21	1.0718022993926724	20.436007333090984	up	VPS13	TPO1	True	True	8.791981712678038e-05	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	randomforest	0.5
P0A7V8	4.283708147812998e-21	-1.9454990664611174	20.368180125634773	down	rpsD	rpsP	True	True	9.23158079831194e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A9B2	4.982037462056789e-21	-1.7892808081668576	20.302593011142474	down	gapA	cspE	True	True	9.671179883945843e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P37330	5.1188245537304805e-21	-1.8780169512138372	20.290829755515684	down	glcB	SHM2	True	True	0.00010110778969579745	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A6P9	5.633828227219778e-21	-1.8542803436112578	20.249196398583443	down	eno	fusA	True	True	0.00010550378055213647	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P21954	6.0715995414525235e-21	0.9529547761879655	20.216696880503996	up	IDP1	UBC1	True	True	0.00010989977140847547	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	randomforest	0.5
P0A7D4	7.272311218150795e-21	-1.914019575326268	20.13832754378039	down	purA	ppa	True	True	0.00011429576226481449	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0AEX9	8.308292468418101e-21	-1.883628728532699	20.080488223838376	down	malE	hdhA	True	True	0.00011869175312115351	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P02359	1.159112398039453e-20	-1.8314752236499743	19.935874448866844	down	rpsG	HHF1	True	True	0.00012308774397749254	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P07395	1.162658744028356e-20	-1.9177258179744427	19.934547737836848	down	pheT	ILV2	True	True	0.00012748373483383157	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P36139	1.2700834631107389e-20	1.0481172969362262	19.896167738589387	up	PET10	DBP7	True	True	0.00013187972569017056	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	randomforest	0.5
P39935	1.370020163356454e-20	0.9983399728921043	19.86327304104067	up	TIF4631	CUX1	True	True	0.0001362757165465096	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	randomforest	0.5
P0AFG8	1.4524547473155728e-20	-1.899916560982561	19.837897389607022	down	aceE	nuoB	True	True	0.0001406717074028486	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
