protein	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00722	867760.6313641616	927800.44560778	1054447.654076392	872307.8653364953	929232.9857507682	874351.409608217	922333.9763965968	947557.290671329	939385.8691209432	3521477.867983064	3724813.741548108	3685922.4923702055	3676215.645097433	3506864.3909105463	3701460.67344836	3611569.0247009126	3665293.3117584023	3662541.514416545	0	3.5540406165716274e-21	-1.9744812450935034	True	4.747887190200361e-06	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0ACY1	65535.17612585469	63663.147363853815	60762.96877693185	51891.08670709628	76927.14147571682	68787.93984397064	78062.38964204164	64741.293285485626	59391.08752948148	315189.53918235144	296303.614537002	318777.3146771215	322426.9310208229	313425.3666779137	309575.1561883714	320018.0753667153	312733.7698516681	304021.4981848397	0	1.209795321609933e-20	-2.2536330186151927	True	9.495774380400722e-06	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P37330	573457.4197078996	646298.5794276099	579607.9097983821	535870.6804449625	655778.9358203526	521061.6554355745	626974.0281613393	587318.2439244479	568827.4019403947	2185354.9145407723	2231215.678635847	2178614.452295892	2245337.8123759124	2331192.380145893	2251016.543292164	2242720.18014708	2249320.05221155	2362995.975328403	0	6.400221933610097e-20	-1.9371431818312739	True	1.4243661570601084e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0AG67	1900284.7246825928	2163728.943757638	2279627.476214024	2079804.730493852	2229111.4846527507	2191498.798679651	2194554.206772784	2187537.9960268834	1920202.9407724396	8226203.458884082	8085468.247734195	8193497.202926776	8216907.449838257	8466451.41055147	8719563.243982166	8485182.49273717	8418173.215198258	8489117.4311528	0	6.826398978828798e-20	-1.9755911880074362	True	1.8991548760801443e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0AC53	80016.7867006415	73856.640154048	111137.45435423429	77767.9864640546	79842.81687665376	75557.92810951633	98094.6315228483	77662.68363945563	76351.19224898153	418234.4841363998	409514.8367376632	383365.2635586853	397914.7558267282	413425.704964728	397262.5291223349	406709.3052237147	421527.07916064345	427807.5317090864	0	3.735733042958677e-19	-2.2925265371892496	True	2.3739435951001804e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P00956	162624.3336480915	163417.33542512837	184075.36554279824	110305.1614047184	181503.52530343045	165600.26809730413	162095.8029652967	184832.37922490196	176041.46581906232	793984.0735386269	772142.6945260537	804622.9768649886	778685.0616293737	831959.4035587788	799362.7312360662	839958.9897763669	852204.1932812779	800541.723904993	0	4.75435426891194e-19	-2.2868500343936944	True	2.8487323141202168e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P33570	293766.548582463	335178.2448923314	342850.99992725905	268735.1465429045	287482.2819844639	283837.11123565584	275168.9624070954	379881.6620936837	295968.6360726258	1160750.5090799506	1183473.1576594294	1122078.6001360065	1185512.2698543302	1194296.755102302	1218428.0113193996	1160523.0868711118	1121080.271072847	1222650.859419285	0	5.786978371534953e-19	-1.9355713211411212	True	3.323521033140253e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0AEM9	659261.1243997867	637156.7007230312	572329.4670159064	623144.9287665182	573600.7877452709	536885.0133089555	638819.070884235	622036.8169392318	616827.5330295734	2147690.9246554626	2080520.0928392184	2096458.857193036	2112617.100329582	2180755.014885084	2223986.4115225305	2231129.836571204	2167785.9977917257	2077378.2007516664	0	8.647560864335181e-19	-1.8177058449557404	True	3.7983097521602886e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P04079	215315.6514915697	179865.80835569484	179721.7551732755	174738.43660279986	165298.76235258154	195792.45521180212	154005.5180168717	126242.57268486771	182084.5530245535	807157.8358665701	761920.1108092555	739750.5275762588	799154.3617892779	806157.1447384809	807679.4176182067	816168.6059109395	813092.3536449652	832047.4557792755	0	1.3777206699380147e-18	-2.191033431069629	True	4.273098471180325e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P27298	336018.1222091	370850.6681320972	378126.29219338286	323109.9918257316	401720.307243218	333362.1667160796	342797.769640448	362889.6667536005	324893.4861941691	1316168.7863269614	1360204.5074232507	1314084.9048203756	1420114.7825229156	1408680.536228521	1384225.8258160464	1411116.0533919437	1370853.7790894057	1409711.450456749	0	1.4717819182832166e-18	-1.9655081758017554	True	4.747887190200361e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
