Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00722	BGAL_ECOLI	lacZ	Beta-galactosidase	17	17.0	316532.0	336768.0	374305.0	288080.0	339391.0	312051.0	341763.0	354802.0	326999.0	1191500.0	1230130.0	1228930.0	1244120.0	1196440.0	1240470.0	1193070.0	1179840.0	1222320.0	0	7.151992032638346e-22	-1.8693228356900047	True	4.859086491739553e-06	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P16659	SYP_ECOLI	proS	Proline--tRNA ligase	17	17.0	90035.6	89008.8	90951.9	78827.0	72820.3	85936.0	74951.7	79472.1	85893.5	323043.0	317809.0	331097.0	329263.0	334182.0	341306.0	331438.0	334627.0	323289.0	0	9.255690653347661e-22	-1.987633554980073	True	9.718172983479106e-06	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P24182	ACCC_ECOLI	accC	Biotin carboxylase	7	7.0	43128.1	41601.1	45101.9	39848.9	35406.0	43467.0	36858.1	44767.8	39817.3	154562.0	147824.0	152862.0	153981.0	154717.0	150993.0	155730.0	149544.0	147380.0	0	2.173730780243162e-21	-1.8860565845842572	True	1.4577259475218661e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P37330	MASZ_ECOLI	glcB	Malate synthase G	15	15.0	106817.0	107387.0	101943.0	95462.5	100448.0	91432.0	105508.0	99611.6	97309.5	363257.0	354899.0	374971.0	372160.0	380509.0	368615.0	376634.0	372952.0	362302.0	0	3.699614137056277e-20	-1.8764645279299539	True	1.9436345966958212e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P08518	RPB2_YEAST	RPB2	DNA-directed RNA polymerase II subunit RPB2	22	22.0	262459.0	271579.0	275826.0	263529.0	259465.0	267966.0	260533.0	263861.0	265338.0	121705.0	124896.0	128463.0	117668.0	127355.0	127297.0	122496.0	119541.0	127713.0	0	1.8854607277505287e-19	1.097543954769944	True	2.4295432458697766e-05	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P60906	SYH_ECOLI	hisS	Histidine--tRNA ligase	5	5.0	38861.3	45926.9	41512.1	40965.5	38849.5	40648.8	36902.2	45451.1	41831.0	154285.0	153874.0	147912.0	158214.0	159408.0	159273.0	157532.0	159083.0	161948.0	0	1.9939997636066155e-19	-1.9279683465572401	True	2.9154518950437323e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P68919	RL25_ECOLI	rplY	Large ribosomal subunit protein bL25	5	5.0	252250.0	252646.0	272616.0	206407.0	241702.0	250044.0	233514.0	261940.0	232183.0	720097.0	718138.0	750327.0	739941.0	769809.0	760995.0	770805.0	771704.0	751848.0	0	2.0705450005453353e-19	-1.6160031514617148	True	3.4013605442176877e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A6Q3	FABA_ECOLI	fabA	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	3	3.0	98774.0	96855.6	101325.0	85249.0	101685.0	103427.0	86802.0	98751.7	72097.6	410091.0	401221.0	405955.0	394425.0	430675.0	396892.0	421801.0	406708.0	392850.0	0	2.2225414567790966e-19	-2.115120497819512	True	3.8872691933916424e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P02925	RBSB_ECOLI	rbsB	Ribose import binding protein RbsB	14	14.0	2299900.0	2117680.0	2147730.0	2021790.0	1992030.0	1900660.0	1985950.0	2181810.0	1984140.0	7032040.0	6974790.0	6837230.0	7454750.0	7147960.0	7142400.0	7281820.0	7113630.0	6995080.0	0	2.5084975877508136e-19	-1.7798556868498079	True	4.373177842565598e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	12	12.0	63023.9	52937.7	51287.5	54303.8	52565.3	54157.1	45266.4	38272.3	52321.2	227155.0	208887.0	219009.0	220068.0	227659.0	214925.0	228011.0	219553.0	231712.0	0	4.410136670274663e-19	-2.1052021409279518	True	4.859086491739553e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
