Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P27550	6.285813384886557e-23	-2.139866053478144	22.201638516591913	down	acs	MAPK3	True	True	6.025548324897566e-06	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P0CE47;P0CE48	7.764048629304961e-23	-2.0762219633247625	22.10991175311718	down	tufA;tufB	TY2A-C;TY2A-DR1;TY2A-DR3;TY2A-F;TY2A-GR2;TY2A-LR1;TY2A-OR1;TY2A-OR2	True	True	1.2051096649795132e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P0A6M8	8.081563600736468e-23	-2.123555464410668	22.09250460488435	down	fusA	cmk	True	True	1.80766449746927e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P0AEE5	1.4091530454568525e-22	-2.1369931867593017	21.851041836423757	down	mglB	aphA	True	True	2.4102193299590263e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P0AC38	3.6521483392509087e-22	-2.0402679787534943	21.43745159104744	down	aspA	menB	True	True	3.012774162448783e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P36683	6.101118090660346e-22	-2.1516316430418527	21.214590568906022	down	acnB	MRPL3	True	True	3.61532899493854e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P0A7K2	9.227690756981673e-22	-2.1098818567986584	21.034906968202396	down	rplL	rbfA	True	True	4.2178838274282964e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P09394	1.0781449639810433e-21	-2.10052006618735	20.967322841353038	down	glpQ	GSTP1	True	True	4.8204386599180526e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P0A799	2.1561312735738727e-21	-2.0641700893237314	20.666324801160076	down	pgk	ndk	True	True	5.4229934924078095e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P0A6X7	2.4918697725450365e-21	-2.205669432566495	20.60347465805738	down	ihfA	galK	True	True	6.025548324897566e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P16861	2.5987779928759377e-21	1.086350174628791	20.585230819609073	up	PFK1	FER	True	True	6.628103157387323e-05	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	None	0.5
P09373	3.0074775660645427e-21	-2.117425940805223	20.521797603546126	down	pflB	SRP19	True	True	7.23065798987708e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P0AD61	3.021192275526115e-21	-2.285195382847462	20.519821634361694	down	pykF	ydjA	True	True	7.833212822366836e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
Q07551	3.119402813735944e-21	1.0702547921684733	20.50592854044416	up	YDL124W	YET3	True	True	8.435767654856593e-05	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	None	0.5
P0AEX9	3.825132861700329e-21	-2.073582446927869	20.417353475516585	down	malE	gyrA	True	True	9.038322487346348e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P0A7V3	3.937955812511558e-21	-2.144551400068245	20.404729161354343	down	rpsC	rpsM	True	True	9.640877319836105e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P0A9Q7	5.3454348382792414e-21	-2.1537737783809554	20.272016960205658	down	adhE	lon	True	True	0.00010243432152325862	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P0ABK5	5.913318189795491e-21	-2.0929059775816654	20.228168751416177	down	cysK	accB	True	True	0.00010845986984815619	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P00350	8.297382723838141e-21	-2.130508295341631	20.081058877244143	down	gnd	LDHA	True	True	0.00011448541817305376	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
Q46938	8.8647940006906e-21	-2.011578880823393	20.052331352043076	down	kduI	VMA21	True	True	0.00012051096649795132	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P77674	9.960464851449671e-21	-2.0572933012436785	20.001720392730064	down	patD	nemA	True	True	0.00012653651482284888	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
P23847	1.318233321385635e-20	-2.2349594758190108	19.88000771476305	down	dppA	PRE7	True	True	0.00013256206314774647	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	None	0.5
