Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P33570	3.80650946790672e-24	-2.3521841699536417	23.419473085651433	down	tktB	PGM1	True	True	5.516328331862313e-06	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P27550	6.285813384886557e-23	-2.139866053478155	22.201638516591913	down	acs	MAPK3	True	True	1.1032656663724626e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0CE47;P0CE48	7.764048629304961e-23	-2.0762219633247625	22.10991175311718	down	tufA;tufB	TY2A-C;TY2A-DR1;TY2A-DR3;TY2A-F;TY2A-GR2;TY2A-LR1;TY2A-OR1;TY2A-OR2	True	True	1.654898499558694e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0A6M8	8.081563600736468e-23	-2.123555464410668	22.09250460488435	down	fusA	cmk	True	True	2.2065313327449252e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0AEE5	1.4091530454568525e-22	-2.1369931867593017	21.851041836423757	down	mglB	aphA	True	True	2.7581641659311563e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0A6Y5	2.205954617879245e-22	-5.706721077148686	21.656403426350657	down	hslO	glgC	True	True	3.309796999117388e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P00968	3.559321850927021e-22	-2.3945418890191306	21.448632739233663	down	carB	glnS	True	True	3.861429832303619e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0AC38	3.6521483392509087e-22	-2.0402679787534908	21.43745159104744	down	aspA	menB	True	True	4.4130626654898504e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P36683	6.101118090660346e-22	-2.151631643041849	21.214590568906022	down	acnB	MRPL3	True	True	4.964695498676081e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0A7K2	9.227690756981673e-22	-2.109881856798662	21.034906968202396	down	rplL	rbfA	True	True	5.5163283318623126e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P09394	1.0781449639810433e-21	-2.1005200661873467	20.967322841353038	down	glpQ	GSTP1	True	True	6.067961165048544e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0A799	2.1561312735738727e-21	-2.064170089323728	20.666324801160076	down	pgk	ndk	True	True	6.619593998234776e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0A6X7	2.4918697725450365e-21	-2.2056694325664985	20.60347465805738	down	ihfA	galK	True	True	7.171226831421006e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P16861	2.5987779928759377e-21	1.086350174628791	20.585230819609073	up	PFK1	FER	True	True	7.722859664607238e-05	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	knn	0.5
P09373	3.0074775660645427e-21	-2.1174259408052265	20.521797603546126	down	pflB	SRP19	True	True	8.274492497793469e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0AD61	3.021192275526115e-21	-2.2851953828474585	20.519821634361694	down	pykF	ydjA	True	True	8.826125330979701e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
Q07551	3.119402813735944e-21	1.0702547921684697	20.50592854044416	up	YDL124W	YET3	True	True	9.377758164165932e-05	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	knn	0.5
P0AEX9	3.825132861700329e-21	-2.073582446927869	20.417353475516585	down	malE	gyrA	True	True	9.929390997352162e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0A7V3	3.937955812511558e-21	-2.1445514000682486	20.404729161354343	down	rpsC	rpsM	True	True	0.00010481023830538394	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0A9Q7	5.3454348382792414e-21	-2.1537737783809554	20.272016960205658	down	adhE	lon	True	True	0.00011032656663724625	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0AEZ3	5.626040809810423e-21	-2.5992135764219384	20.24979712190221	down	minD	gyrB	True	True	0.00011584289496910857	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0ABK5	5.913318189795491e-21	-2.0929059775816654	20.228168751416177	down	cysK	accB	True	True	0.00012135922330097088	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P00350	8.297382723838141e-21	-2.130508295341631	20.081058877244143	down	gnd	LDHA	True	True	0.0001268755516328332	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
Q46938	8.8647940006906e-21	-2.0115788808234	20.052331352043076	down	kduI	VMA21	True	True	0.00013239187996469553	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P77674	9.960464851449671e-21	-2.057293301243675	20.001720392730064	down	patD	nemA	True	True	0.0001379082082965578	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P23847	1.318233321385635e-20	-2.2349594758190143	19.88000771476305	down	dppA	PRE7	True	True	0.00014342453662842013	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P06105	1.6417227535192607e-20	1.0493113643627865	19.784700182650802	up	SCP160	TPK3	True	True	0.00014894086496028246	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	knn	0.5
P0A6P9	1.8608042949149632e-20	-2.177611694661355	19.73029930022111	down	eno	fusA	True	True	0.00015445719329214476	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P31539	2.0661909698268766e-20	1.0641626128765402	19.68482954084683	up	HSP104	PSK1	True	True	0.00015997352162400708	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	knn	0.5
P0A7R1	2.5244839003256654e-20	-2.105851810130023	19.597827394634574	down	rplI	rplA	True	True	0.00016548984995586939	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0A8V2	2.700536644795156e-20	-2.24963372960784	19.56854992520584	down	rpoB	lysU	True	True	0.0001710061782877317	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P00830	3.544260506945718e-20	1.029872397790868	19.45047436450195	up	ATP2	HIS4	True	True	0.00017652250661959402	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	knn	0.5
P24280	3.629768632511318e-20	1.0202405761443458	19.44012105673413	up	SEC14	RPL24B	True	True	0.00018203883495145632	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	knn	0.5
P62399	3.683023291904458e-20	-2.229648809776055	19.43379553460325	down	rplE	LSM6	True	True	0.00018755516328331864	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P16521	5.714171036421904e-20	1.0797395616292143	19.243046764467355	up	YEF3	PDA1	True	True	0.00019307149161518095	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	knn	0.5
P0AC41	5.740751695725988e-20	-2.2823056521686205	19.241031237230647	down	sdhA	ychF	True	True	0.00019858781994704325	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0A9M0	8.506584537931144e-20	-3.098974525524774	19.070244777644145	down	lon	rbsK	True	True	0.00020410414827890558	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0A836	8.569657305498768e-20	-2.0247617488851866	19.06703654485704	down	sucC	rpiA	True	True	0.00020962047661076788	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P47143	1.0190930711702061e-19	1.0604575675690207	18.991786151175273	up	ADO1	MOG1	True	True	0.0002151368049426302	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	knn	0.5
P68919	1.1676522089974345e-19	-2.245521374635512	18.93268649472841	down	rplY	sra	True	True	0.0002206531332744925	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P33195	1.5197745353926004e-19	-2.2403593172152405	18.81822083659323	down	gcvP	SEC61	True	True	0.00022616946160635483	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P69783	1.5428784116978927e-19	-2.071947374623168	18.811668297662905	down	crr	rpsU	True	True	0.00023168578993821714	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P09551	1.5595263648103587e-19	-2.06913637602554	18.807007278813302	down	argT	CLTA	True	True	0.00023720211827007944	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0C018	1.5837401452615473e-19	-2.1910932481116774	18.80031607447431	down	rplR	ssb	True	True	0.00024271844660194176	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0AG67	1.6581921143862231e-19	-2.0796360428213987	18.780365154494795	down	rpsA	rplQ	True	True	0.00024823477493380404	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P0A707	1.9673446071582876e-19	-2.181787164164735	18.706119560833624	down	infC	ihfB	True	True	0.0002537511032656664	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
P07259	2.23943768264694e-19	1.0502126783581112	18.64986101826467	up	URA2	ATP1	True	True	0.0002592674315975287	True	Yeast	False	False	True	True	diann231	AlphaPeptStats	knn	0.5
P0A7T7	2.310301447110475e-19	-2.05475451320471	18.636331349858803	down	rpsR	rplI	True	True	0.00026478375992939105	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	knn	0.5
