protein	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03	Protein.Ids	Protein.Group	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P20606	422806759.0835563	428173561.44145787	403364482.3496655	420074740.6036193	410783027.5101698	432897726.3220525	406535545.12391263	411975884.1417309	417190882.151669	184218307.60555044	195554505.2065615	185430540.56876484	203413967.97725347	191363712.5310932	205395405.36706603	203213367.28197995	201535692.76476344	196158866.9820756	P20606	P20606	0	1.2062745067764261e-18	1.0876351578849404	True	6.034274680183442e-06	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P45523	36040160.29644157	50729182.7876211	56178108.5837409	47253103.81118107	50298811.101151526	49106345.98801507	50103328.48986099	35025502.08051381	52806805.08828293	202755035.2688175	208954480.03302792	192056652.373576	211400411.6052475	201861114.59499824	195026837.48400864	203415067.8898852	195550279.9839856	207253615.7882708	P45523	P45523	0	1.6568054020938003e-18	-2.0884333610953516	True	1.2068549360366885e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P38972	795092436.8376188	812971836.9645314	820006810.6115735	819756335.7145452	770357692.7139567	779115654.5904977	825420045.2468059	811771962.898856	820940960.0032736	388887012.7225296	368240525.4679152	392588403.31273466	347626528.9093993	382291377.8983479	360978500.5206182	378564829.6166658	370106033.0980735	363666221.8995897	P38972	P38972	0	4.701200825039239e-18	1.1136311366230633	True	1.8102824040550328e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P15288	34734553.4153363	30001920.477346305	27056765.885899767	35079780.917952456	32791874.770369567	25937049.40225332	32055101.2753439	28981155.82035185	36355029.85099711	160723936.73817244	152572626.44558257	159967981.87304053	163015233.69670075	161447236.784585	153211510.94364223	161587395.47213283	155730805.55552405	146499407.65992862	P15288	P15288	0	7.351290180214492e-18	-2.3217139392760386	True	2.413709872073377e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0A7D4	68824666.35761254	79283011.86019905	61701960.70562375	57604632.36960905	70977542.94962266	61597220.581096746	67856468.9008365	53997588.53338784	62065705.99516715	283506294.30336046	277308879.5865158	276200737.9931018	285569397.70957553	284265182.43817484	282891466.52185494	294047789.3150892	283134543.16109043	311521993.9134207	P0A7D4	P0A7D4	0	1.0085052297216287e-17	-2.142687036416592	True	3.017137340091721e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P04050	124794176.71029636	130579754.0185226	129262684.3783286	126562293.65460958	122793682.3866704	120924920.5568929	126952370.19681434	125463660.9816258	121419138.76582116	62533851.98054299	62093870.59756361	57133915.33524408	63219354.62423741	62102828.06437847	55971198.00130955	58669139.9820995	61096740.93791066	61824316.678487495	P04050	P04050	0	1.1224078914020395e-17	1.0513407508505321	True	3.6205648081100656e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P00956	14532037.6039303	11760181.941216666	7689706.939645633	11249194.785868611	12274822.665385416	16477666.880169071	16122965.888023775	15334938.64479852	12001965.731856177	63086656.48947483	64858145.07144128	70773014.49984518	64133352.7513273	66843476.155676045	68990514.85201375	66074973.84751274	66206097.06644704	70601356.899369	P00956	P00956	0	1.3065114187156633e-17	-2.3567602008300934	True	4.22399227612841e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P32558	270279668.5700388	286799798.2977251	273496924.4764888	278324361.561575	266012832.45743147	263243149.8643097	271282583.020501	269161093.507034	269062504.8426879	136959814.54952732	131518248.1991486	125476657.23457237	119948954.28419	130404660.23851894	132648512.14621766	133270071.219773	127848085.81879728	132501507.46592432	P32558	P32558	0	1.52443335564495e-17	1.0641856540129553	True	4.827419744146754e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P40212;Q12690	2184338076.84291	2208327792.710309	2096702088.5971923	2252037176.2055926	2135609542.134776	2089600590.1040232	2168218871.4303017	2165575712.156152	2076877490.713524	1065769113.7192886	1028842516.4044508	985040228.9775428	1180670754.368332	1066884501.8232812	1026926071.4225984	1082441612.450714	1108977377.8998916	1037961510.1250784	P40212;Q12690	P40212;Q12690	0	1.8300327812575434e-17	1.0157400136514214	True	5.430847212165098e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P04079	3323944.8664021543	5265717.681637649	6880429.242977833	5267609.124300282	5423593.033312586	3258921.4682386066	6532641.940596391	5075639.752073475	6621198.667040014	28649357.46554385	30934075.80580833	33026998.700647205	31091216.34135079	30110676.048453107	32350643.47733056	29899815.432118163	29386257.68833879	30346801.77767759	P04079	P04079	0	2.1538528229187178e-17	-2.5330618019975875	True	6.034274680183442e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
