Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AD61	KPYK1_ECOLI	pykF	Pyruvate kinase I	16	16.0	8557760.0	8129960.0	7800200.0	7173160.0	8254820.0	7701920.0	7640720.0	6928290.0	7716000.0	37561000.0	37251500.0	38142200.0	37870300.0	37835300.0	37343100.0	37149800.0	39518800.0	37452600.0	0	6.0442240486731135e-22	-2.282640585736749	True	6.153088850603003e-06	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0AEM9	TCYJ_ECOLI	tcyJ	L-cystine-binding protein TcyJ	16	16.0	16467500.0	17543200.0	18377900.0	14306600.0	16185300.0	15789600.0	15477900.0	13226200.0	16319900.0	69384100.0	68486700.0	71232300.0	69069700.0	72299600.0	70061200.0	69302300.0	69766600.0	71309900.0	0	1.281037309484462e-21	-2.134438879153288	True	1.2306177701206006e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P09551	ARGT_ECOLI	argT	Lysine/arginine/ornithine-binding periplasmic protein	11	11.0	9614200.0	9148780.0	9600940.0	7538490.0	8243630.0	8495460.0	8709400.0	8882560.0	8913450.0	37082900.0	35556400.0	36497100.0	36662900.0	36429500.0	38117900.0	35995800.0	37032000.0	37985100.0	0	4.036996284503235e-21	-2.065792785273125	True	1.845926655180901e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P33195	GCSP_ECOLI	gcvP	Glycine dehydrogenase (decarboxylating)	16	16.0	9198060.0	9598360.0	8200840.0	7565760.0	8613960.0	7593790.0	9075900.0	8360590.0	8184220.0	39783600.0	40327100.0	38146500.0	38974300.0	41264100.0	40654800.0	39815500.0	40975100.0	40023700.0	0	1.72656001623004e-20	-2.236371787886892	True	2.4612355402412013e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0AC38	ASPA_ECOLI	aspA	Aspartate ammonia-lyase	12	12.0	29598600.0	27530700.0	28812200.0	26544700.0	24953200.0	26989300.0	27333800.0	26572000.0	26597700.0	109055000.0	107994000.0	114300000.0	112147000.0	114403000.0	112505000.0	111468000.0	113964000.0	110703000.0	0	6.05262261364319e-20	-2.0389487176039975	True	3.076544425301501e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P41921	GSHR_YEAST	GLR1	Glutathione reductase	9	9.0	42845900.0	43728700.0	43219000.0	42711100.0	41121900.0	41736100.0	43396300.0	43584300.0	42825100.0	20420800.0	21213300.0	19413900.0	21143500.0	21928200.0	20360100.0	21628500.0	20354900.0	20117000.0	0	9.970426228832765e-20	1.0456934517262746	True	3.691853310361802e-05	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0A972	CSPE_ECOLI	cspE	Cold shock-like protein CspE	4	4.0	23420700.0	24855600.0	23211500.0	17883600.0	21911000.0	22975200.0	18615000.0	21284000.0	21516300.0	92026300.0	94873000.0	93055400.0	98904100.0	98933800.0	95199100.0	94758900.0	90587100.0	93017300.0	0	1.754491931722801e-19	-2.1213168740507973	True	4.307162195422102e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A955	ALKH_ECOLI	eda	KHG/KDPG aldolase	3	3.0	17809100.0	18723500.0	19392800.0	14557800.0	14940900.0	16580600.0	14386600.0	14521600.0	15773500.0	72482000.0	79143000.0	78415400.0	78180200.0	77895500.0	78376900.0	76997400.0	74851500.0	80868200.0	0	3.01467998840395e-19	-2.248858350907355	True	4.9224710804824025e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0AFF6	NUSA_ECOLI	nusA	Transcription termination/antitermination protein NusA	15	15.0	3123050.0	2647040.0	2878660.0	2772740.0	1749100.0	3106270.0	3074290.0	2267420.0	3016190.0	14684200.0	14345800.0	15545700.0	14556700.0	15721100.0	15623300.0	15130600.0	15539600.0	15543100.0	0	3.321575009868702e-19	-2.4721414356048124	True	5.537779965542703e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A7J3	RL10_ECOLI	rplJ	Large ribosomal subunit protein uL10	4	4.0	36878700.0	34659700.0	38183600.0	34725600.0	28026200.0	34945600.0	37080400.0	30783200.0	36796600.0	149235000.0	153090000.0	142126000.0	155329000.0	152095000.0	156561000.0	155850000.0	155090000.0	154548000.0	0	3.4156527139186684e-19	-2.1383162427715794	True	6.153088850603002e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A953	FABB_ECOLI	fabB	3-oxoacyl-[acyl-carrier-protein] synthase 1	8	8.0	15042300.0	14626100.0	12868000.0	14366300.0	11190000.0	12537400.0	11242500.0	12408900.0	11431500.0	50607200.0	51404400.0	51366600.0	53739900.0	55124900.0	54288300.0	54939300.0	51915400.0	54674400.0	0	7.368308897790908e-19	-2.046641949487585	True	6.768397735663304e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P40482	SEC24_YEAST	SEC24	Protein transport protein SEC24	22	22.0	29891000.0	30013700.0	30392200.0	29462100.0	28236800.0	28919000.0	30088900.0	29607500.0	28956700.0	14917300.0	14290800.0	13870000.0	12742400.0	13697000.0	14219300.0	14077300.0	14142400.0	13823600.0	0	7.8264466674624375e-19	1.0781770865847804	True	7.383706620723604e-05	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P21599	KPYK2_ECOLI	pykA	Pyruvate kinase II	13	13.0	8255370.0	8287060.0	7749450.0	4127750.0	6648890.0	6034940.0	4797210.0	6981640.0	7654250.0	41686200.0	41508700.0	42667200.0	39890000.0	40598000.0	42960300.0	40915500.0	40909700.0	42843400.0	0	1.4525938832121173e-18	-2.627078659673983	True	7.999015505783904e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
Q06103	RPN7_YEAST	RPN7	26S proteasome regulatory subunit RPN7	12	12.0	48809300.0	48709300.0	49086300.0	50079600.0	46634300.0	48847600.0	49874100.0	47410600.0	47359600.0	21749200.0	21905100.0	21348300.0	20779800.0	23869800.0	23224200.0	24064900.0	23927800.0	22318900.0	0	2.204973313759207e-18	1.1041929955005794	True	8.614324390844205e-05	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	18	17.0	12600400.0	16435300.0	13619700.0	14011400.0	12625200.0	13200900.0	14187400.0	11595000.0	12739500.0	49438100.0	48277200.0	47380600.0	51260000.0	53017100.0	50028700.0	51466100.0	51096100.0	51441700.0	0	3.9887367500878536e-18	-1.9056187112935699	True	9.229633275904504e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P76558	MAO2_ECOLI	maeB	NADP-dependent malic enzyme	16	16.0	14855200.0	13933800.0	13503900.0	12051900.0	14636400.0	12768400.0	10582800.0	12586900.0	12783700.0	58850000.0	57429000.0	58556200.0	62537500.0	60179400.0	58807100.0	57105000.0	61931300.0	57278500.0	0	4.523310238321435e-18	-2.178101772095749	True	9.844942160964805e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P37095	PEPB_ECOLI	pepB	Peptidase B	9	9.0	2051440.0	2043180.0	2479480.0	2606640.0	1763810.0	2175150.0	2636960.0	2379000.0	1702480.0	10965800.0	10475900.0	11398700.0	9984110.0	10594500.0	10748600.0	10635100.0	11194000.0	11020100.0	0	4.632147978293273e-18	-2.2899579764773064	True	0.00010460251046025105	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A705	IF2_ECOLI	infB	Translation initiation factor IF-2	15	15.0	73034100.0	54071800.0	64664300.0	48975300.0	60789600.0	48852200.0	48345200.0	56627300.0	57929200.0	270800000.0	255193000.0	251440000.0	249850000.0	255619000.0	246089000.0	247110000.0	254696000.0	234130000.0	0	5.439903893547504e-18	-2.1416213036376166	True	0.00011075559931085406	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A6Z3	HTPG_ECOLI	htpG	Chaperone protein HtpG	17	17.0	6062630.0	5369420.0	5544490.0	4477810.0	4665800.0	5173900.0	5690080.0	5909760.0	4486700.0	21782800.0	21846600.0	23151700.0	21328900.0	22998500.0	23260600.0	22989000.0	23365700.0	23602500.0	0	5.531584123973548e-18	-2.1085068447503628	True	0.00011690868816145706	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P07278	KAPR_YEAST	BCY1	cAMP-dependent protein kinase regulatory subunit	18	18.0	34132000.0	33399700.0	32459500.0	31132100.0	32448600.0	31894100.0	32659800.0	31926700.0	32869800.0	13763200.0	15464200.0	14820300.0	12472200.0	15044800.0	14294600.0	14519500.0	14641200.0	15378500.0	0	7.501996709737888e-18	1.1675907548561093	True	0.00012306177701206005	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
