Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69811	6.313173527352887e-06	-0.11117987779566363	5.199752273252072	non_sig	fruB		False	True	2.604166666666667e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	0.6609640474436812
P75829	1.662588747578741e-05	0.27499450219826116	4.779215163134617	non_sig	ybjX		False	True	5.208333333333334e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	0.6609640474436812
P0A7K2	5.4872118322609515e-05	0.1540305427067068	4.260648273664641	non_sig	rplL		False	False	7.812500000000002e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	0.6609640474436812
P0ADL3	6.453163630612768e-05	0.18025733848233116	4.190227322500001	non_sig	yicN		False	False	0.00010416666666666667	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	0.6609640474436812
P0A7L3	8.350965457633002e-05	0.2715046571581503	4.078263312697919	non_sig	rplT		False	False	0.00013020833333333333	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	0.6609640474436812
P0A7S9	8.609336280346588e-05	0.1316272562724876	4.065030328324945	non_sig	rpsM		False	False	0.00015625000000000003	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	0.6609640474436812
P0A7R1	9.630430498722745e-05	-0.08223378921721292	4.016354298644844	non_sig	rplI		False	False	0.00018229166666666667	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	0.6609640474436812
P0A7M6	0.00011639501242753219	0.250342736288065	3.9340656289783023	non_sig	rpmC		False	False	0.00020833333333333335	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	0.6609640474436812
P0A9X9	0.00011915069720466956	0.26062803814900803	3.9239034120564686	non_sig	cspA		False	False	0.00023437500000000002	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	0.6609640474436812
P67244	0.00012246785930160404	0.732979098651029	3.9119778734174	up	yqhA	yqhA	True	False	0.00026041666666666666	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	0.6609640474436812
P76402	0.00016557491668508432	-0.23444147629179568	3.7810054548117535	non_sig	yegP		False	False	0.00028645833333333333	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	0.6609640474436812
