Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		10	10.0	128866.0	8642600.0	134033.0	8580520.0	205502.0	8663350.0	3	1.7645248527823696e-09	-5.788310279903629	True	2.57201646090535e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1.0	128866.0	12905400.0	134033.0	13041400.0	205502.0	13047400.0	3	1.1867532637104408e-07	-6.3793715872618275	True	5.1440329218107e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		7	7.0	128866.0	8861200.0	134033.0	8916940.0	205502.0	8750980.0	3	6.360574302202755e-07	-5.823688854473555	True	7.71604938271605e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS	Peptidyl-prolyl	Peptidyl-prolyl		5	5.0	128866.0	27044500.0	134033.0	26809300.0	205502.0	26709400.0	3	4.412340257929827e-06	-7.4262330227513065	True	0.000102880658436214	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		6	6.0	128866.0	18137800.0	134033.0	18110800.0	205502.0	17843200.0	3	8.524046184434705e-06	-6.851521940400622	True	0.0001286008230452675	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5.0	128866.0	21543700.0	134033.0	21516700.0	205502.0	21210500.0	3	9.994274515861871e-06	-7.1002777087917766	True	0.000154320987654321	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		18	18.0	128866.0	31009300.0	134033.0	30818200.0	205502.0	30330400.0	3	3.4214988570509986e-05	-7.620219876384937	False	0.0001800411522633745	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		8	8.0	128866.0	32911100.0	134033.0	32771700.0	205502.0	33477900.0	3	3.4733786189702527e-05	-7.725880489692749	False	0.000205761316872428	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		7	7.0	128866.0	91986500.0	134033.0	93214500.0	205502.0	94203000.0	3	4.640014591766295e-05	-9.220392803564717	False	0.0002314814814814815	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		7	7.0	128866.0	28484100.0	134033.0	28543400.0	205502.0	29436300.0	3	0.00010512800700026749	-7.528208276562141	False	0.000257201646090535	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P76272	YEBT_ECOLI	yebT	Uncharacterized protein YebT	2	2.0	128866.0	856116.0	134033.0	770641.0	205502.0	759314.0	3	0.00011164075350952113	-2.348820911550943	False	0.0002829218106995885	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		4	4.0	128866.0	5372660.0	134033.0	5573920.0	205502.0	5682280.0	3	0.00011309740052933197	-5.1498013012087425	False	0.000308641975308642	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS	Ubiquitin	Ubiquitin		2	2.0	758175.0	3420950.0	668962.0	3088570.0	874741.0	3184670.0	0	0.00012210625689701663	-2.0743089863257147	False	0.0003343621399176955	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3.0	128866.0	29017500.0	134033.0	28003500.0	205502.0	28025100.0	3	0.00013026912209470443	-7.5043571129333655	False	0.000360082304526749	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		15	15.0	128866.0	26813600.0	134033.0	27987600.0	205502.0	27380100.0	3	0.00014379297374018149	-7.454922186112459	False	0.00038580246913580245	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		6	6.0	3477140.0	22590100.0	3907950.0	21421700.0	3322890.0	20954800.0	0	0.0001929743451776217	-2.6010118548375947	False	0.000411522633744856	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		4	4.0	128866.0	22066000.0	134033.0	20989200.0	205502.0	21368200.0	3	0.00020167389637501396	-7.103696836083562	False	0.0004372427983539095	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		15	15.0	128866.0	18572100.0	134033.0	18055600.0	205502.0	17621400.0	3	0.0002112836525355334	-6.855711237136999	False	0.000462962962962963	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		9	9.0	128866.0	30054500.0	134033.0	28569500.0	205502.0	28725400.0	3	0.00025538984486137787	-7.542909827243549	False	0.0004886831275720165	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		18	18.0	128866.0	53114000.0	134033.0	50312300.0	205502.0	51085200.0	3	0.0002616440738241921	-8.365754347978141	False	0.00051440329218107	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		8	8.0	128866.0	12615600.0	134033.0	11909300.0	205502.0	12488300.0	3	0.0002708649586533254	-6.304151904047106	False	0.0005401234567901235	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS	SUMO-conjugating	SUMO-conjugating		2	2.0	128866.0	17551300.0	134033.0	17673400.0	205502.0	16707300.0	3	0.00028843841622035654	-6.792735821312709	False	0.000565843621399177	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		6	6.0	128866.0	16336300.0	134033.0	15611500.0	205502.0	15418400.0	3	0.0002896098342076083	-6.659969968822329	False	0.0005915637860082305	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		4	4.0	128866.0	18788900.0	134033.0	18419300.0	205502.0	17638100.0	3	0.0003279271998382722	-6.871506331788894	False	0.000617283950617284	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		18	18.0	128866.0	24238300.0	134033.0	25374400.0	205502.0	25784700.0	3	0.0003308586713964834	-7.330626808421029	False	0.0006430041152263374	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	Hemoglobin	Hemoglobin		6	6.0	128866.0	9587310.0	134033.0	10103800.0	205502.0	10283300.0	3	0.00038121213059406477	-5.999843390583363	False	0.000668724279835391	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P16095	SDHL_ECOLI	sdaA	L-serine dehydratase 1	10	10.0	21232900.0	26724100.0	22434000.0	27791900.0	22008700.0	26935000.0	0	0.00040552601961977094	-0.3105749356771403	False	0.0006944444444444445	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS	Annexin	Annexin		11	11.0	128866.0	27074500.0	134033.0	25727200.0	205502.0	25182800.0	3	0.00046256771773916567	-7.37929943997649	False	0.000720164609053498	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P36649	CUEO_ECOLI	cueO	Blue copper oxidase CueO	1	1.0	128866.0	2207470.0	134033.0	2379750.0	205502.0	2483260.0	3	0.0005597209238259249	-3.9159920988903476	False	0.0007458847736625515	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS	Leptin	Leptin		6	6.0	128866.0	16445500.0	134033.0	17972100.0	205502.0	17431300.0	3	0.0006576907453378669	-6.790425415765631	False	0.0007716049382716049	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
