protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02768ups|ALBU_HUMAN_UPS	95988.38438091685	5640312.249149489	5657354.448098219	332682782.65445155	322662394.58321995	331611544.8394982	1	1.4704209923061692e-06	-6.436684281470921	True	2.4390243902439026e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	137185218.09249926	137717008.0582431	138361462.777531	3	5.826224312271169e-06	-10.072673731731893	True	4.878048780487805e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P64493	1188516.0729489014	1209255.3749999986	1274904.0492564724	1892968.7248316824	1920999.0198253936	1856310.9605000396	0	6.597047227383486e-05	-0.6265882171744084	False	7.317073170731708e-05	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	67670717.24688596	65730867.975295216	67442263.06670855	3	8.300697681405573e-05	-9.031685396943328	False	9.75609756097561e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	15409427.370212952	15632389.417702936	15954745.076224623	3	8.8800821334674e-05	-6.936238245920588	False	0.00012195121951219512	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	59843596.42417229	57918419.32106019	58609009.90418061	3	9.097888995283778e-05	-8.844224697106235	False	0.00014634146341463417	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	83291891.0375003	80364383.14232954	81736515.80640633	3	0.00010661628562380542	-9.320703984702503	False	0.0001707317073170732	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P77503	1473569.26516785	1448590.3476650352	1289309.2441736085	222888.48565003969	85200.90621826696	121744.9230610214	3	0.00011862309774446522	3.292470930656235	False	0.0001951219512195122	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	11723000.331102978	11505520.842061548	12011235.813849088	3	0.00013385886167934638	-6.520887004251416	False	0.00021951219512195122	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	64495400.45592809	61978712.1953033	62573738.17352643	3	0.00014484573883054923	-8.944362571911864	False	0.00024390243902439024	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	52524340.60843428	50374767.01899682	50680309.54482901	3	0.00017144120130235452	-8.644596001607496	False	0.0002682926829268293	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P62558	139938925.04008633	141642438.44238275	140014796.23922646	131157025.3673345	129690434.3196344	130270274.56937435	0	0.00019748442743205405	0.10825877271093873	False	0.00029268292682926834	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	57042579.88923408	55868988.60253449	54318715.82095126	3	0.00019995845253125831	-8.767447257387033	False	0.00031707317073170733	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
Q46829	223800838.03484967	221902214.2629548	216411315.56307703	252885832.35151783	259931819.0979568	255123404.23188525	0	0.00032155330603161756	-0.21391514213886087	False	0.0003414634146341464	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	131748970.21957596	140318912.350586	134094957.69458018	3	0.0003569959559033084	-10.047669377523889	False	0.00036585365853658537	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	182679430.5417031	174448283.3670082	171511265.09300718	3	0.00036003590393523475	-10.42789392914822	False	0.0003902439024390244	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	54525444.474243216	57390875.99244818	58021975.29690832	3	0.000361146192133418	-8.790622125574782	False	0.00041463414634146346	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0A9S5	323611271.64391744	324083902.7866633	341111809.0701417	421349663.0977161	415983539.534017	407333568.5749667	0	0.0004783953004245504	-0.3319987105158382	False	0.00043902439024390245	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS	95988.38438091685	149582.7187500001	138180.6020415705	68801194.62241215	69435194.5868807	73761879.32587667	3	0.00048729648213059154	-9.109663605491681	False	0.0004634146341463415	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
