Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		15	15.0	80564.9	29958900.0	93912.8	88137.7	29964600.0	29685500.0	3	9.240038689089819e-06	-8.414548308716117	True	2.554931016862545e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		8	8.0	80564.9	9077720.0	93912.8	88137.7	9177160.0	9203690.0	3	1.4866500081664604e-05	-6.708161164253851	True	5.10986203372509e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		7	7.0	80564.9	30141800.0	93912.8	88137.7	29661300.0	30200500.0	3	3.231373563584754e-05	-8.420887378236223	False	7.664793050587636e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1.0	80564.9	14279700.0	93912.8	88137.7	14215500.0	14513100.0	3	3.906352380841047e-05	-7.355519776782583	False	0.0001021972406745018	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3.0	80564.9	29482300.0	93912.8	88137.7	29077100.0	28805700.0	3	4.555246432298289e-05	-8.377961747214005	False	0.00012774655084312725	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		8	8.0	80564.9	34750500.0	93912.8	88137.7	34641600.0	35554000.0	3	6.778268726725794e-05	-8.642481319322675	False	0.00015329586101175271	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		18	18.0	80564.9	25978300.0	93912.8	88137.7	26703800.0	26964100.0	3	0.00012391449904408956	-8.244510201113119	False	0.00017884517118037815	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0A7L3	RL20_ECOLI	rplT	50S ribosomal protein L20	7	7.0	629008000.0	734706000.0	615568000.0	632392000.0	747540000.0	755159000.0	0	0.00012428417000898677	-0.25342237278613206	False	0.0002043944813490036	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P0ACF4	DBHB_ECOLI	hupB	DNA-binding protein HU-beta	6	6.0	357698000.0	304729000.0	359618000.0	354796000.0	311626000.0	305419000.0	0	0.0001365078308503779	0.21797064724282741	False	0.00022994379151762903	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		4	4.0	80564.9	21906200.0	93912.8	88137.7	21561900.0	22471900.0	3	0.00014635520713357156	-7.972058557154701	False	0.0002554931016862545	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		19	19.0	80564.9	36485400.0	93912.8	88137.7	35252600.0	35110000.0	3	0.00015084453111351942	-8.668392668660067	False	0.00028104241185487996	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		6	6.0	80564.9	17744900.0	93912.8	88137.7	18513400.0	18538900.0	3	0.00020472525446897842	-7.70500684710377	False	0.00030659172202350543	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS	Leptin	Leptin		6	6.0	80564.9	17429900.0	93912.8	88137.7	17995600.0	18318600.0	3	0.00021154941592124732	-7.677011055212401	False	0.00033214103219213084	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS	SUMO-conjugating	SUMO-conjugating		2	2.0	80564.9	18834700.0	93912.8	88137.7	18455500.0	17840600.0	3	0.0002501363692984605	-7.7137632065955355	False	0.0003576903423607563	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0A7M6	RL29_ECOLI	rpmC	50S ribosomal protein L29	5	5.0	309086000.0	397816000.0	310563000.0	299956000.0	390228000.0	407650000.0	0	0.00027104010400380276	-0.37876200938872534	False	0.0003832396525293817	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P0A905	SLYB_ECOLI	slyB	Outer membrane lipoprotein SlyB	6	6.0	184268000.0	168310000.0	185406000.0	187925000.0	169664000.0	166757000.0	0	0.0002965739600770943	0.14371327583951185	False	0.0004087889626980072	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	Hemoglobin	Hemoglobin		6	6.0	80564.9	9683230.0	93912.8	88137.7	10205500.0	10213700.0	3	0.00030918974960373837	-6.840784622495027	False	0.00043433827286663265	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5.0	80564.9	22911300.0	93912.8	88137.7	23189300.0	21826700.0	3	0.00033912950999900296	-8.014896180684438	False	0.00045988758303525806	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P27303	EMRA_ECOLI	emrA	Multidrug resistance protein A	13	13.0	7342750.0	8865150.0	7545430.0	7600810.0	8594590.0	8686630.0	0	0.0003994669296096306	-0.2173917956466504	False	0.00048543689320388353	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		15	15.0	80564.9	18608900.0	93912.8	88137.7	17963600.0	17342700.0	3	0.00041695206374535356	-7.681596731123773	False	0.000510986203372509	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		9	9.0	80564.9	30667400.0	93912.8	88137.7	28676900.0	29124300.0	3	0.0004200408044006906	-8.39607016305314	False	0.0005365355135411344	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		7	7.0	80564.9	9312170.0	93912.8	88137.7	9609660.0	8920040.0	3	0.00046948571364289804	-6.728160783241238	False	0.0005620848237097599	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P69924	RIR2_ECOLI	nrdB	Ribonucleoside-diphosphate reductase 1 subunit beta	17	17.0	28366000.0	32456800.0	28496400.0	29250900.0	33068100.0	32405900.0	0	0.000487687711244665	-0.18552659428972842	False	0.0005876341338783853	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		9	9.0	80564.9	26830900.0	93912.8	88137.7	29077000.0	28018900.0	3	0.0005404998913175175	-8.320036244258391	False	0.0006131834440470109	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS	Small	Small		10	10.0	80564.9	26331500.0	93912.8	88137.7	26986200.0	24860300.0	3	0.0005850326103964042	-8.217667347291007	False	0.0006387327542156362	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS	Microtubule-associated	Microtubule-associated		8	8.0	80564.9	17756300.0	93912.8	88137.7	16998700.0	16324800.0	3	0.0005947067958948794	-7.603657546409178	False	0.0006642820643842617	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0A6F9	CH10_ECOLI	groS	10 kDa chaperonin	8	8.0	678174000.0	585884000.0	686052000.0	666682000.0	605453000.0	600784000.0	0	0.0006233339435340073	0.18045683889786196	False	0.0006898313745528871	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		6	6.0	80564.9	22737700.0	93912.8	88137.7	23898600.0	24834800.0	3	0.0006520407741721218	-8.088264662873792	False	0.0007153806847215126	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P60546	KGUA_ECOLI	gmk	Guanylate kinase	6	6.0	52767200.0	49749500.0	52834700.0	53600000.0	49659900.0	49125800.0	0	0.0006712452122329687	0.10005269121264576	False	0.000740929994890138	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		6	6.0	4838270.0	25730000.0	4385380.0	4426920.0	24233100.0	23468800.0	0	0.0006972707899824544	-2.4274457349038507	False	0.0007664793050587634	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		5	5.0	80564.9	29492300.0	93912.8	88137.7	27097900.0	27470100.0	3	0.0007083019747440259	-8.322329275431672	False	0.0007920286152273889	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0AEU7	SKP_ECOLI	skp	Chaperone protein skp	6	6.0	408889000.0	373347000.0	416654000.0	415251000.0	382501000.0	374304000.0	0	0.0007252796978301972	0.13474679396462616	False	0.0008175779253960144	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		8	8.0	80564.9	28233500.0	93912.8	88137.7	30255200.0	30927000.0	3	0.0007408854479697899	-8.411432838506952	False	0.0008431272355646398	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		18	18.0	894097.0	57911400.0	93912.8	88137.7	51998900.0	54499800.0	2	0.0007725263528986562	-7.255279287245199	False	0.0008686765457332653	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0A780	NUSB_ECOLI	nusB	N utilization substance protein B	8	8.0	112988000.0	127530000.0	111526000.0	113737000.0	125860000.0	129548000.0	0	0.0007882808196427148	-0.1790166305533452	False	0.0008942258559018906	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1.0	80564.9	10070500.0	93912.8	88137.7	9123170.0	9625210.0	3	0.000823616257860966	-6.777918938697107	False	0.0009197751660705161	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		7	7.0	80564.9	88192300.0	93912.8	88137.7	95147900.0	97056000.0	3	0.0008309722435865191	-10.060299562747835	False	0.0009453244762391415	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		14	14.0	80564.9	13338300.0	93912.8	88137.7	12140500.0	12325900.0	3	0.0008826192126148789	-7.169470276158297	False	0.0009708737864077671	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		11	11.0	80564.9	18032300.0	93912.8	88137.7	19558700.0	19892700.0	3	0.0008997132020670016	-7.7740575955438675	False	0.0009964230965763925	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0A6X7	IHFA_ECOLI	ihfA	Integration host factor subunit alpha	8	8.0	192543000.0	230913000.0	201279000.0	197246000.0	224159000.0	225796000.0	0	0.0009398756893874912	-0.20405101358014333	False	0.001021972406745018	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P60906	SYH_ECOLI	hisS	Histidine--tRNA ligase	21	21.0	87097900.0	91108500.0	87898200.0	87501300.0	92283300.0	91722700.0	0	0.0009512908146530994	-0.06772904621642246	False	0.0010475217169136435	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P0ACM2	YDFH_ECOLI	ydfH	Uncharacterized HTH-type transcriptional regulator YdfH	5	5.0	8644390.0	8179820.0	8801200.0	8682780.0	8078460.0	8207030.0	0	0.0009676813337198887	0.0948795626699329	False	0.0010730710270822688	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS	Peptidyl-prolyl	Peptidyl-prolyl		5	5.0	80564.9	28025600.0	93912.8	88137.7	25053300.0	26760800.0	3	0.0010521937389781045	-8.248010969863088	False	0.0010986203372508941	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		4	4.0	80564.9	19333400.0	93912.8	88137.7	18679000.0	17265000.0	3	0.0011055387568081833	-7.717594429589646	False	0.0011241696474195199	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS	NEDD8	NEDD8		3	3.0	80564.9	17211900.0	93912.8	88137.7	19150600.0	19069000.0	3	0.0011825757460615254	-7.721610718241811	False	0.0011497189575881452	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
