Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		17	17.0	55474200.0	5439350.0	4905690.0	55367400.0	54940300.0	5187720.0	0	2.555362932849108e-09	3.415900393977365	True	2.581311306143521e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		19	19.0	35477000.0	3305080.0	2873160.0	35477400.0	35924800.0	3649970.0	0	2.0593003707634059e-07	3.442908619855489	True	5.162622612287042e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		8	8.0	13861200.0	1778780.0	1322720.0	13880800.0	13349700.0	1817960.0	0	9.54635782300256e-07	3.0622751499018057	True	7.743933918430564e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		15	15.0	18674600.0	1332640.0	1609960.0	18534900.0	18392100.0	1832560.0	0	1.1670484307681627e-06	3.5415054196904245	True	0.00010325245224574084	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		6	6.0	26567100.0	6518630.0	5633220.0	24809200.0	25558100.0	5233700.0	0	1.2836475187413486e-05	2.145740112595747	True	0.00012906556530717606	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS	Leptin	Leptin		6	6.0	19215800.0	1963070.0	874901.0	18622900.0	18969700.0	1319700.0	0	1.4505584313607665e-05	3.7722567641094025	True	0.0001548786783686113	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	Peroxiredoxin	Peroxiredoxin		8	8.0	11138500.0	97840.6	898255.0	12233600.0	11314300.0	64985.2	2	2.000082469701346e-05	5.030763690291244	True	0.0001806917914300465	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		13	13.0	14660000.0	97840.6	816884.0	13968500.0	14060800.0	1327610.0	1	3.0456164754316954e-05	4.250801028591816	False	0.00020650490449148167	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		7	7.0	11763200.0	1884790.0	1300230.0	11514600.0	11561500.0	1421730.0	0	3.820779933842726e-05	2.9188944245098907	False	0.00023231801755291688	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		9	9.0	30398900.0	2976880.0	2964920.0	30833700.0	30138100.0	3013180.0	0	5.02517327336681e-05	3.3509694927154423	False	0.0002581311306143521	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		17	17.0	24759800.0	2193710.0	2527760.0	25503100.0	25838400.0	2396480.0	0	5.7227385247200534e-05	3.4183873949760115	False	0.00028394424367578734	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3.0	22821500.0	1057550.0	1946190.0	21032400.0	21656700.0	1605190.0	0	6.487784204591805e-05	3.829224600636724	False	0.0003097573567372226	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		1	1.0	2733700.0	97840.6	77997.8	2600930.0	2665620.0	64985.2	3	9.830611220907088e-05	5.053996399533636	False	0.00033557046979865775	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS	SUMO-conjugating	SUMO-conjugating		2	2.0	17866200.0	1765040.0	2047570.0	18968400.0	17936200.0	64985.2	1	0.0001059510130998591	3.8201728461437727	False	0.000361383582860093	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		5	5.0	28366500.0	3852850.0	4086570.0	27442000.0	26878100.0	3666220.0	0	0.00013049494540045062	2.832827465340584	False	0.0003871966959215281	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		14	14.0	34278600.0	97840.6	4049770.0	36036200.0	33559900.0	64985.2	2	0.00015651023210381794	4.623991004675178	False	0.00041300980898296334	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
