protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06732ups|KCRM_HUMAN_UPS	113813161.63683715	114899474.74243304	112412149.21890466	28274492.27336541	26328641.784158323	29490532.108958643	0	4.223665089313373e-07	2.0202305351107275	True	2.464268112370626e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P01112ups|RASH_HUMAN_UPS	48556136.59859593	47975525.45387848	49855420.56467841	14972868.15764362	12559912.262598036	14184186.118991204	0	4.7036927694025455e-06	1.811082093173141	True	4.928536224741252e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P01579ups|IFNG_HUMAN_UPS	54017643.807767786	51653613.73282328	51842025.312818415	12637267.503763946	14324395.991684996	13852453.707257615	0	7.505818415094159e-06	1.9483333363097883	True	7.392804337111879e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P16083ups|NQO2_HUMAN_UPS	36392040.42008241	35448022.246046685	35756940.79505748	11233189.808993235	11238948.764157398	10886332.585987411	0	1.2201202588489355e-05	1.6895128241634836	True	9.857072449482504e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P02144ups|MYG_HUMAN_UPS	73238282.32889847	72590017.01456007	76722513.32494698	16155310.244222106	18832673.84655107	16469579.12503858	0	1.2638352560028431e-05	2.112679724295098	True	0.0001232134056185313	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
O76070ups|SYUG_HUMAN_UPS	148551715.846437	160180755.27872282	156140489.82891852	41761755.80552693	38940637.91679032	33137630.02308518	0	2.054632989400424e-05	2.029828646937012	True	0.00014785608674223758	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P02787ups|TRFE_HUMAN_UPS	141368576.85448268	137640140.2106602	128810847.16458198	43229324.27174185	32831376.270329144	41783806.15609455	0	4.6204012797505535e-05	1.7910464779072612	False	0.00017249876786594383	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P06396ups|GELS_HUMAN_UPS	67087864.33306651	63065291.355545655	60935215.66409065	12841289.784999982	15104016.331990968	17113095.990038253	0	6.273818238304402e-05	2.0843719283285416	False	0.00019714144898965008	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P02768ups|ALBU_HUMAN_UPS	276412317.2162645	263921109.02906397	261354987.4672931	69633858.80804344	73182013.31447658	66670795.62450691	0	9.967676089849589e-05	1.9361831938979241	False	0.00022178413011335633	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P05413ups|FABPH_HUMAN_UPS	64726808.90251615	65361709.64728645	64282038.75075005	18470785.873384938	19049866.802780084	15930191.351925133	0	0.0001227182791189397	1.8625250656974806	False	0.0002464268112370626	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P62937ups|PPIA_HUMAN_UPS	58988930.02685137	59650729.5077778	64658491.44503313	77273.22985279582	8503108.244417025	58653.196647363	2	0.00019246380764719527	4.407178308446149	False	0.0002710694923607689	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P15559ups|NQO1_HUMAN_UPS	56325598.10722353	53002243.02967948	49915395.41497431	10979007.032432716	11060103.327845486	14147787.012934914	0	0.0002216305478811302	2.1376927760509563	False	0.00029571217348447516	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P0C0S1	89561082.1166036	88317335.738071	89334151.48029388	82289335.74301687	82888012.77733706	81872177.13033232	0	0.0002272192952408153	0.11318758619342671	False	0.0003203548546081814	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.0
P12081ups|SYHC_HUMAN_UPS	172294059.56337315	176699042.46387932	183791167.21413267	47275557.846183695	50437233.36059205	48403238.428096905	0	0.00029970721220565205	1.8664370292017665	False	0.00034499753573188766	True	True	Human	True	False	False	True	diann231	directlfq	min	1.0
P52645	71062.04711532188	62920.4716182855	141286.00150432964	2605759.679129083	2422929.590152526	2693691.161145886	3	0.0004019197907095578	-4.81013409044841	False	0.0003696402168555939	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
