Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		9	9.0	28119800.0	8148560.0	28521400.0	7609720.0	27611200.0	7441420.0	0	7.601547761728522e-07	1.8606116335604264	True	2.5893319523562923e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		3	3.0	17934200.0	4421240.0	17456600.0	4479100.0	17841000.0	4174570.0	0	1.2342506494426664e-06	2.0254873350768623	True	5.178663904712585e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		17	17.0	25810300.0	6857000.0	25427900.0	6333430.0	25490100.0	7002540.0	0	2.010661496837391e-06	1.9259056716106338	True	7.767995857068878e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		10	10.0	8657170.0	1926110.0	8456770.0	2070920.0	8332200.0	2306600.0	0	2.112597677100973e-06	2.0131920647581123	True	0.0001035732780942517	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		15	15.0	18942500.0	4920310.0	18760800.0	5005320.0	18487700.0	4377600.0	0	2.253852733977513e-06	1.973998097684519	True	0.0001294665976178146	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P41159ups|LEP_HUMAN_UPS	Leptin	Leptin		6	6.0	19117100.0	5429160.0	18326400.0	4661800.0	18054100.0	4574290.0	0	6.77651309620563e-06	1.9200237182284474	True	0.00015535991714137756	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		7	7.0	9290780.0	2808490.0	9167290.0	2727830.0	9414840.0	2772210.0	0	2.7401407865280027e-05	1.7461984776456787	False	0.00018125323666494047	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		6	6.0	17986700.0	5974460.0	18169000.0	5369440.0	18697300.0	4785270.0	0	2.8445841052744362e-05	1.765898326179228	False	0.0002071465561885034	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		1	1.0	2465030.0	76434.8	2470600.0	102425.0	2551190.0	88633.6	3	4.881402356626323e-05	4.80677786850901	False	0.0002330398757120663	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		13	13.0	13944500.0	3151130.0	13030600.0	3684670.0	12891100.0	3072210.0	0	7.4233798330665e-05	2.008498866081532	False	0.0002589331952356292	True	True	Human	True	False	False	True	diann231	manual	min	1.0
