Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06732ups|KCRM_HUMAN_UPS	2.401470031356067e-07	0.9775032742832117	6.6195228286785275	up	Creatine	Creatine	True	True	2.556237218813906e-05	True		False	False	False	True	diann231	AlphaPeptStats	mean	0.5
P02768ups|ALBU_HUMAN_UPS	3.570647161265959e-07	0.991015821607256	6.447253063132915	up	Serum	Serum	True	True	5.112474437627812e-05	True		False	False	False	True	diann231	AlphaPeptStats	mean	0.5
P12081ups|SYHC_HUMAN_UPS	7.734437731046126e-07	0.9742928609716337	6.111571252640726	up	Histidyl-tRNA	Histidyl-tRNA	True	True	7.66871165644172e-05	True		False	False	False	True	diann231	AlphaPeptStats	mean	0.5
P10636-8ups|TAU_HUMAN_UPS	1.7581359088279584e-06	1.0750213260196482	5.754947555785234	up	Microtubule-associated	Microtubule-associated	True	True	0.00010224948875255624	True		False	False	False	True	diann231	AlphaPeptStats	mean	0.5
P01579ups|IFNG_HUMAN_UPS	2.074133401400977e-06	1.0752315761458675	5.683163314663867	up	Interferon	Interferon	True	True	0.0001278118609406953	True		False	False	False	True	diann231	AlphaPeptStats	mean	0.5
P01008ups|ANT3_HUMAN_UPS	2.6514457027477917e-06	0.9935773951111919	5.576517262091889	up	Antithrombin-III	Antithrombin-III	True	True	0.0001533742331288344	True		False	False	False	True	diann231	AlphaPeptStats	mean	0.5
P02788ups|TRFL_HUMAN_UPS	2.7870449016629e-06	1.0009701370839927	5.554856034376994	up	Lactotransferrin	Lactotransferrin	True	True	0.00017893660531697342	True		False	False	False	True	diann231	AlphaPeptStats	mean	0.5
P55957ups|BID_HUMAN_UPS	5.992309636304453e-06	1.1939333664585128	5.222405753742487	up	BH3-interacting	BH3-interacting	True	True	0.00020449897750511248	True		False	False	False	True	diann231	AlphaPeptStats	mean	0.5
O00762ups|UBE2C_HUMAN_UPS	7.988722010133359e-06	1.0359626971768137	5.097522691066411	up	Ubiquitin-conjugating	Ubiquitin-conjugating	True	True	0.00023006134969325153	True		False	False	False	True	diann231	AlphaPeptStats	mean	0.5
P00918ups|CAH2_HUMAN_UPS	8.668680380136798e-06	0.9658218498615909	5.062047009472339	up	Carbonic	Carbonic	True	True	0.0002556237218813906	True		False	False	False	True	diann231	AlphaPeptStats	mean	0.5
