protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06732ups|KCRM_HUMAN_UPS	116843374.56947248	119916730.82316393	117691229.73183596	56273825.13283368	57340351.46372415	59637691.41687594	0	1.6023906737288666e-06	1.0327166566114814	True	2.440214738897023e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P01008ups|ANT3_HUMAN_UPS	116505634.8495075	119031923.6168423	115177385.62302586	56301197.79702514	53065529.06056272	54612108.99726473	0	2.658252549595425e-06	1.0967892821362195	True	4.880429477794046e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P0AAU2	146587.0589617097	106605.79320342216	127015.1419862382	1431431.8750000014	1435493.414697264	1363725.8196977512	3	2.2692016129212897e-05	-3.4760189442191307	True	7.32064421669107e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P55957ups|BID_HUMAN_UPS	29989285.22981837	28483162.32494394	28419805.205331407	12630224.370463775	13331102.506891811	11951058.85063888	0	2.4497495092121064e-05	1.1965583088835026	False	9.760858955588093e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P01579ups|IFNG_HUMAN_UPS	54596103.643747546	55760830.28721369	58498541.5247437	24123409.058816884	21424547.56356399	22885076.8548425	0	5.132417270855615e-05	1.3030241569810368	False	0.00012201073694485115	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
O76070ups|SYUG_HUMAN_UPS	170327676.02826324	178502047.18561727	178617946.12639403	93273751.5527352	88758178.6511696	80921811.66025826	0	6.86167953885226e-05	1.0042189374048303	False	0.0001464128843338214	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P24175	146587.0589617097	106605.79320342216	127015.1419862382	1590742.837300733	1653463.5873484814	1695253.6179761463	3	7.857488537658598e-05	-3.699492570996014	False	0.00017081503172279163	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P02768ups|ALBU_HUMAN_UPS	304472985.2739877	283034329.78476566	293520550.4464256	144069578.5895179	147466662.69586566	159336775.96675786	0	8.641771179256461e-05	0.9664664763414568	False	0.00019521717911176185	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P69905ups|HBA_HUMAN_UPS	44717755.787878975	40837703.92096616	42716046.72418201	20691828.265835803	17607628.190908074	19336430.109285697	0	0.00011171117205490564	1.1541614530877882	False	0.00021961932650073208	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P08758ups|ANXA5_HUMAN_UPS	108447385.82487322	103069458.1108759	102250047.88396886	52671469.69375493	43664573.10735973	48796823.509232566	0	0.00011347046785953006	1.1123188651004536	False	0.0002440214738897023	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
