Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P28635	1.5551744437362944e-05	0.2484248136206446	4.808220889143302	non_sig	metQ		False	True	2.573340195573855e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	1.660964047443681
P0AEK4	4.826849801911542e-05	-0.12379800353029324	4.316336215002706	non_sig	fabI		False	False	5.14668039114771e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	1.660964047443681
P0A6M8	6.0145145608651175e-05	-0.07333735600385793	4.220799419370731	non_sig	fusA		False	False	7.720020586721566e-05	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	1.660964047443681
P60422	0.00010144522373465418	-0.16095440368979652	3.9937683956933703	non_sig	rplB		False	False	0.0001029336078229542	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	1.660964047443681
P67603	0.00012244053442845388	-0.23277528172622652	3.9120747834619785	non_sig	yqfB		False	False	0.00012866700977869275	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	1.660964047443681
P76046	0.00013364320831423941	0.20693507968411495	3.8740531069904653	non_sig	ycjX		False	False	0.0001544004117344313	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	1.660964047443681
P0A9Y6	0.00015878635256041232	0.17013140337427402	3.799186827238937	non_sig	cspC		False	False	0.00018013381369016987	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	1.660964047443681
P68206	0.0002468158764183409	-0.44670633422821027	3.6076269077704346	non_sig	yjbJ		False	False	0.0002058672156459084	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P08200	0.00025362500241105085	-0.08031828912752204	3.595807935830037	non_sig	icd		False	False	0.00023160061760164695	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A9X9	0.0002572657549798429	0.2487358899118135	3.58961801951483	non_sig	cspA		False	False	0.0002573340195573855	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	1.660964047443681
P0A7K2	0.0002672971762329209	0.1347818089438313	3.573005629170654	non_sig	rplL		False	False	0.00028306742151312407	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	1.660964047443681
P0ABU0	0.00030446246169647177	-0.14706484726176683	3.5164662455041755	non_sig	menB		False	False	0.0003088008234688626	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	mean	1.660964047443681
P09373	0.00037873276477393	-0.11558226468493871	3.4216671217474337	non_sig	pflB		False	False	0.0003345342254246011	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P69503	0.00037877820548317905	0.17037574409426526	3.421615017817381	non_sig	apt		False	False	0.00036026762738033973	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P75960	0.00043324028371879915	0.029116878653397293	3.3632711684285352	non_sig	cobB		False	False	0.00038600102933607824	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0ACG1	0.00043859564507976864	-0.13796269020089014	3.357935684850049	non_sig	stpA		False	False	0.0004117344312918168	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A7V0	0.0004649282571022213	-0.09947378642745264	3.3326140577518775	non_sig	rpsB		False	False	0.00043746783324755535	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P75829	0.0005099193786691603	0.1899033697832131	3.2924984830528015	non_sig	ybjX		False	False	0.0004632012352032939	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A6R3	0.0005322382249294497	-0.35741153590353036	3.2738939379774408	non_sig	fis		False	False	0.0004889346371590325	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AAD6	0.0005971384462344853	-0.8781671414870615	3.223924966249195	non_sig	sdaC		False	False	0.000514668039114771	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AFI2	0.0006041499635944531	0.07448501295890608	3.2188552463495186	non_sig	parC		False	False	0.0005404014410705096	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P76491	0.0006302945591137822	-0.6297634947313924	3.200456441814667	non_sig	yfbR		False	False	0.0005661348430262481	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P37636	0.0006547898466120008	0.0879554557385589	3.1838980635218075	non_sig	mdtE		False	False	0.0005918682449819867	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P37666	0.0007100419793068122	-0.09772313702529445	3.148715974038176	non_sig	ghrB		False	False	0.0006176016469377252	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P45464	0.0007240128970889762	0.05800339119262787	3.1402536974980366	non_sig	lpoA		False	False	0.0006433350488934637	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AAI9	0.000744168010049125	0.14034279401262495	3.128329003163922	non_sig	fabD		False	False	0.0006690684508492022	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AD33	0.0007441846571318791	0.08191034931176233	3.128319288079131	non_sig	yfcZ		False	False	0.0006948018528049408	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P15639	0.0008363362048208297	0.06549779277895951	3.077619102290225	non_sig	purH		False	False	0.0007205352547606795	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P45578	0.0009155727144706254	-0.20663156291066542	3.0383071584739203	non_sig	luxS		False	False	0.000746268656716418	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AAI5	0.0010500627762184192	-0.15249044516548338	2.9787847365964515	non_sig	fabF		False	False	0.0007720020586721565	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0ADT2	0.0010843663853534408	-1.1130012073962057	2.9648239537269117	non_sig	ygiB		False	False	0.000797735460627895	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A8T7	0.0010867228808849098	-0.05879618539212572	2.963881188798954	non_sig	rpoC		False	False	0.0008234688625836336	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AF70	0.0011832183033425102	-1.2440697279062896	2.9269351208069976	non_sig	yjeI		False	False	0.0008492022645393721	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P21513	0.0011904524136024778	0.038520761844090146	2.924287960127146	non_sig	rne		False	False	0.0008749356664951107	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AD12	0.0012749412610548814	0.08560293875485314	2.8945098235338502	non_sig	yeeZ		False	False	0.0009006690684508493	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A9L3	0.0013505232262677833	0.1478481264006568	2.869497942425664	non_sig	fklB		False	False	0.0009264024704065878	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P21338	0.0016016743038515	-0.31994646170755203	2.795425791885136	non_sig	rna		False	False	0.0009521358723623264	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AFF6	0.001738396423004713	-0.03145903533885175	2.759851180308628	non_sig	nusA		False	False	0.000977869274318065	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P68871ups|HBB_HUMAN_UPS	0.0018290933840406252	-0.635739113156113	2.737764121129253	non_sig	Hemoglobin		False	False	0.0010036026762738036	False		False	False	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P08390	0.0018758043726043291	-0.12422153365619693	2.7268124561107516	non_sig	usg		False	False	0.001029336078229542	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A6N8	0.0020043248741112556	0.07510413326074783	2.6980318838034276	non_sig	yeiP		False	False	0.0010550694801852807	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A9M2	0.0021315969317091603	-0.11075514641504824	2.671294913568459	non_sig	hpt		False	False	0.0010808028821410192	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P30859	0.0021322284459074623	-0.0863766555298433	2.6711662670553955	non_sig	artI		False	False	0.0011065362840967576	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A6T5	0.0021322507376505782	0.09965290317941466	2.6711617266739744	non_sig	folE		False	False	0.0011322696860524963	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P33195	0.0022068063304685665	0.0781064328836969	2.656235778890651	non_sig	gcvP		False	False	0.0011580030880082347	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A8M6	0.0022314439742004933	-0.3476966465284086	2.6514140127002253	non_sig	yeeX		False	False	0.0011837364899639734	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A6P1	0.0022612086847076584	-0.07585654509063033	2.6456593551978687	non_sig	tsf		False	False	0.0012094698919197118	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AG44	0.0022731261323826395	-0.14574587311552634	2.6433764652526137	non_sig	rplQ		False	False	0.0012352032938754505	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A6P9	0.002280521831102664	-0.03681347268877744	2.64196576596545	non_sig	eno		False	False	0.001260936695831189	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P46853	0.0023243476464993424	0.06379837300816149	2.6336989151522556	non_sig	yhhX		False	False	0.0012866700977869274	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P76270	0.0023664465700704326	0.23750433893832223	2.625903296640962	non_sig	msrC		False	False	0.001312403499742666	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A7J3	0.0024658792855482806	-0.058850159800794444	2.608028187636259	non_sig	rplJ		False	False	0.0013381369016984045	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AE67	0.0025424251176749935	-0.35891751751144696	2.594751829539715	non_sig	cheY		False	False	0.0013638703036541432	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P02358	0.0025569290764194032	-0.17726014241616284	2.5922813181789333	non_sig	rpsF		False	False	0.0013896037056098816	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A8A0	0.0025914348490239073	-0.3111512128488876	2.586459705236598	non_sig	yebC		False	False	0.0014153371075656203	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AAT2	0.002605207837841014	-0.15668311008537117	2.5841576239088324	non_sig	ybdF		False	False	0.001441070509521359	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P06996	0.0027016039387446397	0.042992039611227995	2.5683783192019995	non_sig	ompC		False	False	0.0014668039114770974	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0ACZ4	0.0027814767668257272	-0.22095914526461868	2.55572456329156	non_sig	evgA		False	False	0.001492537313432836	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0ACI6	0.0029432373248660716	-0.7795555646546681	2.5311747176067376	non_sig	asnC		False	False	0.0015182707153885745	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0ADB1	0.0030532403051485783	-0.12087855823538973	2.515239013227397	non_sig	osmE		False	False	0.001544004117344313	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0AEK2	0.0031402850289400314	-0.0937254513735013	2.5030309312650307	non_sig	fabG		False	False	0.0015697375193000516	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A796	0.003237976547111197	-0.2148921941445927	2.4897263011963195	non_sig	pfkA		False	False	0.00159547092125579	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A6E6	0.0032425250590276357	-0.17804950081333004	2.4891166588968137	non_sig	atpC		False	False	0.0016212043232115287	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A9B6	0.0032575036891438433	-0.10728147513306041	2.48711508377381	non_sig	epd		False	False	0.0016469377251672672	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
P0A964	0.003341530301199946	0.07790667109115645	2.4760545963136638	non_sig	cheW		False	False	0.0016726711271230056	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	mean	1.660964047443681
