protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P28635	439843185.8372127	438479465.12767833	447034820.6992357	393846996.99450827	397500621.75310296	390770304.2080606	0	0.00022565371589230727	0.16500757208971983	False	2.4703557312252964e-05	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P52643	109643423.91772358	109122037.15740971	110982214.6170992	120960101.01907247	119239113.7568851	119045642.79928832	0	0.0002953468926262867	-0.12360501499399598	False	4.940711462450593e-05	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P00918ups|CAH2_HUMAN_UPS	140687.69021896902	185115.3906250002	150103.7020621763	9057140.64953361	8632849.753649581	8547742.708480245	3	0.00030717119346765804	-5.784820252320365	False	7.41106719367589e-05	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P77258	92220021.15864184	93154740.47431137	91917024.75813864	99119557.36961238	99312675.67210338	98522038.7435851	0	0.00032933706272542237	-0.09883590321418351	False	9.881422924901186e-05	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P02768ups|ALBU_HUMAN_UPS	140687.69021896902	2318603.4351232303	2359192.7663035304	14291679.43049879	15761950.865038188	14847692.285162346	1	0.00036903030783927025	-3.220106753331312	False	0.00012351778656126481	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
Q15843ups|NEDD8_HUMAN_UPS	140687.69021896902	185115.3906250002	150103.7020621763	1698407.559391844	1568578.115649047	1508177.5607720714	3	0.0009026323810095082	-3.32679912966775	False	0.0001482213438735178	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P0A8M3	563921804.1786202	568956537.4488907	555377969.9753425	611987484.221567	614286214.1345937	604372115.2558607	0	0.0009428993875619741	-0.11681873989859227	False	0.00017292490118577076	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AC59	213408941.68012908	211721783.7384732	212280143.6743313	200502809.28920624	202616220.31145668	199761697.1637109	0	0.0009850354753051867	0.08035101086384928	False	0.0001976284584980237	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P15559ups|NQO1_HUMAN_UPS	140687.69021896902	185115.3906250002	150103.7020621763	849112.9911251158	813792.8286120975	940814.8816696306	3	0.0010871756036363897	-2.451823778401887	False	0.0002223320158102767	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P0AGD3	1266820734.2023876	1286804152.917927	1291196598.1513352	1372547727.0336418	1359776424.06234	1375546119.3044565	0	0.0012690721715596228	-0.09547400545633729	False	0.00024703557312252963	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P05055	2012893182.634051	2021485428.4753091	2031205147.5667827	2106220232.3422897	2094541968.3565376	2083016814.478222	0	0.0013076873266633954	-0.050985946902409034	False	0.0002717391304347826	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AG67	10587965087.487495	10472476039.386684	10560589573.67502	11016641860.890942	10977540569.947166	10958279967.9712	0	0.0016361968054428458	-0.059501882086084645	False	0.0002964426877470356	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AAZ7	95838113.872251	93895320.65326355	95544146.13447586	105656790.08232851	103232700.12273689	106465056.99247213	0	0.002017532388576078	-0.14460836290557444	False	0.0003211462450592885	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A6S7	117238940.16124064	118588000.4132232	119643453.67363924	110426307.32573886	111416635.2446557	112787293.64479987	0	0.0020621549150020855	0.08716159937254278	False	0.0003458498023715415	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0ACC3	211653061.71605903	210915750.2780324	216613875.00076145	187515125.8306465	188855190.96513483	189574178.89106992	0	0.0025835000247006502	0.1755677622789155	False	0.00037055335968379444	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AA10	3422002485.7637053	3405915285.767112	3428121238.4925537	3513610354.686709	3512827337.690648	3485006950.6729507	0	0.0026845560731573897	-0.03548730554776465	False	0.0003952569169960474	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P00954	333681069.62888217	338165541.73709524	339051997.926788	355625164.73590714	359956250.9207831	364296807.2724561	0	0.002710266590150946	-0.09523032426282951	False	0.00041996047430830046	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
O76070ups|SYUG_HUMAN_UPS	140687.69021896902	185115.3906250002	150103.7020621763	1513766.9136206189	1477249.1877515935	1268430.1488591984	3	0.0028884222360580692	-3.16191496301337	False	0.0004446640316205534	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P0AEA8	11955752.710697733	11062504.574715162	11834872.796623686	14746643.980761284	15841051.65463586	14574504.010409418	0	0.0031089367490758665	-0.37382752780840806	False	0.0004693675889328064	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P01008ups|ANT3_HUMAN_UPS	140687.69021896902	185115.3906250002	150103.7020621763	3960183.223315802	4437823.717592486	4796066.135687683	3	0.0031674023354806057	-4.793067173532074	False	0.0004940711462450593	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P0A7J7	3750415828.87853	3864174329.289035	3825733438.248972	3519238022.808524	3586009517.229973	3483318632.657537	0	0.00333568119266973	0.11162061699493024	False	0.0005187747035573123	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AG84	12594617.988283807	12516595.840168338	12778285.75505602	9982375.56562451	10626033.500478365	10012701.567229012	0	0.003434350966176221	0.3072714753212276	False	0.0005434782608695652	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AEH5	101684939.94913162	101507858.3044778	104439546.52507478	95955583.9234194	94730238.40880814	93368624.93181814	0	0.0034617968941043757	0.11503970716689722	False	0.0005681818181818183	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P12081ups|SYHC_HUMAN_UPS	140687.69021896902	185115.3906250002	150103.7020621763	3422651.6400913484	3317151.447311141	4004993.4084689696	3	0.0037669775848885325	-4.496815331674633	False	0.0005928853754940712	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P45578	624001177.0234771	628669632.6309907	619239614.6261183	646158686.144474	657856409.4491316	656077003.4485708	0	0.0038207122365781516	-0.06641004407669227	False	0.0006175889328063241	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
Q46829	212016867.53921023	211833860.0484318	218070982.28190735	232405918.02832147	227134395.95814025	230788566.90757447	0	0.0041513947324776646	-0.1048864888162203	False	0.000642292490118577	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A729	22414857.82384743	22923671.57166901	23129514.54201362	24959821.474620458	25365690.68348057	24433074.560135845	0	0.004336851401011223	-0.12680849907004427	False	0.0006669960474308301	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P37665	169559845.4999698	166164786.3044319	168292388.84197262	156032684.9142095	153792623.85252166	158952918.67256135	0	0.0045277618204489275	0.10456688947018335	False	0.000691699604743083	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
