Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P62988ups|UBIQ_HUMAN_UPS	Ubiquitin	Ubiquitin		3	3.0	901478.0	7482820.0	815196.0	7390720.0	7285240.0	995335.0	0	1.3532804783209665e-07	-3.030444581565385	True	2.5614754098360656e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		3	3.0	137917.0	9348770.0	199826.0	9233340.0	9270870.0	161682.0	3	1.3636415465882455e-07	-5.801419839164901	True	5.122950819672131e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		6	6.0	137917.0	40407400.0	199826.0	40472600.0	40699700.0	161682.0	3	2.0461345597815813e-06	-7.927418607812627	True	7.684426229508197e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		10	10.0	4231780.0	56903400.0	4709950.0	57646000.0	58475500.0	3993340.0	0	3.5505613321062402e-06	-3.7416199044254808	True	0.00010245901639344262	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10.0	137917.0	65398800.0	199826.0	65426500.0	65959000.0	161682.0	3	6.390523597541689e-06	-8.622131366822412	True	0.00012807377049180329	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4.0	137917.0	59228100.0	199826.0	58603800.0	59146200.0	161682.0	3	9.425245748402251e-06	-8.469087090104507	True	0.00015368852459016395	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		18	18.0	137917.0	33524600.0	199826.0	33201600.0	33722100.0	161682.0	3	1.610219055011565e-05	-7.65196939170651	True	0.0001793032786885246	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0AD49	RAIA_ECOLI	raiA	Ribosome-associated inhibitor A	7	7.0	43792000.0	49883600.0	43133200.0	49575900.0	50280400.0	43505300.0	0	2.1762657395241165e-05	-0.19917742580705722	True	0.00020491803278688525	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS	Peptidyl-prolyl	Peptidyl-prolyl		7	7.0	137917.0	74641200.0	199826.0	74195300.0	73398300.0	161682.0	3	2.3163603634758818e-05	-8.797600991459431	True	0.0002305327868852459	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		9	9.0	137917.0	83792700.0	199826.0	84526500.0	85521900.0	161682.0	3	3.444430600830909e-05	-8.989441921970572	False	0.00025614754098360657	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
