Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02788ups|TRFL_HUMAN_UPS	1.8837337481464884e-07	-1.298773329676056	6.7249804815230965	down	Lactotransferrin	Lactotransferrin	True	True	2.5484199796126402e-05	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P68871ups|HBB_HUMAN_UPS	2.854973536645733e-07	-1.2356976454095623	6.544397912966994	down	Hemoglobin	Hemoglobin	True	True	5.0968399592252805e-05	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P01579ups|IFNG_HUMAN_UPS	3.246055834234068e-07	-1.324573015400862	6.488644014303006	down	Interferon	Interferon	True	True	7.645259938837921e-05	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS	7.16289891464427e-07	-1.310835337303466	6.14491117771503	down	Serum	Serum	True	True	0.00010193679918450561	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P00441ups|SODC_HUMAN_UPS	7.183387940603337e-07	-1.130699604323251	6.143670678754806	down	Superoxide	Superoxide	True	True	0.00012742099898063202	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P55957ups|BID_HUMAN_UPS	1.0095816079956423e-06	-1.1813357880595454	5.9958585697667	down	BH3-interacting	BH3-interacting	True	True	0.00015290519877675843	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P41159ups|LEP_HUMAN_UPS	1.0148154634468807e-06	-1.4329367903406194	5.993612923753731	down	Leptin	Leptin	True	True	0.00017838939857288484	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P08263ups|GSTA1_HUMAN_UPS	1.6976207145057465e-06	-1.215317838878125	5.7701593341138855	down	Glutathione	Glutathione	True	True	0.00020387359836901122	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P12081ups|SYHC_HUMAN_UPS	1.744401878024714e-06	-1.3158758834180446	5.7583534544365085	down	Histidyl-tRNA	Histidyl-tRNA	True	True	0.00022935779816513763	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P00918ups|CAH2_HUMAN_UPS	1.7541753739765868e-06	-1.2886841238610884	5.755926990135929	down	Carbonic	Carbonic	True	True	0.00025484199796126404	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
O00762ups|UBE2C_HUMAN_UPS	1.8531584642944913e-06	-1.330805524143038	5.7320874424047	down	Ubiquitin-conjugating	Ubiquitin-conjugating	True	True	0.00028032619775739045	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P63165ups|SUMO1_HUMAN_UPS	1.9640397713792308e-06	-1.47671040498345	5.706849722090997	down	Small	Small	True	True	0.00030581039755351685	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P09211ups|GSTP1_HUMAN_UPS	1.9826687475898216e-06	-1.3502727404998147	5.702749839052848	down	Glutathione	Glutathione	True	True	0.0003312945973496432	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P06396ups|GELS_HUMAN_UPS	2.197979931518772e-06	-1.294963030081611	5.657976277185707	down	Gelsolin	Gelsolin	True	True	0.00035677879714576967	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P01127ups|PDGFB_HUMAN_UPS	2.819067131089479e-06	-1.2920469090698106	5.549894582051566	down	Platelet-derived	Platelet-derived	True	True	0.00038226299694189603	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P04040ups|CATA_HUMAN_UPS	2.879858860215959e-06	-1.2675101089042435	5.540628796175284	down	Catalase	Catalase	True	True	0.00040774719673802244	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P06732ups|KCRM_HUMAN_UPS	3.533393309346236e-06	-1.2848905806200044	5.45180801765384	down	Creatine	Creatine	True	True	0.0004332313965341489	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P61626ups|LYSC_HUMAN_UPS	3.6261425073142103e-06	-1.1535567469879062	5.44055513214232	down	Lysozyme	Lysozyme	True	True	0.00045871559633027525	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P01008ups|ANT3_HUMAN_UPS	3.8748641403761215e-06	-1.2221343511880356	5.411743520027175	down	Antithrombin-III	Antithrombin-III	True	True	0.00048419979612640166	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P02144ups|MYG_HUMAN_UPS	4.284149331656636e-06	-1.3807290710283375	5.368135399468534	down	Myoglobin	Myoglobin	True	True	0.0005096839959225281	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P02787ups|TRFE_HUMAN_UPS	4.38309038854533e-06	-1.3326634276044302	5.35821957318777	down	Serotransferrin	Serotransferrin	True	True	0.0005351681957186544	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P62937ups|PPIA_HUMAN_UPS	4.551516003890277e-06	-1.3348575745333733	5.341843925878188	down	Peptidyl-prolyl	Peptidyl-prolyl	True	True	0.0005606523955147809	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P15559ups|NQO1_HUMAN_UPS	5.440915263734132e-06	-1.2989817405269974	5.2643280376999115	down	NAD(P)H	NAD(P)H	True	True	0.0005861365953109074	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
O76070ups|SYUG_HUMAN_UPS	8.084484711388681e-06	-1.3151268125760005	5.092347655922354	down	Gamma-synuclein	Gamma-synuclein	True	True	0.0006116207951070337	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P16083ups|NQO2_HUMAN_UPS	8.429173677721e-06	-1.2646745170945835	5.074214997711624	down	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide	True	True	0.0006371049949031601	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P69905ups|HBA_HUMAN_UPS	8.599485055089229e-06	-1.3566975143839421	5.065527553922585	down	Hemoglobin	Hemoglobin	True	True	0.0006625891946992864	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P10636-8ups|TAU_HUMAN_UPS	1.1439472309293162e-05	-1.3060128844835361	4.941594008624096	down	Microtubule-associated	Microtubule-associated	True	True	0.0006880733944954129	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
