protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS	436761394.830844	442384815.7270996	437777945.4977643	51547317.31723896	46207046.96032961	50398197.78562711	0	8.801703758305174e-09	3.152016779933072	True	2.4703557312252964e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	225604205.32906145	232144565.2929295	236506759.78140163	22796998.71341712	31000716.561221804	29493334.07700687	0	1.6160333008856282e-06	3.059233390828409	True	4.940711462450593e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	230579780.62228227	238405247.0543403	244119681.8379312	17509881.117733795	25500408.36706321	31136689.125382405	0	2.7960980666812396e-06	3.2656541208325978	True	7.41106719367589e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	159468899.2978576	164101389.5431519	155088931.40029952	25093934.039108764	15648164.04911119	20098016.2406694	0	3.279622316471418e-06	2.9759041304782943	True	9.881422924901186e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	156156217.48900214	163256971.9942751	159266281.1689803	14543808.901418837	15169978.501260828	18453817.0341214	0	4.709691553780283e-06	3.312924853895771	True	0.00012351778656126481	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	75065503.45150632	73322332.83623819	70918907.83763447	8008404.046560207	9126905.810242096	6750253.528153806	0	1.2511634370787848e-05	3.198739367540538	True	0.0001482213438735178	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS	124868119.62846044	126740787.80525003	119417146.17215575	14324435.143094344	10004315.87460019	11395397.454631751	0	1.4267125634804915e-05	3.3765489685698866	True	0.00017292490118577076	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	411599372.5907849	415945303.1937957	403133916.7673341	37578297.34834887	39078245.50147496	34524526.11584383	0	1.7070447674865075e-05	3.4684709693918974	True	0.0001976284584980237	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	137282952.9166162	144406598.0990477	143909484.94347975	12596139.782908164	16316705.999392604	14573272.233349873	0	2.8509925663174852e-05	3.290868051951813	False	0.0002223320158102767	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS	18703129.638451435	19740761.8711196	19123914.70746447	2680821.4253343595	3142128.863027647	3075268.46220494	0	2.8535549525316805e-05	2.6936737646034765	False	0.00024703557312252963	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS	80818579.86544228	91443142.15306444	90535076.20773032	120722.0751694668	95444.94282135296	7642542.345914082	2	6.723798643679379e-05	5.063511490443583	False	0.0002717391304347826	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS	283878659.7293372	296942647.8654208	282599998.0208885	35497132.90771038	30557643.889920373	30433428.171214625	0	6.770040303784037e-05	3.161640194349501	False	0.0002964426877470356	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	169606621.2556215	168436191.8963949	176281404.65612695	25772566.03004635	28412223.130782276	27639313.300734594	0	8.2175019766183e-05	2.6520803096028476	False	0.0003211462450592885	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS	162313016.73284334	163596416.30270293	154366764.50367275	15861492.527175635	14691963.377491528	61921.95710385033	1	8.796076956664688e-05	3.971535916087741	False	0.0003458498023715415	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	559116999.2783945	572881810.4091997	545142525.1701077	55910659.55768368	58368844.19426032	63065305.45634228	0	0.00010797963856252217	3.2413752627332926	False	0.00037055335968379444	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
