Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7.0	48531400.0	48806200.0	3185340.0	47802700.0	3043520.0	4142430.0	0	8.438536730577701e-08	3.8067809016859173	True	2.5920165889061693e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		18	18.0	74947200.0	73837100.0	9340320.0	76169100.0	7564820.0	7720760.0	0	2.606724950138756e-07	3.1913778156642163	True	5.1840331778123385e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8.0	189167000.0	184641000.0	21543600.0	183800000.0	17085500.0	20597600.0	0	2.821458941145793e-07	3.23493165045677	True	7.776049766718508e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		6	6.0	67518600.0	66985900.0	7795020.0	68425000.0	7588020.0	8442660.0	0	3.657009578836944e-07	3.0903880995959843	True	0.00010368066355624677	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		9	9.0	40231000.0	39568000.0	3885910.0	40573200.0	4270740.0	3770540.0	0	1.81543640030865e-06	3.335176144876568	True	0.00012960082944530845	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	Hemoglobin	Hemoglobin		6	6.0	38086300.0	37370400.0	3743590.0	38119600.0	3412920.0	3772550.0	0	1.9705397626143433e-06	3.377420592275186	True	0.00015552099533437016	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		13	13.0	55335500.0	53111500.0	4728050.0	53157600.0	5619890.0	6595280.0	0	1.9767093891371085e-06	3.2536882793079998	True	0.00018144116122343183	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		16	16.0	26396200.0	26356000.0	2347430.0	26738500.0	3132800.0	2671140.0	0	2.355647073715573e-06	3.285671623969126	True	0.00020736132711249354	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8.0	52048100.0	49556100.0	7976080.0	48611700.0	6337900.0	5087130.0	0	7.353355073698596e-06	2.9528264256971997	True	0.00023328149300155522	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3.0	59863800.0	62056100.0	5872530.0	60597600.0	6054250.0	6856730.0	0	8.47804610702299e-06	3.280496213985376	True	0.0002592016588906169	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
