protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
O76070ups|SYUG_HUMAN_UPS	448538971.7391529	446334282.97239006	453215817.5018459	90066996.91868353	87908492.26797794	80792081.75136833	0	1.7726609288155858e-07	2.381187089276859	True	2.415458937198068e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P02144ups|MYG_HUMAN_UPS	259932690.92772195	266153250.8547189	262735948.28163785	55203886.97913806	60025870.51092071	52713057.337901935	0	2.948729914888914e-07	2.231729514098039	True	4.830917874396136e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P04040ups|CATA_HUMAN_UPS	168604211.8766831	169320485.9676805	164705155.8546508	39983805.91254091	35836856.44529589	34928943.5382735	0	4.467144205222836e-07	2.1821947976914133	True	7.246376811594204e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P02788ups|TRFL_HUMAN_UPS	585003497.8262911	600871984.4455097	588308777.8138455	126171665.05565916	117984641.64479044	129699872.45472369	0	5.405010477154654e-07	2.246600566837294	True	9.661835748792272e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P01579ups|IFNG_HUMAN_UPS	159930979.99030277	165178285.70124218	161998852.18221974	26752838.60265716	23449220.81769182	26078942.091123328	0	1.0964356127293161e-06	2.6748463361590833	True	0.00012077294685990338	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P10636-8ups|TAU_HUMAN_UPS	246007359.13138288	251799131.4036148	250428692.5534605	52368434.95502721	43592526.81556364	49002696.75931896	0	1.444678977244592e-06	2.3678005340002524	True	0.00014492753623188408	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P01008ups|ANT3_HUMAN_UPS	349334008.1736276	361744372.24598175	352653045.8126873	69662617.45683798	68164199.0160462	61832122.91343051	0	2.020578210688483e-06	2.413524368572542	True	0.00016908212560386474	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P62937ups|PPIA_HUMAN_UPS	193990131.4635939	199363840.4705396	190680468.85050437	34721928.09596503	31251089.16604149	23661311.558894034	0	4.370844268453375e-06	2.7039301707265215	True	0.00019323671497584543	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P06396ups|GELS_HUMAN_UPS	245621482.8324937	245863694.76419047	247958733.32369223	54138201.17798689	49294641.53817295	48975550.90564769	0	4.463227507091378e-06	2.278498359759989	True	0.0002173913043478261	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P01127ups|PDGFB_HUMAN_UPS	140735935.27848572	144896305.4548006	147342853.73886433	33311758.842832744	29088562.32383637	31069922.78574668	0	5.872099735263307e-06	2.211704976458943	True	0.00024154589371980676	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P63165ups|SUMO1_HUMAN_UPS	157499261.9418279	149309078.0391297	151912747.2072872	26890688.12219611	24369715.90330727	33945366.66232829	0	6.418368426839129e-06	2.428594181398144	True	0.00026570048309178745	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P02787ups|TRFE_HUMAN_UPS	481594930.34179175	483057415.660286	468467886.0673351	102057939.87250088	95128128.74931107	77655040.10447006	0	7.814927903625921e-06	2.3824899368299084	True	0.00028985507246376816	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P08758ups|ANXA5_HUMAN_UPS	289910314.7320956	299126692.88834614	301774469.8212372	58247176.04769946	51469182.49615725	55032403.89268815	0	8.026828637600138e-06	2.434852518290339	True	0.0003140096618357488	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P16083ups|NQO2_HUMAN_UPS	148512996.9010877	155149812.87173572	151265909.68625587	35543350.59885263	32658451.233909044	33181761.972899977	0	2.3005154274008737e-05	2.165816731107321	True	0.0003381642512077295	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
