Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		4	4.0	59055.4	130841.0	5596670.0	108673.0	5521710.0	5618630.0	3	4.709176963239259e-08	-5.808831695913965	True	2.6136957658128594e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		8	8.0	59055.4	130841.0	3427510.0	108673.0	3372490.0	3329160.0	3	2.343514430308279e-07	-5.084304414715597	True	5.227391531625719e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		3	3.0	59055.4	130841.0	2156260.0	108673.0	2203520.0	2147900.0	3	3.041849669346704e-07	-4.446005093415262	True	7.841087297438579e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P76010	YCGR_ECOLI	ycgR	Flagellar brake protein YcgR	3	3.0	59055.4	130841.0	1608910.0	108673.0	1551970.0	1494250.0	3	1.4789548831339025e-05	-3.962683239136167	True	0.00010454783063251438	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		6	6.0	858644.0	130841.0	14092200.0	108673.0	14039500.0	13015600.0	2	1.687551928818992e-05	-5.227640221667061	True	0.00013068478829064296	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		6	6.0	59055.4	130841.0	10645600.0	108673.0	10383400.0	10578600.0	3	1.82804249823148e-05	-6.726061370687234	True	0.00015682174594877158	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		3	3.0	59055.4	130841.0	1672840.0	108673.0	1804280.0	1741510.0	3	2.8134233144434438e-05	-4.12753290057321	False	0.00018295870360690017	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS	Annexin	Annexin		5	5.0	59055.4	130841.0	3026990.0	108673.0	3017830.0	2862470.0	3	5.67149412234829e-05	-4.8988483473284825	False	0.00020909566126502875	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		8	8.0	59055.4	130841.0	13344800.0	108673.0	13928600.0	13747200.0	3	0.0001310654056786013	-7.102138470694944	False	0.00023523261892315734	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		2	2.0	59055.4	130841.0	7213860.0	108673.0	6959210.0	7356300.0	3	0.00017632167139097226	-6.172095980187887	False	0.00026136957658128593	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
