Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS	1.1832137183932128e-06	-1.583237497654629	5.926936803693437	down	Carbonic	Carbonic	True	True	2.573340195573855e-05	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P01008ups|ANT3_HUMAN_UPS	2.120617229303269e-05	-1.4423832660053222	4.673537714417535	down	Antithrombin-III	Antithrombin-III	True	True	5.14668039114771e-05	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P16083ups|NQO2_HUMAN_UPS	3.022277801417813e-05	-1.4470207298150122	4.519665618727036	down	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide	True	False	7.720020586721566e-05	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS	5.0220238573924956e-05	-1.5031861305454015	4.29912122847907	down	Serum	Serum	True	False	0.0001029336078229542	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P12081ups|SYHC_HUMAN_UPS	7.416057667782489e-05	-1.5980528749072391	4.129826901746199	down	Histidyl-tRNA	Histidyl-tRNA	True	False	0.00012866700977869275	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P68871ups|HBB_HUMAN_UPS	9.86016237177641e-05	-0.7074953912867095	4.00611593327523	down	Hemoglobin	Hemoglobin	True	False	0.0001544004117344313	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P05413ups|FABPH_HUMAN_UPS	0.00010168911145429979	-1.059571534094765	3.9927255474556116	down	Fatty	Fatty	True	False	0.00018013381369016987	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P37177	0.00010171495408125525	-0.21297944609849395	3.9926151926274964	non_sig	ptsP		False	False	0.0002058672156459084	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P0A7X3	0.00018775545704910007	0.1449267458831578	3.7264074315175613	non_sig	rpsI		False	False	0.00023160061760164695	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
Q15843ups|NEDD8_HUMAN_UPS	0.00019720940637069434	-1.5978674200366676	3.705072374194703	down	NEDD8	NEDD8	True	False	0.0002573340195573855	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P02144ups|MYG_HUMAN_UPS	0.0002223754323847106	-1.868380716394764	3.6529131944690696	down	Myoglobin	Myoglobin	True	False	0.00028306742151312407	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P0AEK4	0.00041760154403319884	0.04683413028945438	3.379237904249428	non_sig	fabI		False	False	0.0003088008234688626	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P0ADB1	0.000865052805894961	0.11080406873749382	3.0629573808486956	non_sig	osmE		False	False	0.0003345342254246011	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P08758ups|ANXA5_HUMAN_UPS	0.0009590746693491597	-1.8687507356722897	3.0181475792486223	down	Annexin	Annexin	True	False	0.00036026762738033973	False	Human	True	False	False	False	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P02788ups|TRFL_HUMAN_UPS	0.0015427654665818864	-1.519504858090663	2.811700090988768	down	Lactotransferrin	Lactotransferrin	True	False	0.00038600102933607824	False	Human	True	False	False	False	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P0ACP5	0.0016717478213583185	-0.08202114803405891	2.7768292341054375	non_sig	gntR		False	False	0.0004117344312918168	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P15559ups|NQO1_HUMAN_UPS	0.001686653304712727	-1.2097093893637378	2.772974178420881	down	NAD(P)H	NAD(P)H	True	False	0.00043746783324755535	False	Human	True	False	False	False	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P68679	0.001787261596897623	0.08440260846245806	2.7478118762720243	non_sig	rpsU		False	False	0.0004632012352032939	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.6609640474436812
P41159ups|LEP_HUMAN_UPS	0.002128281790447309	-1.9164412600908918	2.6719708707687975	down	Leptin	Leptin	True	False	0.0004889346371590325	False	Human	True	False	False	False	diann231	AlphaPeptStats	randomforest	0.6609640474436812
O00762ups|UBE2C_HUMAN_UPS	0.002348876433202053	-1.653697115949015	2.6291398294505868	down	Ubiquitin-conjugating	Ubiquitin-conjugating	True	False	0.000514668039114771	False	Human	True	False	False	False	diann231	AlphaPeptStats	randomforest	0.6609640474436812
