protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P16083ups|NQO2_HUMAN_UPS	974378.2393721346	934244.3690919224	1078760.4695608525	2684495.334711774	2705730.438909982	2560973.8719609235	0	1.224365275887098e-05	-1.4122902958038765	True	2.4826216484607746e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P01008ups|ANT3_HUMAN_UPS	4884193.482254629	4935895.995117196	5537795.432827358	13539227.69651408	12814875.82463356	13441226.690622255	0	1.2981924181904355e-05	-1.3736196058618722	True	4.965243296921549e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P0AEV1	622692.4002228911	628117.8124999999	671514.6566574211	146892.9414173368	101496.66279868108	129991.79890025848	3	1.7673728757953304e-05	2.3449390803193415	True	7.447864945382325e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.6609640474436812
P68871ups|HBB_HUMAN_UPS	10733679.945407268	9901089.18347824	10445298.926381487	16900880.77536835	16640049.59084425	16196561.22697968	0	5.064439673904311e-05	-0.6783440872863606	False	9.930486593843098e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS	21028133.63687495	19607584.80742176	17671436.218831766	52200340.28178108	51103693.70107256	55678663.45773955	0	8.294222917975248e-05	-1.4471249338976784	False	0.00012413108242303873	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
Q15843ups|NEDD8_HUMAN_UPS	1412743.7840869622	1320470.9949136293	1037113.1346623922	3491031.834954236	3731981.833009092	3440902.583481769	0	0.00012688769389460677	-1.4999754470420563	False	0.0001489572989076465	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P12081ups|SYHC_HUMAN_UPS	10128781.227408042	7951311.301502092	8229439.262416921	21360132.04941089	23703105.230145283	22043468.90863103	0	0.0001539703438193157	-1.3508713724696935	False	0.00017378351539225424	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P05413ups|FABPH_HUMAN_UPS	3331763.269723728	3939200.555250964	4127550.6253258046	7381569.834306464	8199253.529622863	8272712.298031859	0	0.0004339263200648012	-1.0653573112754913	False	0.00019860973187686197	False	True	Human	True	False	False	False	diann231	directlfq	min	0.6609640474436812
P08758ups|ANXA5_HUMAN_UPS	4975769.395676731	6375972.243442087	4322012.579053203	14984177.074177466	13230382.927732658	13262821.720733484	0	0.0005137619930227973	-1.4039740470363158	False	0.00022343594836146972	False	True	Human	True	False	False	False	diann231	directlfq	min	0.6609640474436812
P0A6J8	332839392.8934257	333791773.9486762	331174108.6097293	342969767.8650963	341183500.39295506	341252928.8758234	0	0.0009204388752417031	-0.03936531984260535	False	0.00024826216484607745	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
