Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		6	6.0	3905960.0	11392400.0	3793750.0	11530300.0	11072100.0	3648240.0	0	1.3819340194285764e-05	-1.582882382905335	True	2.6315789473684212e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		6	6.0	4894330.0	13742600.0	5035200.0	13302800.0	12991200.0	4230960.0	0	1.4693647431108025e-05	-1.499448274074174	True	5.2631578947368424e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		11	11.0	1903300.0	6330010.0	2325990.0	6335730.0	6830510.0	2230250.0	0	5.150831197263999e-05	-1.5936933201729488	False	7.894736842105265e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		3	3.0	376260.0	1066640.0	378092.0	1068780.0	1097620.0	433993.0	0	6.283081022837847e-05	-1.4439376171825344	False	0.00010526315789473685	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P37177	PT1P_ECOLI	ptsP	Phosphoenolpyruvate-protein phosphotransferase PtsP	8	8.0	2202430.0	2552770.0	2174750.0	2531270.0	2579270.0	2234580.0	0	0.00012674248231627446	-0.21293331024109052	False	0.00013157894736842105	True	False	Ecoli	False	True	False	True	diann231	manual	min	0.6609640474436812
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		2	2.0	140302.0	2159380.0	151323.0	2153560.0	2044700.0	126123.0	3	0.0002231828837669017	-3.927786500087252	False	0.0001578947368421053	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		2	2.0	3153710.0	7046320.0	3544300.0	7219960.0	7312420.0	3675510.0	0	0.00026002500323990313	-1.0567024324056118	False	0.00018421052631578948	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		4	4.0	1418320.0	5659490.0	1347220.0	5426740.0	5651740.0	1866250.0	0	0.0002739930226281215	-1.8534828170072166	False	0.0002105263157894737	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
Q15843ups|NEDD8_HUMAN_UPS	NEDD8	NEDD8		2	2.0	803004.0	2286200.0	855577.0	2210620.0	2504530.0	664293.0	0	0.00031252995871030074	-1.5917222293276234	False	0.0002368421052631579	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
Q06830ups|PRDX1_HUMAN_UPS	Peroxiredoxin	Peroxiredoxin		4	4.0	140302.0	1824360.0	402819.0	1709550.0	1496160.0	126123.0	2	0.00039205189871401703	-2.9099742723729527	False	0.0002631578947368421	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
