Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		21	21.0	61571200.0	13643700.0	61607300.0	12784500.0	60741500.0	12950100.0	0	2.675639340988559e-08	-2.223605636038285	True	2.6329647182727753e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		8	8.0	65863500.0	15728000.0	66517300.0	16422300.0	66034900.0	15416500.0	0	1.245400426871658e-07	-2.060499308006305	True	5.2659294365455505e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P08758ups|ANXA5_HUMAN_UPS	Annexin	Annexin		17	17.0	125479000.0	28603600.0	125482000.0	25514200.0	123021000.0	25534500.0	0	3.525845116561979e-07	-2.231180907915741	True	7.898894154818326e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		20	20.0	153405000.0	31767400.0	152161000.0	33910300.0	151667000.0	31070400.0	0	4.1194105914609905e-07	-2.2406242972305153	True	0.00010531858873091101	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		7	7.0	83384800.0	18209700.0	84236700.0	16712300.0	83589000.0	17205700.0	0	4.234338395288907e-07	-2.2687746554411787	True	0.00013164823591363875	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		7	7.0	16273600.0	3243510.0	16800700.0	3205680.0	16412200.0	2801030.0	0	4.3022597389506873e-07	-2.4194754261641944	True	0.00015797788309636652	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		24	24.0	52861900.0	11054100.0	53196600.0	11041800.0	51940100.0	10355900.0	0	8.09250369557471e-07	-2.2835413676271252	True	0.00018430753027909427	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4.0	116637000.0	24830200.0	117226000.0	24576600.0	114532000.0	23220800.0	0	8.104622973018322e-07	-2.26213410752516	True	0.00021063717746182202	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		13	13.0	100611000.0	20111600.0	99239900.0	21141100.0	102195000.0	22106100.0	0	8.553945303251457e-07	-2.25315088692491	True	0.00023696682464454977	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8.0	81280400.0	16914100.0	84340000.0	18779500.0	82252300.0	19681000.0	0	8.693927317900736e-07	-2.162303108342486	True	0.0002632964718272775	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		18	18.0	75664800.0	16120300.0	74310000.0	15523100.0	76141100.0	15080400.0	0	1.7163049733083417e-06	-2.2748329259231004	True	0.00028962611901000527	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		11	10.0	208555000.0	43719500.0	205742000.0	46967900.0	202689000.0	46405100.0	0	1.741361136626364e-06	-2.1700881067113222	True	0.00031595576619273305	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P63279ups|UBC9_HUMAN_UPS	SUMO-conjugating	SUMO-conjugating		5	5.0	77457100.0	18210000.0	77532200.0	18017800.0	79127400.0	17481500.0	0	8.40157593342572e-06	-2.123984024462104	True	0.00034228541337546077	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7.0	91378800.0	23899300.0	91219300.0	20539600.0	86936400.0	17938600.0	0	8.821234545234455e-06	-2.111372309683325	True	0.00036861506055818854	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		11	11.0	69661800.0	13396200.0	70191700.0	14185900.0	67922600.0	14412700.0	0	1.1877846372594487e-05	-2.3067471113816285	True	0.00039494470774091627	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10.0	124875000.0	27415000.0	120434000.0	25806800.0	125612000.0	24722800.0	0	1.946333921454247e-05	-2.2505909679089595	True	0.00042127435492364404	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1.0	63886500.0	15567700.0	59889400.0	10871600.0	65194200.0	11078700.0	0	2.2132933538018753e-05	-2.3325031523132562	True	0.0004476040021063718	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
