Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		20	20.0	151545000.0	80870900.0	150772000.0	79605000.0	81647900.0	152699000.0	0	1.1092856811341123e-07	-0.9101723779082959	True	2.617801047120419e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		24	24.0	56670600.0	27583400.0	56607400.0	27818100.0	28648700.0	55750700.0	0	3.7680317059488214e-07	-1.0079450702488562	True	5.235602094240838e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		21	21.0	65351500.0	34287500.0	64876900.0	33454600.0	34698100.0	64456600.0	0	9.654669798501192e-07	-0.9263597575299144	True	7.853403141361257e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P08758ups|ANXA5_HUMAN_UPS	Annexin	Annexin		17	17.0	124039000.0	66932600.0	121492000.0	63505400.0	63473400.0	121115000.0	0	4.0920105380731835e-06	-0.9189901784873359	True	0.00010471204188481676	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		18	18.0	84414300.0	43371400.0	82481700.0	40945800.0	40716000.0	82725700.0	0	6.458431245809292e-06	-0.9974321315474142	True	0.00013089005235602096	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		11	11.0	197612000.0	97747100.0	190031000.0	95972200.0	101883000.0	194206000.0	0	7.051982136315421e-06	-0.9769873023517424	True	0.00015706806282722515	True	True	Human	True	False	False	True	diann231	manual	min	0.5
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11.0	207220000.0	117580000.0	208137000.0	115471000.0	114426000.0	212415000.0	0	9.205890730953337e-06	-0.8533231960638569	True	0.00018324607329842934	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P61626ups|LYSC_HUMAN_UPS	Lysozyme	Lysozyme		3	3.0	138287000.0	71957200.0	140590000.0	74390600.0	72160700.0	136226000.0	0	9.818629590481064e-06	-0.9257799567298793	True	0.00020942408376963353	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P63165ups|SUMO1_HUMAN_UPS	Small	Small		19	19.0	101562000.0	49657400.0	99156000.0	52534400.0	52646000.0	97294900.0	0	1.1300935913595173e-05	-0.9446170670947148	True	0.0002356020942408377	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P62988ups|UBIQ_HUMAN_UPS	Ubiquitin	Ubiquitin		4	4.0	16564000.0	8310320.0	17175500.0	7760390.0	8305910.0	16444000.0	0	1.1622758014008388e-05	-1.0417149942277406	True	0.0002617801047120419	True	True	Human	True	False	False	True	diann231	manual	min	0.5
