Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		12	12.0	84546.4	9431320.0	128474.0	9457680.0	126544.0	9435190.0	3	4.458533634841757e-09	-6.382205674610357	True	2.5853154084798348e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0A7A9	IPYR_ECOLI	ppa	Inorganic pyrophosphatase	9	9.0	419174000.0	469993000.0	417629000.0	469356000.0	417173000.0	468175000.0	0	4.4937746724825084e-07	-0.1666497857369739	True	5.1706308169596696e-05	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		10	10.0	84546.4	16265800.0	128474.0	16303300.0	126544.0	16131900.0	3	2.4770165925144347e-06	-7.164122371525568	True	7.755946225439505e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		12	12.0	922694.0	28666800.0	128474.0	27186600.0	126544.0	27411400.0	2	8.986612444701782e-06	-6.143648040567728	True	0.00010341261633919339	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3.0	84546.4	14919900.0	128474.0	14737400.0	126544.0	14680300.0	3	1.2214723423347282e-05	-7.028701654444265	True	0.00012926577042399174	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS	Ubiquitin	Ubiquitin		2	2.0	486381.0	1315800.0	358915.0	1399520.0	417877.0	1294330.0	0	5.4742338270485454e-05	-1.666424070768411	False	0.0001551189245087901	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P76536	YFEX_ECOLI	yfeX	Probable deferrochelatase/peroxidase YfeX	14	14.0	86019200.0	80873600.0	85701800.0	81187700.0	85314800.0	81514100.0	0	8.811455254044621e-05	0.07760087727206257	False	0.00018097207859358843	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P0AGC3	SLT_ECOLI	slt	Soluble lytic murein transglycosylase	12	12.0	6427910.0	5694310.0	6340350.0	5577180.0	6442550.0	5600500.0	0	9.15596927157077e-05	0.1872882045730864	False	0.00020682523267838678	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P0C018	RL18_ECOLI	rplR	50S ribosomal protein L18	5	5.0	384632000.0	319472000.0	376969000.0	322095000.0	383623000.0	316955000.0	0	0.00010030288456895395	0.2567463596207426	False	0.00023267838676318511	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P0A905	SLYB_ECOLI	slyB	Outer membrane lipoprotein SlyB	6	6.0	189717000.0	174093000.0	189101000.0	172725000.0	189706000.0	172693000.0	0	0.0001238161940462164	0.1300669564354788	False	0.0002585315408479835	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3.0	84546.4	7969730.0	128474.0	8170090.0	126544.0	8323960.0	3	0.00012429844120779256	-6.170818313270699	False	0.00028438469493278183	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P23256	MALY_ECOLI	malY	Protein MalY	1	1.0	1788640.0	118384.0	1733880.0	147884.0	1839920.0	137696.0	3	0.00013207717992974057	3.7305909651017224	False	0.0003102378490175802	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		12	12.0	84546.4	7074600.0	128474.0	7241330.0	126544.0	7424640.0	3	0.00015355899111183104	-6.000560741214233	False	0.0003360910031023785	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P67699	YDDM_ECOLI	yddM	Uncharacterized HTH-type transcriptional regulator YddM	1	1.0	84546.4	4159490.0	128474.0	4149450.0	126544.0	4376080.0	3	0.00020318568203329094	-5.2232967694412915	False	0.00036194415718717685	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P0ACY9	YEBG_ECOLI	yebG	Uncharacterized protein YebG	2	2.0	22429700.0	18367000.0	22838800.0	17681600.0	22556600.0	18213400.0	0	0.00021218995083203143	0.32187704583856447	False	0.00038779731127197516	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		7	7.0	84546.4	14971100.0	128474.0	15173800.0	126544.0	15781600.0	3	0.00024549309928628764	-7.079497817192655	False	0.00041365046535677357	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	Peroxiredoxin	Peroxiredoxin		7	7.0	84546.4	5672470.0	128474.0	5453340.0	126544.0	5337270.0	3	0.00025725687400591905	-5.599405243416135	False	0.0004395036194415719	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		13	13.0	84546.4	23598200.0	128474.0	22409200.0	126544.0	23444400.0	3	0.00025760534229107076	-7.676183060780192	False	0.00046535677352637023	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
