Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06732ups|KCRM_HUMAN_UPS	7.38447520613276e-07	-1.0209609561719226	6.131680363341758	down	Creatine	Creatine	True	True	2.5523226135783563e-05	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P00918ups|CAH2_HUMAN_UPS	2.568377829565949e-06	-1.0143148879878474	5.590341087602579	down	Carbonic	Carbonic	True	True	5.104645227156713e-05	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P55957ups|BID_HUMAN_UPS	4.407868595097042e-06	-0.7031450931585432	5.3557713609064725	down	BH3-interacting	BH3-interacting	True	True	7.65696784073507e-05	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P02788ups|TRFL_HUMAN_UPS	6.162793033905552e-06	-0.9983325000236789	5.210222417007608	down	Lactotransferrin	Lactotransferrin	True	True	0.00010209290454313425	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P02768ups|ALBU_HUMAN_UPS	9.942331471335943e-06	-0.8958788059201588	5.002511761839508	down	Serum	Serum	True	True	0.00012761613067891782	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P01127ups|PDGFB_HUMAN_UPS	2.007986424152086e-05	-0.9253358780513068	4.69723922775001	down	Platelet-derived	Platelet-derived	True	True	0.0001531393568147014	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
Q15843ups|NEDD8_HUMAN_UPS	2.562530919086441e-05	-1.059131682997954	4.591330885777119	down	NEDD8	NEDD8	True	False	0.00017866258295048495	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P01008ups|ANT3_HUMAN_UPS	2.7734897375096844e-05	-0.851905562359736	4.556973436762308	down	Antithrombin-III	Antithrombin-III	True	False	0.0002041858090862685	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P05413ups|FABPH_HUMAN_UPS	2.864205649873596e-05	-0.9482854705047643	4.5429958029148425	down	Fatty	Fatty	True	False	0.00022970903522205206	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P01375ups|TNFA_HUMAN_UPS	3.117041804111979e-05	-1.289906787101387	4.50625737315678	down	Tumor	Tumor	True	False	0.00025523226135783564	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P02144ups|MYG_HUMAN_UPS	3.2231628483002196e-05	-1.1374952862506298	4.49171775147448	down	Myoglobin	Myoglobin	True	False	0.0002807554874936192	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P41159ups|LEP_HUMAN_UPS	5.86942588399854e-05	-1.0676763680709094	4.231404377049718	down	Leptin	Leptin	True	False	0.0003062787136294028	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P02787ups|TRFE_HUMAN_UPS	5.897926639294754e-05	-0.9914808049659385	4.229300633674288	down	Serotransferrin	Serotransferrin	True	False	0.00033180193976518635	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P08263ups|GSTA1_HUMAN_UPS	7.003757854187259e-05	-1.0233692497276614	4.1546688774955305	down	Glutathione	Glutathione	True	False	0.0003573251659009699	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
Q06830ups|PRDX1_HUMAN_UPS	7.41005483962763e-05	-0.8455677480707386	4.130178577923568	down	Peroxiredoxin	Peroxiredoxin	True	False	0.00038284839203675346	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P15559ups|NQO1_HUMAN_UPS	7.869570042375004e-05	-1.13696465712097	4.104048994874085	down	NAD(P)H	NAD(P)H	True	False	0.000408371618172537	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P68871ups|HBB_HUMAN_UPS	8.97277252989649e-05	-0.6276113145764981	4.047073341974078	down	Hemoglobin	Hemoglobin	True	False	0.0004338948443083206	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P08758ups|ANXA5_HUMAN_UPS	0.00013020446356468753	-0.9393570752775418	3.8853741273785336	down	Annexin	Annexin	True	False	0.0004594180704441041	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P12081ups|SYHC_HUMAN_UPS	0.00015129224476640907	-0.9792002548181102	3.8201833333216655	down	Histidyl-tRNA	Histidyl-tRNA	True	False	0.00048494129657988773	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P01579ups|IFNG_HUMAN_UPS	0.00015293234021247992	-0.9516384151531803	3.815500665727836	down	Interferon	Interferon	True	False	0.0005104645227156713	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
O00762ups|UBE2C_HUMAN_UPS	0.0001575183923818997	-0.9083695280090609	3.802668729216515	down	Ubiquitin-conjugating	Ubiquitin-conjugating	True	False	0.0005359877488514548	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P60560	0.00016596851779461416	-0.18837068975660642	3.7799742845186985	non_sig	guaC		False	False	0.0005615109749872384	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P16083ups|NQO2_HUMAN_UPS	0.00017363845957138637	-0.9681772392011965	3.760354075647287	down	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide	True	False	0.000587034201123022	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P61714	0.00018715903194622448	0.07503916297516611	3.7277892098011876	non_sig	ribE		False	False	0.0006125574272588056	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P36928	0.00020275703892301178	0.11926818919639004	3.6930240598671933	non_sig	yegD		False	False	0.000638080653394589	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P10636-8ups|TAU_HUMAN_UPS	0.0002572538508028729	-1.0039841332626445	3.589638115613453	down	Microtubule-associated	Microtubule-associated	True	False	0.0006636038795303727	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0AG99	0.0002807681582879923	-0.08626705299921156	3.5516521467699387	non_sig	secG		False	False	0.0006891271056661563	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0AB26	0.0003914063129033034	-0.18081122092894475	3.407372173984713	non_sig	yceB		False	False	0.0007146503318019398	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P13033	0.000432314619525931	0.2663431179725215	3.3642000777393437	non_sig	glpB		False	False	0.0007401735579377234	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P06396ups|GELS_HUMAN_UPS	0.00050261209113219	-0.9778658521670209	3.298767067974188	down	Gelsolin	Gelsolin	True	False	0.0007656967840735069	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A780	0.000521364952441288	-0.21272942076197054	3.282858166633241	non_sig	nusB		False	False	0.0007912200102092905	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P77756	0.0005661564722426435	-0.4763282386857206	3.2470635235111898	non_sig	queC		False	False	0.000816743236345074	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
O76070ups|SYUG_HUMAN_UPS	0.0005874358049807192	-0.9606410760076898	3.231039586189712	down	Gamma-synuclein	Gamma-synuclein	True	False	0.0008422664624808577	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P63279ups|UBC9_HUMAN_UPS	0.0006709315819788724	-0.808249068183585	3.1733217646059746	down	SUMO-conjugating	SUMO-conjugating	True	False	0.0008677896886166412	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P18775	0.0006782734821653469	0.07801923543002687	3.168595161815097	non_sig	dmsA		False	False	0.0008933129147524247	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A912	0.0007649383309250884	0.11241962591432753	3.116373576112407	non_sig	pal		False	False	0.0009188361408882082	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P60624	0.0008030237714379963	-0.08276187594591988	3.0952715983682153	non_sig	rplX		False	False	0.0009443593670239919	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0AEX9	0.000806919188596295	-0.11519750737681633	3.093169956856667	non_sig	malE		False	False	0.0009698825931597755	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P00915ups|CAH1_HUMAN_UPS	0.0008081238259602456	-1.0029581173093298	3.0925220887167306	down	Carbonic	Carbonic	True	False	0.0009954058192955591	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A7L8	0.0008147043046477957	-0.10008872823044612	3.088999989004387	non_sig	rpmA		False	False	0.0010209290454313426	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P64519	0.000855978361492432	-0.6574138600288322	3.0675372138312733	down	yodD	yodD	True	False	0.0010464522715671262	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A6X7	0.001034845058319189	-0.08850595411000484	2.9851246698730023	non_sig	ihfA		False	False	0.0010719754977029097	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P99999ups|CYC_HUMAN_UPS	0.001045283474633194	-0.7533686129606245	2.9807659155109185	down	Cytochrome	Cytochrome	True	False	0.0010974987238386931	True	Human	True	False	False	True	diann231	AlphaPeptStats	randomforest	0.5
P61517	0.0010547181257022397	0.06422501309565476	2.9768635904218335	non_sig	can		False	False	0.0011230219499744768	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P76270	0.0010618786020423793	-0.1427653647998426	2.973925130596084	non_sig	msrC		False	False	0.0011485451761102604	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A6N4	0.0010743306720851858	-0.12599256262250336	2.968862025006413	non_sig	efp		False	False	0.001174068402246044	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P0A7C2	0.0011011073484940193	-0.09686508874098365	2.958170338988327	non_sig	lexA		False	False	0.0011995916283818275	True	Ecoli	False	True	False	True	diann231	AlphaPeptStats	randomforest	0.5
P06968	0.0012321776823264459	0.14085650330851252	2.9093266615791693	non_sig	dut		False	False	0.0012251148545176112	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
P75937	0.0012952251312770263	0.1961849106068243	2.887654737549117	non_sig	flgE		False	False	0.0012506380806533947	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
P0A8Z0	0.0013754205244422859	0.12077563226051069	2.8615644992716445	non_sig	yciA		False	False	0.001276161306789178	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
P0AC92	0.0014772322399340036	-0.24717545122451412	2.830551222634487	non_sig	gnsA		False	False	0.0013016845329249618	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
P09211ups|GSTP1_HUMAN_UPS	0.0015185073839908709	-0.9631377486978892	2.8185830919125303	down	Glutathione	Glutathione	True	False	0.0013272077590607454	False	Human	True	False	False	False	diann231	AlphaPeptStats	randomforest	0.5
P04040ups|CATA_HUMAN_UPS	0.0016179053093271715	-0.8044936489439394	2.79104689980662	down	Catalase	Catalase	True	False	0.001352730985196529	False	Human	True	False	False	False	diann231	AlphaPeptStats	randomforest	0.5
P67603	0.0016741852687678447	0.2435142391594951	2.7761964837672637	non_sig	yqfB		False	False	0.0013782542113323125	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
P0ADY7	0.0017247058955312622	0.12261975936537794	2.7632849520907787	non_sig	rplP		False	False	0.001403777437468096	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
P0AB61	0.0018204547409503566	0.15477052818191694	2.7398201137637366	non_sig	yciN		False	False	0.0014293006636038796	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
P0ADG4	0.0019060670066681409	-0.05674686758167269	2.719861836061433	non_sig	suhB		False	False	0.001454823889739663	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
P0AB77	0.001955226399673549	0.021684034748101766	2.708802947507945	non_sig	kbl		False	False	0.0014803471158754467	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
P0AC51	0.0020338482209677393	0.23378384120577067	2.691681460093554	non_sig	zur		False	False	0.0015058703420112304	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
P0AG51	0.002076965503142511	-0.07099601251332288	2.6825707167144284	non_sig	rpmD		False	False	0.0015313935681470138	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
P0A7K2	0.0021134679239225708	-0.11536420138895664	2.6750043390671077	non_sig	rplL		False	False	0.0015569167942827975	False	Ecoli	False	True	False	False	diann231	AlphaPeptStats	randomforest	0.5
