Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		13	13.0	8763460.0	8896000.0	4393500.0	4438840.0	8910580.0	4262620.0	0	4.3559167419173097e-07	-1.0207887469184662	True	2.5933609958506227e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		4	4.0	9550690.0	9799040.0	6048730.0	5803900.0	9597900.0	5929350.0	0	3.828727132205297e-06	-0.7030292614388015	True	5.1867219917012454e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		2	2.0	15031300.0	14384400.0	7423490.0	7862680.0	14885300.0	8050180.0	0	1.3554137722102251e-05	-0.9247603357530418	True	7.780082987551868e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P41159ups|LEP_HUMAN_UPS	Leptin	Leptin		3	3.0	11358000.0	11439200.0	5700790.0	5326900.0	10785600.0	5011000.0	0	3.4243937012995634e-05	-1.066166210561662	False	0.00010373443983402491	True	True	Human	True	False	False	True	diann231	manual	min	0.5
Q06830ups|PRDX1_HUMAN_UPS	Peroxiredoxin	Peroxiredoxin		7	7.0	3123830.0	2960080.0	1720680.0	1584510.0	2997640.0	1752070.0	0	4.7751911178121606e-05	-0.844582600422232	False	0.00012966804979253112	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		4	4.0	8807470.0	9092570.0	3512490.0	3522770.0	9006510.0	3987430.0	0	6.977731122960927e-05	-1.2874810730680666	False	0.00015560165975103736	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		8	8.0	15660900.0	14965400.0	8922170.0	8537960.0	15855700.0	8296950.0	0	7.930233556806796e-05	-0.8517030966310529	False	0.00018153526970954357	True	True	Human	True	False	False	True	diann231	manual	min	0.5
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3.0	7785890.0	7476340.0	3928910.0	4333970.0	7293750.0	3770950.0	0	0.00010733286785685373	-0.9064140875503088	False	0.00020746887966804981	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		12	12.0	27376600.0	25918300.0	14693200.0	13957100.0	26350400.0	14151500.0	0	0.00014444105568454224	-0.895917759016857	False	0.00023340248962655603	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P27862	YIGZ_ECOLI	yigZ	IMPACT family member YigZ	1	1.0	173796.0	132166.0	16049100.0	15422200.0	138296.0	15494000.0	3	0.00015374868187128596	6.724053658600461	False	0.00025933609958506224	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		15	15.0	20934700.0	19909100.0	10116200.0	10431300.0	19989500.0	9903310.0	0	0.00015384284956697578	-0.9983806629101697	False	0.0002852697095435685	True	True	Human	True	False	False	True	diann231	manual	min	0.5
Q47083	CBL_ECOLI	cbl	HTH-type transcriptional regulator cbl	2	2.0	1064270.0	1045650.0	252141.0	127721.0	977817.0	129497.0	2	0.0001862719122851426	-2.599795133277845	False	0.0003112033195020747	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P39187	YTFJ_ECOLI	ytfJ	Uncharacterized protein YtfJ	3	3.0	173796.0	132166.0	4230020.0	4233370.0	138296.0	4449150.0	3	0.00020410722919679032	4.8612312521036	False	0.0003371369294605809	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P60560	GUAC_ECOLI	guaC	GMP reductase	6	6.0	11628300.0	11876800.0	10152200.0	10378300.0	11630900.0	10304500.0	0	0.000224404220525625	-0.18838111313981845	False	0.00036307053941908715	True	False	Ecoli	False	True	False	True	diann231	manual	min	0.5
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		14	14.0	16094400.0	15152900.0	7946770.0	7172690.0	14664100.0	8189310.0	0	0.0002290089825743753	-0.9779795498721574	False	0.00038900414937759333	True	True	Human	True	False	False	True	diann231	manual	min	0.5
Q15843ups|NEDD8_HUMAN_UPS	NEDD8	NEDD8		2	2.0	6305520.0	6706750.0	3137250.0	3049490.0	6785670.0	3315570.0	0	0.00024076821514522096	-1.05900014531942	False	0.00041493775933609963	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		12	12.0	4714630.0	5103290.0	2403810.0	2845560.0	5106350.0	2350930.0	0	0.00033594033825676056	-0.9735320947524262	False	0.00044087136929460587	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P52613	FLIJ_ECOLI	fliJ	Flagellar FliJ protein	1	1.0	173796.0	132166.0	846224.0	925323.0	138296.0	829479.0	3	0.0003508200627060203	2.549611159602936	False	0.00046680497925311206	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P08758ups|ANXA5_HUMAN_UPS	Annexin	Annexin		9	9.0	9634930.0	9783590.0	5130690.0	5506450.0	10016900.0	4739240.0	0	0.00035945150717305317	-0.9368373176087216	False	0.0004927385892116182	True	True	Human	True	False	False	True	diann231	manual	min	0.5
