Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0CE47	9.398837175972838e-24	-1.7919428923618312	23.026925873985082	down	tufA	TY1A-LR4	True	True	4.812319538017324e-06	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0AE08	3.199330737826622e-23	-1.7316658444651658	22.494940861451255	down	ahpC	yhhA	True	True	9.624639076034649e-06	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P36683	6.864222547183949e-23	-1.7436211528115564	22.16340864452894	down	acnB	ATP6V1E1	True	True	1.4436958614051976e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0A6M8	8.709145334249578e-23	-1.7766764023722281	22.06002446207974	down	fusA	deoB	True	True	1.9249278152069297e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0A6Y8	1.321589725375285e-22	-1.776206473512385	21.878903346408503	down	dnaK	greA	True	True	2.406159769008662e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P76558	1.8317514083067228e-22	-1.6909054628208384	21.737133465889897	down	maeB	dcyD	True	True	2.887391722810395e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0AG86	3.2036197868046852e-22	-1.8638002502531226	21.494359032628676	down	secB	rpsN	True	True	3.368623676612127e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0AG67	3.3392507095852237e-22	-1.816362377474487	21.476350973068445	down	rpsA	rplQ	True	True	3.8498556304138595e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P07395	3.353991413976926e-22	-1.7594003768214446	21.474438053497142	down	pheT	ILV2	True	True	4.331087584215592e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P02925	4.0593628548352293e-22	-1.8526200346758301	21.391542126605998	down	rbsB	HSP82	True	True	4.812319538017324e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0AEE5	4.518536756858027e-22	-1.948293026107887	21.345002180521583	down	mglB	cheY	True	True	5.293551491819057e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0A853	4.872381221287034e-22	-1.7547455814877502	21.312258739294666	down	tnaA	metK	True	True	5.77478344562079e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0AFG3	5.15481981161855e-22	-1.7333394004958897	21.287786511018187	down	sucA	nuoB	True	True	6.256015399422522e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0A8T7	7.055567082898125e-22	-1.6998954579605314	21.151468074599087	down	rpoC	lysS	True	True	6.737247353224254e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P33195	8.671655311545791e-22	-1.6742053017999616	21.061897993175236	down	gcvP	YPT7	True	True	7.218479307025987e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0AC33	9.14893796620208e-22	-1.8009518023426168	21.03862931710161	down	fumA	ychF	True	True	7.699711260827719e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0A8N3	9.289032876322288e-22	-1.728364319693327	21.032029500036575	down	lysS	yaeP	True	True	8.180943214629453e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P27302	9.44565086762947e-22	-1.8237815431918847	21.024768110957517	down	tktA	AK4	True	True	8.662175168431184e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0A6P9	1.0794577993270467e-21	-1.8187289636951967	20.966794331447066	down	eno	fusA	True	True	9.143407122232917e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0A7Z4	1.2724174135008646e-21	-1.7596029510262472	20.895370396044093	down	rpoA	rpsI	True	True	9.624639076034648e-05	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P00350	1.3898680789986044e-21	-1.6835355756422672	20.857026419373145	down	gnd	LDHA	True	True	0.00010105871029836382	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P27550	1.4894065800115001e-21	-1.7956368534446163	20.82698673182985	down	acs	MARK3	True	True	0.00010587102983638114	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0A6F3	2.080288885681508e-21	-1.8540334522137059	20.6818763512172	down	glpK	nfo	True	True	0.00011068334937439847	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0A9Q7	2.161061577774505e-21	-1.7272086766921895	20.66533285805583	down	adhE	pflA	True	True	0.0001154956689124158	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0AEX9	2.180877279845327e-21	-1.8100314634190262	20.66136877192038	down	malE	hdhA	True	True	0.00012030798845043312	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0AEM9	2.642966304679867e-21	-1.7688190913501511	20.577908373676795	down	tcyJ	miaB	True	True	0.00012512030798845044	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0ACJ8	2.7920116247617887e-21	-1.6692978489882009	20.5540827778256	down	crp	hupB	True	True	0.00012993262752646778	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P09394	2.902234448466754e-21	-1.7518887307594433	20.53726750727985	down	glpQ	nagE	True	True	0.00013474494706448509	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P04079	3.106641029868046e-21	-1.6681341907384795	20.507708926260353	down	guaA	ALDOA	True	True	0.00013955726660250242	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
Q46938	3.1574456472766136e-21	-1.7856352692706494	20.500664116715946	down	kduI	PARP14	True	True	0.00014436958614051973	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0AEQ3	3.4569501505243335e-21	-1.7496102562987197	20.46130688297084	down	glnH	fliA	True	True	0.00014918190567853707	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0AG55	4.09874899467413e-21	-1.7266465326851055	20.387348676844695	down	rplF	purF	True	True	0.00015399422521655438	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P77581	4.292347809929582e-21	-1.752569758245329	20.36730509429856	down	astC	mppA	True	True	0.00015880654475457172	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P68919	4.919511305609702e-21	-1.8425563637213003	20.30807803703311	down	rplY	TUBA4A	True	True	0.00016361886429258905	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P22256	5.029435895741124e-21	-1.7256927755037719	20.29848072291729	down	gabT	SLY1	True	True	0.00016843118383060636	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P37330	5.11617776043106e-21	-1.7136932889627534	20.291054374468377	down	glcB	STV1	True	True	0.00017324350336862367	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P0A6K6	5.859033729127789e-21	-1.8052907504348	20.232174001850495	down	deoB	cmk	True	True	0.000178055822906641	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P25526	5.999959134560381e-21	-1.8186748321325439	20.221851707565584	down	gabD	RAD51	True	True	0.00018286814244465835	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P61889	6.02350008879212e-21	-1.7507984772162715	20.22015107892025	down	mdh	HSPE1	True	True	0.00018768046198267566	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
P77674	6.2527620909480625e-21	-1.7203413436930433	20.203928095316463	down	patD	cnoX	True	True	0.00019249278152069297	True	Ecoli	False	True	False	True	diatracer	AlphaPeptStats	randomforest	0.5
