protein	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0ACJ8	72269.0189396269	81494.11987505954	68912.1742136698	77943.05948965884	73323.27990401277	77544.69720026763	77346.37271937873	73966.86229575485	75092.44052018064	249120.01944745693	247938.32639939644	249066.6431935032	250184.7122364948	259561.1404885568	255478.25491965335	244736.6707220183	258258.4524981899	250399.92275272813	P0ACJ8	P0ACJ8		crp	0	2.6865858941371635e-21	-1.7402206684805341	True	4.841677156967174e-06	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P0AE08	229841.6244104069	257122.1333898425	255865.4344608621	252128.343550326	246470.29943145547	274172.31235577754	241730.553423567	250700.36720377023	255726.3123290804	839388.1205460314	838672.3016206292	841530.4585653491	812967.0100125212	859645.8881689438	823394.3769507098	867045.8465604254	857684.6781404777	848868.7495276155	P0AE08	P0AE08		ahpC	0	1.2804391226566351e-20	-1.745227981553592	True	9.683354313934348e-06	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P53066	295586.2053005367	303973.4142921213	302895.5413971798	289540.8362231808	294620.59373553976	296084.89865857264	297775.9493428004	295470.20654418267	294320.72660613526	158055.07677849612	160156.2797170469	155925.12724748597	152680.80648029098	151770.51120143913	145288.1861839443	158530.542247448	158260.09909646912	149769.78631270817	P53066	P53066		YGL242C	0	1.4678059519538697e-20	0.9414469738551602	True	1.4525031470901522e-05	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q07478	1745961.626723964	1796638.173295247	1839656.079337152	1765030.8257159025	1754648.106297827	1789609.054256147	1765939.219317417	1768309.8399881993	1789715.9177875349	916448.9451710776	894532.1768914643	962971.621816137	943019.0433372152	935767.1486418584	938137.4194004568	915466.5525556672	936533.5988650392	943333.5126023912	Q07478	Q07478		SUB2	0	5.763451951613521e-20	0.9333787702147043	True	1.9366708627868695e-05	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P07118	52592.52225768713	43712.43339241995	46141.16202070474	50529.42324831426	42950.40206721837	45164.47180207301	52970.47875551287	43507.02836714104	46735.21158771807	160203.0268992145	150860.76834491835	148106.03296921917	158775.06390416663	158641.06674898262	156168.18182629393	157912.4671486362	153343.3449866515	160316.44686810783	P07118	P07118		valS	0	1.2705211036042681e-19	-1.7267110539684063	True	2.4208385784835866e-05	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P0ABK5	200486.3893040841	207718.0469334013	223551.787126785	184342.5570782893	197559.5054566301	192996.0055401671	200605.84407701012	186544.2308164867	189323.8139420228	672853.8360157539	626969.064409831	647876.794729811	653535.4877924436	677503.1249354347	653684.7889132535	645798.2375239629	672073.1553479544	672780.3636022579	P0ABK5	P0ABK5		cysK	0	1.7873670255734662e-19	-1.7319359034980022	True	2.9050062941803043e-05	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P07260	2083983.4596405576	2037925.089610877	1993943.7347332092	1985230.99232722	1988491.3211834463	2036512.788425252	1992685.4421391983	2024279.6587478116	1985575.4167605315	1216465.8965475587	1149013.869380131	1130978.7095177085	1142622.919924471	1125288.373428928	1120830.8490814455	1171640.32437651	1176601.4483079845	1205002.1719146608	P07260	P07260		CDC33	0	2.2455645870070436e-19	0.796362985096353	True	3.389174009877022e-05	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P00722	167628.23289431364	160835.75934106094	164986.8000630129	138969.08972640376	160591.59140253806	157186.19235282455	136633.47562195166	161949.94198796662	148036.07873228771	527522.5876178894	515076.982706118	508598.6994663681	529439.1339408965	544425.2392859864	548107.9916568956	519460.04186041775	518713.9304348469	506305.1523901528	P00722	P00722		lacZ	0	2.744809434003808e-19	-1.7559251261689648	True	3.873341725573739e-05	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P08312	87256.17252256958	76664.91261456022	75876.24497239084	78717.95763734331	73449.39372729736	76846.45613011715	71813.48366379959	77244.5630223917	74148.62865775025	263284.4978588103	275079.9473378885	254672.65179118665	269345.5681670338	271186.0772208405	258377.899692909	268485.99073014746	260576.0890243737	268289.27276179334	P08312	P08312		pheS	0	3.061434673996175e-19	-1.7877057194728578	True	4.3575094412704565e-05	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P27248	121007.7005056942	106085.53746329226	107225.04135766704	102765.51503222834	104682.82963653772	92569.56591000354	104675.08653005392	102162.24062771954	108482.51490281869	346949.68075586995	356094.2286616443	337984.0635214121	357179.4796717557	332168.36034157267	356332.88733247353	354659.97566700995	361580.8782287869	354528.64721163514	P27248	P27248		gcvT	0	3.722646137437865e-19	-1.733295808919976	True	4.841677156967173e-05	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
