Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P04079	P04079		guaA		19146.2	18299.0	19867.0	19333.0	19684.5	19564.0	63700.8	62680.4	61862.4	20597.7	63237.9	21631.8	20302.5	65023.4	62602.7	62471.0	63311.3	61646.3	0	3.5756046801480395e-23	-1.666844710489987	True	4.84402247626429e-06	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0ACY3	P0ACY3		yeaG		21197.7	19861.8	18896.1	21306.4	20303.8	19697.7	68150.0	67589.7	67896.9	20915.2	65458.3	21140.9	23492.5	69472.4	67846.9	69565.1	66797.6	68004.0	0	4.854485493287393e-22	-1.7090670448606258	True	9.68804495252858e-06	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P27248	P27248		gcvT		43817.8	43485.1	41585.0	43515.8	40538.1	43466.6	143622.0	141939.0	144443.0	49683.3	139379.0	46156.4	45801.1	142244.0	142651.0	145371.0	149536.0	145627.0	0	7.932773400827568e-22	-1.7017239732001224	True	1.4532067428792871e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A858	P0A858		tpiA		21208.3	21029.0	19381.9	21827.1	19356.9	19962.5	73214.8	71845.2	69964.6	22910.3	69660.0	22552.3	21663.7	71613.7	71158.7	70824.2	73790.6	73585.8	0	1.6928824618932886e-21	-1.7655901619953065	True	1.937608990505716e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P00722	P00722		lacZ		20910.0	20984.2	23986.1	23409.1	22965.0	21814.4	80461.9	78247.0	78807.0	24949.0	75748.2	24953.4	25407.3	78982.4	79502.9	80100.1	80422.8	76919.9	0	2.5579685677808805e-21	-1.7600633619955808	True	2.4220112381321448e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P60422	P60422		rplB		20230.8	19507.6	18503.6	19445.2	22266.3	21239.4	73221.6	70028.9	69727.8	17930.0	70051.3	21055.0	21860.6	73663.7	73517.3	73434.8	72903.7	71182.7	0	5.911218521772069e-21	-1.8311529704198821	True	2.9064134857585743e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P02925	P02925		rbsB		642202.0	626847.0	638721.0	642780.0	636351.0	623151.0	2332190.0	2363730.0	2285570.0	701579.0	2377150.0	700171.0	670048.0	2299220.0	2389640.0	2352430.0	2404510.0	2422490.0	0	1.444293713699584e-20	-1.8515538348675826	True	3.390815733385003e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0AB77	P0AB77		kbl		19023.4	20607.5	19240.3	20298.5	22660.4	19952.2	74062.2	72895.9	72639.4	20518.0	70905.5	24463.0	21342.5	74828.1	75752.4	76763.8	74630.8	76119.9	0	1.7959163165069195e-20	-1.8295947061890585	True	3.875217981011432e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P16659	P16659		proS		32823.6	31677.2	34084.2	28907.2	29301.4	28663.8	113663.0	107860.0	107903.0	34560.0	110728.0	35635.6	35035.4	112295.0	111446.0	114736.0	112254.0	109621.0	0	1.883511337044847e-20	-1.7831844124662426	True	4.359620228637861e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P04805	P04805		gltX		18063.0	19332.0	18258.1	18022.8	18994.3	16765.8	54777.4	54523.1	53559.3	20497.1	54014.1	16990.1	16610.9	54797.2	53395.7	51020.4	53693.7	52457.8	0	3.30029378026597e-20	-1.560155936182959	True	4.8440224762642895e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
