Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P22259	5.763769015909289e-23	-2.155120617399355	22.239293431939597	down	pckA	NPR1	True	True	6.559097468188378e-06	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0AFG8	7.990069243450558e-23	-2.0196476583545824	22.09744945699162	down	aceE	ridA	True	True	1.3118194936376755e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0A6M8	8.254642406864295e-23	-2.0367325435311123	22.083301735737273	down	fusA	hslU	True	True	1.9677292404565135e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0A7V3	1.561384941849069e-22	-2.0625709131302976	21.806490013330105	down	rpsC	rpsL	True	True	2.623638987275351e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P07395	4.896595135234983e-22	-2.1261601007659117	21.31010580323158	down	pheT	ACYP1	True	True	3.279548734094189e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0A955	4.938209102958599e-22	-2.0913386599365538	21.30643052429911	down	eda	rraA	True	True	3.935458480913027e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0A6Y8	9.107878314872942e-22	-2.040184462968895	21.04058278037708	down	dnaK	glgC	True	True	4.5913682277318646e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0ABK5	9.364876196026315e-22	-2.1085645996706717	21.028497959638237	down	cysK	atpG	True	True	5.247277974550702e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P15639	9.674833243018025e-22	-1.9845240760843197	21.014356511814086	down	purH	GUK1	True	True	5.90318772136954e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P77581	1.109190412277299e-21	-2.0839433303660826	20.95499389307277	down	astC	maeB	True	True	6.559097468188377e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P02925	1.223868638991221e-21	-2.1213094418055434	20.912265193646967	down	rbsB	LTF	True	True	7.215007215007215e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P00509	2.2150406997153437e-21	-2.0672268486532133	20.654618289531477	down	aspC	HPRT1	True	True	7.870916961826054e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0A799	3.2155099270097428e-21	-1.994494323099584	20.4927501453134	down	pgk	msrA	True	True	8.52682670864489e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0AC38	3.594711435783465e-21	-1.9271439235344587	20.444335966721116	down	aspA	dksA	True	True	9.182736455463729e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P33195	4.421142551819176e-21	-2.0061168717856077	20.35446548182103	down	gcvP	SEC61	True	True	9.838646202282565e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0A850	4.4344377595599906e-21	-1.949188126659596	20.353161436350756	down	tig	rimM	True	True	0.00010494555949101404	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0A6F3	4.995125171467218e-21	-2.07885733621929	20.30145362443572	down	glpK	LTA4H	True	True	0.00011150465695920242	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P00350	5.329105357283618e-21	-2.096253022935244	20.27334569360135	down	gnd	CYB5A	True	True	0.0001180637544273908	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0AEX9	5.703204915161207e-21	-2.0368266278342233	20.24388102400932	down	malE	gyrA	True	True	0.00012462285189557919	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0ABB0	5.8271328323856134e-21	-2.1476261672033488	20.234545081838704	down	atpA	fbaA	True	True	0.00013118194936376755	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0AGE9	6.2696039264448815e-21	-2.1259366595612335	20.202759894255827	down	sucD	rpsA	True	True	0.00013774104683195594	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P05042	7.768262303648947e-21	-1.9378935459064408	20.109676118436813	down	fumC	rbsA	True	True	0.0001443001443001443	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0A6Z3	7.978102921825341e-21	-1.9020105578709448	20.09810036535728	down	htpG	greA	True	True	0.0001508592417683327	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
P0A862	8.213373523525024e-21	-2.1885659464323837	20.085478426105226	down	tpx	frr	True	True	0.00015741833923652108	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	None	0.5
