Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P22259	5.763769015909289e-23	-2.155120617399355	22.239293431939597	down	pckA	NPR1	True	True	6.5121125293045066e-06	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0AFG8	7.990069243450558e-23	-2.0196476583545895	22.09744945699162	down	aceE	ridA	True	True	1.3024225058609013e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A6M8	8.254642406864295e-23	-2.0367325435311088	22.083301735737273	down	fusA	hslU	True	True	1.9536337587913523e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A7V3	1.561384941849069e-22	-2.0625709131302976	21.806490013330105	down	rpsC	rpsL	True	True	2.6048450117218026e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P07395	4.896595135234983e-22	-2.126160100765908	21.31010580323158	down	pheT	ACYP1	True	True	3.256056264652253e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A955	4.938209102958599e-22	-2.09133865993655	21.30643052429911	down	eda	rraA	True	True	3.9072675175827046e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A6Y8	9.107878314872942e-22	-2.0401844629688917	21.04058278037708	down	dnaK	glgC	True	True	4.5584787705131546e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0ABK5	9.364876196026315e-22	-2.108564599670675	21.028497959638237	down	cysK	atpG	True	True	5.209690023443605e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P15639	9.674833243018025e-22	-1.9845240760843197	21.014356511814086	down	purH	GUK1	True	True	5.860901276374056e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P77581	1.109190412277299e-21	-2.0839433303660826	20.95499389307277	down	astC	maeB	True	True	6.512112529304507e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P02925	1.223868638991221e-21	-2.12130944180554	20.912265193646967	down	rbsB	LTF	True	True	7.163323782234958e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P00509	2.2150406997153437e-21	-2.0672268486532133	20.654618289531477	down	aspC	HPRT1	True	True	7.814535035165409e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A799	3.2155099270097428e-21	-1.9944943230995769	20.4927501453134	down	pgk	msrA	True	True	8.465746288095859e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0AC38	3.594711435783465e-21	-1.9271439235344623	20.444335966721116	down	aspA	dksA	True	True	9.116957541026309e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P33195	4.421142551819176e-21	-2.0061168717856077	20.35446548182103	down	gcvP	SEC61	True	True	9.768168793956759e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A850	4.4344377595599906e-21	-1.9491881266595996	20.353161436350756	down	tig	rimM	True	True	0.0001041938004688721	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A6F3	4.995125171467218e-21	-2.07885733621929	20.30145362443572	down	glpK	LTA4H	True	True	0.00011070591299817662	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P00350	5.329105357283618e-21	-2.0962530229352474	20.27334569360135	down	gnd	CYB5A	True	True	0.00011721802552748112	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0AEX9	5.703204915161207e-21	-2.0368266278342197	20.24388102400932	down	malE	gyrA	True	True	0.00012373013805678563	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0ABB0	5.8271328323856134e-21	-2.1476261672033488	20.234545081838704	down	atpA	fbaA	True	True	0.00013024225058609013	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0AGE9	6.2696039264448815e-21	-2.1259366595612406	20.202759894255827	down	sucD	rpsA	True	True	0.00013675436311539463	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P05042	7.768262303648947e-21	-1.9378935459064373	20.109676118436813	down	fumC	rbsA	True	True	0.00014326647564469916	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A6Z3	7.978102921825341e-21	-1.9020105578709448	20.09810036535728	down	htpG	greA	True	True	0.00014977858817400366	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A862	8.213373523525024e-21	-2.188565946432387	20.085478426105226	down	tpx	frr	True	True	0.00015629070070330818	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0AEE5	9.532105072770836e-21	-2.1388217436195127	20.020811179053965	down	mglB	amn	True	True	0.00016280281323261266	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P61889	1.0667515486907075e-20	-2.158214073385601	19.971936717967278	down	mdh	HSPE1	True	True	0.00016931492576191718	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P25553	1.1109973410393907e-20	-2.0390702410394255	19.954286980459045	down	aldA	BRD2	True	True	0.00017582703829122168	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P09373	2.073377997451488e-20	-2.076082638006401	19.68332151448007	down	pflB	ACAA1	True	True	0.00018233915082052618	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0ACA3	2.1000212053779075e-20	-2.2853171748366847	19.677776319869835	down	sspA	aspA	True	True	0.0001888512633498307	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P09394	2.126202666810699e-20	-1.9946659126120672	19.672395341467197	down	glpQ	galE	True	True	0.00019536337587913518	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P36683	2.571501671547627e-20	-2.071840160510792	19.589813189039305	down	acnB	TYS1	True	True	0.0002018754884084397	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P77674	2.7008487399758686e-20	-2.0377772186814447	19.568499737631612	down	patD	glaH	True	True	0.0002083876009377442	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A836	3.4469727985979846e-20	-2.05771465351091	19.462562143765073	down	sucC	rpsI	True	True	0.00021489971346704874	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P62707	3.808054869584766e-20	-2.1122739542274473	19.419296802570596	down	gpmA	TBPL1	True	True	0.00022141182599635324	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A7Z4	3.980068430771572e-20	-2.0197416189049058	19.400109460878323	down	rpoA	rpsC	True	True	0.00022792393852565774	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0AFG6	4.125375641762989e-20	-2.208673622044568	19.384536500031103	down	sucB	rraB	True	True	0.00023443605105496224	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
Q46938	4.204176953342528e-20	-2.010324752613556	19.37631901285243	down	kduI	TIMM50	True	True	0.00024094816358426674	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
P0A9G6	5.383749195229215e-20	-2.0885400379802768	19.26891518014832	down	aceA	fbp	True	True	0.00024746027611357126	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.5
