Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A850	P0A850		tig		7508370.0	26384500.0	7354800.0	25916800.0	6426060.0	25545500.0	7175200.0	6883250.0	26864500.0	6571460.0	6755030.0	6811480.0	27281400.0	27070300.0	26418300.0	26966000.0	26433800.0	6450120.0	0	1.0044675743305044e-20	-1.9474479535423377	True	6.568575932737783e-06	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A7S9	P0A7S9		rpsM		4788390.0	16427600.0	4304020.0	16858300.0	3863640.0	17156600.0	4135470.0	4282880.0	17470100.0	3707440.0	3927640.0	4172840.0	17621300.0	17784500.0	17011400.0	16753300.0	17243800.0	4049170.0	0	5.04245781128862e-20	-2.0513942943020624	True	1.3137151865475566e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0AC69	P0AC69		grxD		637930.0	2995310.0	474583.0	3013550.0	464125.0	2882380.0	611142.0	434734.0	3059490.0	367108.0	460053.0	385342.0	3219290.0	3102530.0	3136890.0	3086600.0	2981220.0	497585.0	0	6.998047957675105e-20	-2.664932528026671	True	1.970572779821335e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
Q46938	Q46938		kduI		9910440.0	35094200.0	8875270.0	33223400.0	7941020.0	34639600.0	8767980.0	8764340.0	36274500.0	8286370.0	7997510.0	8590820.0	35070100.0	35640600.0	35018500.0	34148700.0	34756600.0	8908590.0	0	8.47527080793893e-20	-2.0078207335316653	True	2.6274303730951132e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P42588	P42588		patA		2966100.0	9331100.0	3010240.0	9227090.0	3160090.0	9493800.0	2634200.0	3024700.0	9295780.0	2672690.0	3335810.0	3259370.0	9482690.0	9781180.0	9578090.0	8858660.0	9322270.0	2833800.0	0	1.7156209091497241e-19	-1.6492961187323432	True	3.284287966368891e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P27302	P27302		tktA		4637280.0	14833700.0	5244980.0	14831100.0	3744610.0	15210100.0	4276430.0	4304560.0	14755700.0	4803950.0	4274010.0	4373830.0	15169200.0	15383900.0	14420400.0	14031200.0	14161200.0	4185150.0	0	1.0732303594658258e-18	-1.736753762619514	True	3.94114555964267e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P06959	P06959		aceF		1864280.0	6391960.0	1845810.0	6126740.0	1747620.0	6289210.0	1725910.0	1958580.0	6532250.0	2003480.0	1596270.0	1817370.0	6215330.0	6069570.0	6136680.0	6165460.0	5867350.0	1588100.0	0	1.2924262431894374e-18	-1.7888205341609484	True	4.598003152916448e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A7V3	P0A7V3		rpsC		4918500.0	20567300.0	5446420.0	20062300.0	4672580.0	21142800.0	5077950.0	4810840.0	20688600.0	4834780.0	4685170.0	4890290.0	20786000.0	20232600.0	19983900.0	19940700.0	20982900.0	4837850.0	0	1.3163793775722299e-18	-2.061455934777824	True	5.2548607461902265e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P09373	P09373		pflB		5318340.0	21166800.0	5412900.0	20886200.0	4639210.0	20927600.0	5052640.0	4911300.0	20763200.0	4430700.0	4645210.0	4958660.0	21388400.0	21082500.0	20354100.0	19503100.0	20607100.0	4971940.0	0	3.4274500589482808e-18	-2.073849685811359	True	5.911718339464004e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P76558	P76558		maeB		3351400.0	11491000.0	3160710.0	11059700.0	2549080.0	11067900.0	2959740.0	2974290.0	10412100.0	3099900.0	3006760.0	3403140.0	11221300.0	10797500.0	10935500.0	10555300.0	11491100.0	2776690.0	0	8.086265884031132e-18	-1.859951960313494	True	6.568575932737782e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P25526	P25526		gabD		1356240.0	3871610.0	1289520.0	3749080.0	1049140.0	3674400.0	945443.0	1183990.0	4016010.0	1111430.0	1043240.0	1196180.0	4011320.0	3872900.0	3795540.0	3744990.0	3778100.0	950628.0	0	1.276153188723191e-17	-1.7691421331266555	True	7.225433526011561e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P08312	P08312		pheS		3514250.0	12629100.0	2447960.0	12323300.0	3422150.0	12204600.0	3161090.0	3081320.0	12780000.0	2743590.0	3283670.0	4271100.0	13127500.0	13507400.0	13411800.0	12823700.0	12955100.0	3015570.0	0	1.3072957964955089e-17	-1.9999962612421858	True	7.88229111928534e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P00957	P00957		alaS		1186240.0	3868710.0	1234180.0	3813200.0	1087310.0	4097400.0	1288670.0	933902.0	3991500.0	1277460.0	1202020.0	1084590.0	4053670.0	3936900.0	3664390.0	3754210.0	4016010.0	1192110.0	0	2.0784683762482787e-17	-1.7468803025903021	True	8.539148712559118e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0C037	P0C037		ppnP		961658.0	2090880.0	954684.0	2162510.0	840752.0	2184190.0	989015.0	926227.0	2158240.0	968763.0	1015950.0	1007620.0	2299800.0	2144810.0	2127940.0	2067320.0	2173350.0	907174.0	0	2.1800972658183386e-17	-1.179051430690205	True	9.196006305832897e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A8A0	P0A8A0		yebC		305586.0	3073420.0	424851.0	2973260.0	512636.0	2894260.0	325456.0	465625.0	3067980.0	572978.0	389145.0	383072.0	2990550.0	2897510.0	2947300.0	2961930.0	3317820.0	529697.0	0	2.2246601556736434e-17	-2.794683078463316	True	9.852863899106674e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P00722	P00722		lacZ		1204760.0	4964930.0	1106310.0	5179900.0	1044550.0	4954420.0	1159520.0	1050660.0	5320820.0	982442.0	1028260.0	1061670.0	5243420.0	5302980.0	5145410.0	5323420.0	5084710.0	999289.0	0	2.387096608798095e-17	-2.271126384949569	True	0.00010509721492380453	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A6F5	P0A6F5		groEL		7689890.0	29445500.0	7509910.0	30091800.0	6237890.0	27363200.0	6922440.0	6985940.0	29961500.0	6601460.0	6273880.0	6736480.0	29497600.0	29860900.0	29063400.0	28276900.0	28915600.0	6822370.0	0	2.6476129556225353e-17	-2.086969864172599	True	0.00011166579085654232	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A9Q1	P0A9Q1		arcA		1407410.0	5284990.0	1636030.0	5181610.0	1369280.0	5561540.0	1312410.0	1342330.0	5364770.0	1365400.0	1204620.0	1361810.0	5378610.0	5740860.0	5545840.0	5082160.0	5261450.0	1646880.0	0	3.7550720311759513e-17	-1.9363610760256118	True	0.00011823436678928008	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0AFF6	P0AFF6		nusA		1535890.0	5493170.0	1751970.0	6002300.0	1415360.0	5524780.0	1313990.0	1382880.0	6090450.0	2069460.0	1422690.0	1446300.0	6104310.0	6074470.0	5822740.0	5651690.0	5743890.0	1318650.0	0	5.4016346232013964e-17	-1.9428710739668253	True	0.00012480294272201788	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A953	P0A953		fabB		3607130.0	11540100.0	3448410.0	11713400.0	2817640.0	11226800.0	3012800.0	3174250.0	12303500.0	3065980.0	3083890.0	3276980.0	11608300.0	11339500.0	11400500.0	12354200.0	11949700.0	2953800.0	0	7.267838179906982e-17	-1.8903295342238433	True	0.00013137151865475564	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A8M3	P0A8M3		thrS		1108220.0	4242730.0	817121.0	4113700.0	911662.0	4242060.0	1048800.0	954275.0	4556230.0	1055910.0	920595.0	953746.0	4188730.0	4229700.0	4222130.0	3987510.0	4288440.0	925198.0	0	8.073682035148369e-17	-2.130355809957956	True	0.00013794009458749343	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0ABB4	P0ABB4		atpD		1262980.0	4904430.0	1456470.0	5122400.0	1274880.0	5557290.0	1430700.0	1167920.0	5096150.0	1137060.0	1310390.0	1302150.0	5170300.0	5089070.0	5129220.0	5034050.0	5276200.0	1244170.0	0	1.1337099484370454e-16	-2.001002913272544	True	0.00014450867052023122	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A799	P0A799		pgk		6380580.0	24000600.0	6793400.0	24865200.0	5667860.0	24095200.0	6228250.0	6444400.0	25021700.0	5954560.0	5918020.0	6243220.0	25209500.0	25636400.0	25207600.0	23528500.0	24951500.0	6262270.0	0	1.189175835109249e-16	-1.9931822132458967	True	0.000151077246452969	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P40582	P40582		GTT1		8576090.0	4256410.0	8684860.0	4162160.0	8229640.0	4779760.0	8157660.0	8055610.0	4428850.0	8464230.0	8039240.0	8150860.0	4306460.0	4441110.0	4149750.0	4615440.0	4321160.0	8081290.0	0	1.3796667997070203e-16	0.9156368048830275	True	0.0001576458223857068	True	True	Yeast	False	False	True	True	msfragger	manual	min	0.5
P09372	P09372		grpE		2004740.0	7405570.0	1726060.0	7573860.0	2196240.0	7991290.0	1959960.0	2211450.0	7380450.0	1835040.0	2226350.0	1966040.0	7749910.0	7687530.0	7039800.0	7995910.0	7465450.0	1712570.0	0	2.0431220561045684e-16	-1.9366792113678157	True	0.00016421439831844456	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
