Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P22259	2.8672662417362915e-23	-2.2649408117108045	22.542531978505057	down	pckA	SSA4	True	True	9.335324869305452e-06	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0AEE5	3.4015348594272085e-23	-2.2321305934701563	22.46832507396718	down	mglB	ygiW	True	True	1.8670649738610905e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0A9B2	7.588204983230608e-23	-2.022952724326604	22.11986094585355	down	gapA	eda	True	True	2.800597460791636e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0A6M8	2.0477307559582556e-22	-2.1111803878602196	21.688727146762893	down	fusA	groEL	True	True	3.734129947722181e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0A850	2.9447861472090793e-22	-2.0428492799928115	21.53094623855406	down	tig	rpiA	True	True	4.667662434652726e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P09373	3.352206172644554e-22	-2.1344396210467877	21.474669278559574	down	pflB	SRP19	True	True	5.601194921583272e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P02925	5.148108208319936e-22	-2.114163874268222	21.2883523332163	down	rbsB	TF	True	True	6.534727408513817e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P00350	8.043337771244415e-22	-2.161822689944067	21.09456369318886	down	gnd	ADH1	True	True	7.468259895444362e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P00509	1.020760623927787e-21	-2.0798245294061743	20.99107609130778	down	aspC	HIS1	True	True	8.401792382374907e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0A799	1.0740507768602178e-21	-2.0114429806516583	20.96897518643076	down	pgk	lpxC	True	True	9.335324869305452e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P25553	1.1297426163571354e-21	-2.0381772906385827	20.947020488399797	down	aldA	frmA	True	True	0.00010268857356235998	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P61889	1.1836180571817959e-21	-2.1633591159467827	20.92678841789921	down	mdh	RPL37A	True	True	0.00011202389843166544	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0AGE9	1.4078875533207331e-21	-2.151216448630791	20.851432030508157	down	sucD	rpsA	True	True	0.00012135922330097088	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P37647	2.2183898895697717e-21	-2.0376243487894143	20.653962122745945	down	kdgK	SHM1	True	True	0.00013069454817027633	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0A6P9	2.6508665085791485e-21	-2.1086475907334155	20.57661214176791	down	eno	deoC	True	True	0.00014002987303958177	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P77581	3.0976660861476843e-21	-2.086631476588682	20.508965398958765	down	astC	puuD	True	True	0.00014936519790888724	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0A862	3.684477979975673e-21	-2.1299095603856166	20.433624034663957	down	tpx	glyA	True	True	0.0001587005227781927	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0A955	3.954998620720617e-21	-2.096545717437678	20.40285366362358	down	eda	yggX	True	True	0.00016803584764749814	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0A7V3	3.986264247046246e-21	-2.036935117508463	20.399433915562717	down	rpsC	rpsM	True	True	0.0001773711725168036	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0ABK5	4.92974899465195e-21	-2.1148562291877617	20.30717519289574	down	cysK	atpH	True	True	0.00018670649738610905	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0A7Z4	6.274084383565311e-21	-2.0500088347770635	20.20244964453685	down	rpoA	rpsC	True	True	0.0001960418222554145	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0ABB0	7.602248982776942e-21	-2.272873502117065	20.11905791083455	down	atpA	ybgS	True	True	0.00020537714712471995	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0AEX9	7.853295245946256e-21	-2.0622569261746477	20.10494807486718	down	malE	gyrA	True	True	0.00021471247199402542	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0A9G6	9.116246458071043e-21	-2.138916449727141	20.040183942165047	down	aceA	cspG	True	True	0.0002240477968633309	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P36683	9.43961016683632e-21	-2.1390575833006302	20.02504594064766	down	acnB	TYS1	True	True	0.0002333831217326363	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0ADG7	1.1073949427652501e-20	-1.8979422026084372	19.955697464149136	down	guaB	lrp	True	True	0.00024271844660194176	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0A6N4	1.438047524653481e-20	-2.0281342684659194	19.842226761134146	down	efp	groES	True	True	0.0002520537714712472	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
P0AC38	2.172111943938286e-20	-2.006265049190951	19.663117796310683	down	aspA	dps	True	True	0.00026138909634055267	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	None	0.5
