Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P22259	2.8672662417362915e-23	-2.2649408117108045	22.542531978505057	down	pckA	SSA4	True	True	9.304056568663939e-06	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P0AEE5	3.4015348594272085e-23	-2.2321305934701563	22.46832507396718	down	mglB	ygiW	True	True	1.8608113137327877e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P0A9B2	7.588204983230608e-23	-2.022952724326604	22.11986094585355	down	gapA	eda	True	True	2.7912169705991816e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P0A6M8	2.0477307559582556e-22	-2.1111803878602267	21.688727146762893	down	fusA	groEL	True	True	3.7216226274655755e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P0A850	2.9447861472090793e-22	-2.042849279992815	21.53094623855406	down	tig	rpiA	True	True	4.652028284331969e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P09373	3.352206172644554e-22	-2.134439621046784	21.474669278559574	down	pflB	SRP19	True	True	5.582433941198363e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P02925	5.148108208319936e-22	-2.114163874268222	21.2883523332163	down	rbsB	TF	True	True	6.512839598064757e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P00350	8.043337771244415e-22	-2.1618226899440707	21.09456369318886	down	gnd	ADH1	True	True	7.443245254931151e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P00509	1.020760623927787e-21	-2.079824529406178	20.99107609130778	down	aspC	HIS1	True	True	8.373650911797544e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P0A799	1.0740507768602178e-21	-2.0114429806516583	20.96897518643076	down	pgk	lpxC	True	True	9.304056568663938e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P25553	1.1297426163571354e-21	-2.0381772906385827	20.947020488399797	down	aldA	frmA	True	True	0.00010234462225530332	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P61889	1.1836180571817959e-21	-2.1633591159467827	20.92678841789921	down	mdh	RPL37A	True	True	0.00011164867882396726	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P0AGE9	1.4078875533207331e-21	-2.151216448630784	20.851432030508157	down	sucD	rpsA	True	True	0.00012095273539263119	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
P37647	2.2183898895697717e-21	-2.0376243487894143	20.653962122745945	down	kdgK	SHM1	True	True	0.00013025679196129514	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.5
