protein	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AFH8	21013788.93287745	20438859.260365505	20523229.51698333	16491939.598386688	20486581.802955102	18843326.157769587	18852519.04679916	19535106.460101757	19682849.35903381	81520942.67623214	79566969.03388624	78439203.70919128	79701951.18071292	78466124.01347189	82941207.87257586	82362945.52075116	81517774.9407747	83617773.3894351	P0AFH8	P0AFH8		osmY	0	2.164832370736472e-20	-2.049711101650598	True	9.365049634763065e-06	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P0A6F5	82859253.65955879	77830929.67045468	73476310.79158469	69745366.38478222	74350683.62503025	67441064.4642636	72817591.42226642	77308267.01549977	75825742.35480237	318151086.3964505	305719743.82384336	300484626.7343579	310639199.7790824	312083206.6487378	295370693.4097732	304650606.5104063	315736878.38483465	302247219.796742	P0A6F5	P0A6F5		groEL	0	3.76912766317771e-19	-2.0415301948253144	True	1.873009926952613e-05	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P16140	566965008.6667527	579546529.7386667	575336513.4323822	566729336.893184	565476853.9552984	550323739.1173162	572926129.5702088	556524961.5846047	566966375.7568164	281501887.91902035	286988908.66243297	282220039.39810663	285056443.16400355	275793498.24517745	292154958.86913925	283856969.5962154	291126435.0346118	281909601.6841455	P16140	P16140		VMA2	0	1.4849368763409333e-18	0.9942354191736873	True	2.8095148904289196e-05	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P0A9J6	3171347.319549614	3282316.619818089	2580614.1663615257	2010673.4700567937	3477044.4740113304	3325523.3412789605	2574365.039558618	2835318.3738652123	3044375.8755935985	12704596.213777505	13659376.135389086	12912534.65196305	13248588.33532549	12411244.67806959	12456435.780015578	13200194.641281605	12539606.347719708	13307884.969855951	P0A9J6	P0A9J6		rbsK	0	1.7162289185129203e-18	-2.146371164659768	True	3.746019853905226e-05	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P31116	250430533.9723169	241765156.91703415	246856831.92831236	238319705.21168217	237162241.33758903	238318590.7358161	233603026.79105544	248596735.51385	245298380.936482	119158410.06937233	123893567.3030183	117995540.71771824	119192609.8948309	109851417.07151906	108837107.54684731	117270178.08802962	116275659.04971646	115001340.6451096	P31116	P31116		HOM6	0	1.7504680176865025e-18	1.0576435826424078	True	4.682524817381532e-05	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P33195	20657208.82351077	24647945.457694784	21645328.21372595	17452352.75241927	20370685.301688954	23154395.28794987	20085596.173905917	20028062.81012905	21873157.7712633	83658053.52132633	91836171.82228065	88317817.0531561	84567443.94339256	83841592.55082607	90933789.1494047	86184443.20253694	87412355.76278189	87511606.98643284	P33195	P33195		gcvP	0	3.81687779455523e-18	-2.0459862159385653	True	5.619029780857839e-05	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P10591	4865006085.3438425	5039562174.473148	4776975435.838312	4702135740.609651	4854862486.684343	4677420404.167711	4984647526.402766	4856321402.524537	4871375848.009779	2650077816.1270447	2544361713.5124965	2368814155.0204325	2511989251.5011964	2289776284.8198924	2322756289.027157	2488968025.590207	2420665409.8415728	2394417155.6700883	P10591	P10591		SSA1	0	4.589672736772762e-18	0.9882970903487797	True	6.555534744334145e-05	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P0A786	2911019.791555287	3315068.8651356488	2331947.710033833	2350814.3263825094	3021806.653211716	2737432.4390861434	4259892.143578679	2634792.5508925626	3051450.074699176	14090176.242190026	13349303.691911902	15313251.79151258	14186955.756686214	14496210.16308192	15107126.35534669	14293502.634671902	14221310.247506632	14276927.638212144	P0A786	P0A786		pyrB	0	9.49158317563849e-18	-2.2808406793997436	True	7.492039707810452e-05	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P26637	291642448.56859666	304716336.4436479	300929424.54526573	284171336.543917	290059237.30562305	283029511.4462587	298698725.06771904	296487587.8255909	297442280.2568031	153963643.87849614	156491533.942931	165213884.329775	154599955.46137524	141823732.60308576	152468610.62220618	151099415.9630381	148817277.8279803	153304511.32706314	P26637	P26637		CDC60	0	1.1184228922332078e-17	0.9421063730897871	True	8.428544671286758e-05	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P62399	18229797.465930417	20737361.850412853	17216269.925117858	17491790.03711776	19385471.905310165	16233007.227161163	17902285.680982273	18660408.617909525	17630755.308415044	70668655.1717141	76599110.98336627	71093787.49162848	73313566.08651386	70736290.16355295	71461070.85804462	74808088.83771168	74443322.01403087	75334538.38613817	P62399	P62399		rplE	0	1.661630450632566e-17	-2.0099151350175832	True	9.365049634763064e-05	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
