Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P61889	P61889		mdh		11847400.0	46889900.0	11113500.0	47151700.0	10265100.0	47157900.0	11010400.0	9936300.0	47862200.0	10838400.0	9834560.0	10394600.0	47407500.0	46909200.0	47012300.0	48342900.0	48336200.0	10245400.0	0	3.0832504067596257e-25	-2.161115891083383	True	9.36855911560802e-06	True	True	Ecoli	False	True	False	True	umpire	manual	min	0.5
P0A799	P0A799		pgk		6550480.0	23720200.0	6471160.0	24655400.0	5570360.0	24728900.0	6209010.0	6275120.0	25016600.0	5695450.0	5962430.0	6196930.0	24440500.0	24759900.0	24733000.0	24320500.0	24724000.0	5973620.0	0	3.138641742445414e-24	-2.0096946202854564	True	1.873711823121604e-05	True	True	Ecoli	False	True	False	True	umpire	manual	min	0.5
P00722	P00722		lacZ		985058.0	5032190.0	984272.0	5068980.0	965125.0	4952430.0	954830.0	1006380.0	5180160.0	933915.0	919508.0	1014710.0	5239650.0	5208490.0	5046540.0	4978850.0	5068720.0	820326.0	0	2.4982460449075587e-20	-2.4148488964589134	True	2.8105677346824062e-05	True	True	Ecoli	False	True	False	True	umpire	manual	min	0.5
P33195	P33195		gcvP		2643390.0	9882500.0	2404260.0	9519640.0	2059180.0	9686290.0	2266880.0	2276250.0	10041000.0	2041020.0	2320010.0	2351630.0	10264300.0	10325100.0	9881020.0	9794800.0	10022100.0	2225180.0	0	9.290551115867588e-20	-2.118755437013736	True	3.747423646243208e-05	True	True	Ecoli	False	True	False	True	umpire	manual	min	0.5
P0A7S9	P0A7S9		rpsM		4495530.0	16860200.0	4190220.0	16511300.0	3652510.0	17084200.0	4125300.0	4045160.0	17530000.0	3821730.0	3689410.0	3876600.0	17318600.0	17712400.0	16878400.0	16403600.0	17283000.0	3661680.0	0	2.819559317507942e-19	-2.110754556475166	True	4.6842795578040096e-05	True	True	Ecoli	False	True	False	True	umpire	manual	min	0.5
P0A7Z4	P0A7Z4		rpoA		2383130.0	9165230.0	2290580.0	8878560.0	1941170.0	8542310.0	2197000.0	2165680.0	8886810.0	2072080.0	2175630.0	2091050.0	9200090.0	9083830.0	8988230.0	9215750.0	8905500.0	2237520.0	0	3.293182039550333e-19	-2.0480868284741556	True	5.6211354693648124e-05	True	True	Ecoli	False	True	False	True	umpire	manual	min	0.5
P0AB77	P0AB77		kbl		1217350.0	4936350.0	1333350.0	5310870.0	1292940.0	5163140.0	1120370.0	1077240.0	4861280.0	967160.0	1225310.0	1200910.0	5242950.0	5094410.0	5022830.0	4925590.0	5138880.0	1224260.0	0	3.513973531081623e-19	-2.100020149990965	True	6.557991380925615e-05	True	True	Ecoli	False	True	False	True	umpire	manual	min	0.5
P0AC69	P0AC69		grxD		549984.0	2720340.0	587658.0	2904360.0	723832.0	2870260.0	679202.0	459830.0	3012720.0	491831.0	475065.0	631699.0	2949060.0	3010840.0	3042170.0	2934750.0	2848650.0	559723.0	0	3.8800050731538246e-19	-2.3495728585777567	True	7.494847292486416e-05	True	True	Ecoli	False	True	False	True	umpire	manual	min	0.5
P62399	P62399		rplE		6379860.0	25052300.0	6120660.0	23925400.0	4991040.0	22832100.0	5792880.0	6089330.0	24794500.0	5732160.0	4982790.0	5711870.0	24631000.0	25141400.0	24216200.0	24550800.0	24071200.0	5805990.0	0	7.979206535383895e-19	-2.0867189307620806	True	8.431703204047218e-05	True	True	Ecoli	False	True	False	True	umpire	manual	min	0.5
P37685	P37685		aldB		3211530.0	11595400.0	3305760.0	12018800.0	2602780.0	11405800.0	2830680.0	2913300.0	11894200.0	2709020.0	2820270.0	2866310.0	11848700.0	12312200.0	11811200.0	11208100.0	11533200.0	2821780.0	0	8.579075670471589e-19	-2.01789197611029	True	9.368559115608019e-05	True	True	Ecoli	False	True	False	True	umpire	manual	min	0.5
