protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A7W1	313781813.5930472	303534256.0579273	305698097.96538496	391526196.82269686	387476042.2555194	381543571.9562568	P0A7W1	P0A7W1		rpsE	0	5.1179848062398144e-05	-0.3303787748094689	False	2.6867275658248254e-05	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P62620	52826159.894137226	52702368.97541493	52926810.49106492	51509601.369020365	51668700.54219031	51695868.99059738	P62620	P62620		ispG	0	0.00017703204938854247	0.03297971493070723	False	5.373455131649651e-05	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P0A7M2	282741002.22509646	280247130.835326	278360903.5158941	261861424.71364996	259020843.80888605	258191348.9222557	P0A7M2	P0A7M2		rpmB	0	0.00027626773189168735	0.11094477159216884	False	8.060182697474477e-05	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P08839	290289891.8533116	290051851.60727006	291871809.9266196	300208398.8917822	301105113.37901425	299189599.6864831	P08839	P08839		ptsI	0	0.000291215386158929	-0.04604985307098734	False	0.00010746910263299302	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P05055	251949169.24021956	249759919.7373868	251325723.93661425	262557640.80106115	263353220.45647943	265320183.21466348	P05055	P05055		pnp	0	0.00035059946272389793	-0.07138246984890949	False	0.00013433637829124128	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P0A6P1	887371200.157897	908780291.816304	901461847.5466152	996043163.7639638	1009002046.6330348	994867309.8621364	P0A6P1	P0A6P1		tsf	0	0.00035117890570170055	-0.15323685580249793	False	0.00016120365394948954	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P0A7L3	93834300.97760704	92603861.23435766	90388341.58008328	73240474.6751229	75297700.64538293	73991424.36556455	P0A7L3	P0A7L3		rplT	0	0.0003685417035197569	0.3149848270635983	False	0.0001880709296077378	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P0A717	152651197.60251963	154050478.43413582	154352054.79378596	168983147.7108882	166278894.18722704	166908374.44871193	P0A717	P0A717		prs	0	0.000382973968018667	-0.12324214869666612	False	0.00021493820526598603	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P0AFK9	35197798.69533648	35798253.94200239	34989923.51127499	31903932.27229	30987505.21428646	31684996.53989087	P0AFK9	P0AFK9		potD	0	0.0005366218333992328	0.164320731319166	False	0.0002418054809242343	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P0A8W5	7141107.447594057	7240734.467960802	7365687.888592365	6224052.508734852	6295610.034348358	6448261.876943958	P0A8W5	P0A8W5		yqgE	0	0.0005638902145250311	0.19728972222082153	False	0.00026867275658248256	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
