Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A799	P0A799		pgk		425233000.0	399965000.0	428067000.0	401984000.0	426062000.0	401210000.0	0	3.943941116122776e-05	-0.08859722733875942	False	2.6867275658248254e-05	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A6P9	P0A6P9		eno		179037000.0	165485000.0	178818000.0	166879000.0	177187000.0	165886000.0	0	0.00013784166415813852	-0.10278234030630638	False	5.373455131649651e-05	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A796	P0A796		pfkA		18802900.0	16974800.0	19117300.0	17018200.0	18821100.0	17263700.0	0	0.00019406835263783244	-0.14665860630232944	False	8.060182697474477e-05	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P69811	P69811		fruB		10928800.0	10048300.0	11032700.0	9963540.0	10963000.0	10130700.0	0	0.00025048658054726164	-0.1273605388908573	False	0.00010746910263299302	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A850	P0A850		tig		137184000.0	130322000.0	136840000.0	129292000.0	137885000.0	130688000.0	0	0.00026190550098420333	-0.07773479318859348	False	0.00013433637829124128	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P62399	P62399		rplE		205662000.0	186387000.0	209015000.0	189658000.0	206081000.0	189926000.0	0	0.0003076488830936545	-0.13330281705119823	False	0.00016120365394948954	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A7L3	P0A7L3		rplT		33735600.0	41996100.0	32971400.0	40212200.0	32315900.0	41195600.0	0	0.0003298580746962258	0.31755388345517604	False	0.0001880709296077378	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P25745	P25745		mnmA		4241740.0	4045960.0	4235320.0	4047760.0	4275380.0	4079610.0	0	0.00033750584027041124	-0.06704944333822842	False	0.00021493820526598603	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0ADC1	P0ADC1		lptE		1312630.0	1118730.0	1324660.0	1156370.0	1356120.0	1112720.0	0	0.00043548834848822725	-0.23726397570794538	False	0.0002418054809242343	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A9K9	P0A9K9		slyD		88018500.0	72708200.0	85029800.0	70402200.0	85227900.0	72197000.0	0	0.00045916264356983815	-0.26251680106796976	False	0.00026867275658248256	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A7W1	P0A7W1		rpsE		129372000.0	99036100.0	130209000.0	102437000.0	130538000.0	101813000.0	0	0.0004750390142986178	-0.36323488490704314	False	0.0002955400322407308	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P37908	P37908		yfjD		710106.0	603012.0	690151.0	600568.0	714388.0	578608.0	0	0.0005068588730116565	-0.24676595618459687	False	0.0003224073078989791	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P09373	P09373		pflB		259140000.0	235187000.0	262635000.0	234616000.0	256832000.0	229216000.0	0	0.0005128098425037165	-0.15556364521612098	False	0.0003492745835572273	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P45578	P45578		luxS		18767200.0	15149200.0	18519500.0	14523400.0	18516900.0	14669100.0	0	0.0005818239908220866	-0.33169411393559334	False	0.0003761418592154756	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P18355	P18355				2993470.0	2587750.0	3082790.0	2461490.0	3026620.0	2499490.0	0	0.0006237843132322068	-0.27008911675369857	False	0.0004030091348737238	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A932	P0A932		gfcE		9631350.0	8904600.0	9756280.0	8747550.0	9636200.0	8690680.0	0	0.0007132075109014225	-0.139827568681418	False	0.00042987641053197207	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AAZ7	P0AAZ7		ycaR		5630470.0	6235400.0	5727290.0	6305100.0	5769680.0	6318000.0	0	0.0007452824928515436	0.1389053978550418	False	0.0004567436861902204	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AEK4	P0AEK4		fabI		58615400.0	53828200.0	57518800.0	53356500.0	58475500.0	54403600.0	0	0.000752717810280005	-0.1118109647066283	False	0.0004836109618484686	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P05055	P05055		pnp		38291700.0	35890300.0	37755500.0	35803000.0	38029200.0	36144800.0	0	0.0007583390442596355	-0.08113337632847485	False	0.0005104782375067168	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0ACN7	P0ACN7		cytR		1201640.0	1319910.0	1172500.0	1319310.0	1201580.0	1352810.0	0	0.0007652668554416021	0.15888879313146329	False	0.0005373455131649651	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A7Q1	P0A7Q1		rpmI		19810900.0	12091200.0	20759200.0	12105100.0	21807700.0	13106200.0	0	0.0007722835274135827	-0.7417603486404447	False	0.0005642127888232134	False	True	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AFF6	P0AFF6		nusA		14362700.0	13964500.0	14363000.0	13949300.0	14353100.0	13914400.0	0	0.0007992108005092901	-0.0425021472528052	False	0.0005910800644814616	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P64506	P64506		yebY		1515640.0	1396320.0	1537750.0	1385940.0	1538220.0	1389570.0	0	0.000834592489498716	-0.138319738318625	False	0.0006179473401397099	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0CE47	P0CE47		tufA		1613570000.0	1507330000.0	1629840000.0	1497780000.0	1610760000.0	1526750000.0	0	0.0008652887233413082	-0.09912134107996978	False	0.0006448146157979582	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A7M9	P0A7M9		rpmE		39938800.0	37314100.0	40286100.0	37117400.0	40743100.0	36856600.0	0	0.0009392157406228056	-0.12032612383512659	False	0.0006716818914562063	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0ADK8	P0ADK8		yibL		9085120.0	8031260.0	9139470.0	8254950.0	8917320.0	8245780.0	0	0.0009602304099550136	-0.1458579800397054	False	0.0006985491671144546	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A8T7	P0A8T7		rpoC		52379600.0	50000400.0	52726200.0	50597400.0	52453200.0	50246900.0	0	0.0010157643394770035	-0.0628281579538723	False	0.0007254164427727029	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A6P1	P0A6P1		tsf		195623000.0	179036000.0	196631000.0	180484000.0	193225000.0	175712000.0	0	0.0010365401403208358	-0.12945305177821978	False	0.0007522837184309512	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P06983	P06983		hemC		11386500.0	10857600.0	11265900.0	10974500.0	11326900.0	10906200.0	0	0.0010480740313712068	-0.053676723181926	False	0.0007791509940891995	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P76270	P76270		msrC		2794670.0	3596540.0	2990430.0	3657860.0	2845070.0	3712390.0	0	0.0010684485264681276	0.34568042449560027	False	0.0008060182697474476	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AEK2	P0AEK2		fabG		87721200.0	81321700.0	88041900.0	81559100.0	86324200.0	79774000.0	0	0.001104362115966137	-0.11114204788502469	False	0.0008328855454056959	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A912	P0A912		pal		37754600.0	32222700.0	37106700.0	33156700.0	38609800.0	33629000.0	0	0.0013184728770601333	-0.19670206812073507	False	0.0008597528210639441	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
