protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	77808.16063578018	44874.80469000001	970167.0711557115	9137165.144322844	10291460.44411218	9362882.301859371	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			2	4.529360086258774e-05	-4.719475999169002	False	2.612330198537095e-05	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P26646	25993956.54242065	25990574.060929995	25674297.27903461	27779774.03834453	28019852.03700853	27778423.382502463	P26646	P26646		acuI	0	0.00018868906212309535	-0.10597415690297611	False	5.22466039707419e-05	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	77808.16063578018	44874.80469000001	69279.87066405569	13109148.589353614	13276242.339449016	13799470.990465969	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			3	0.0002361661264732034	-7.709681282204047	False	7.836990595611286e-05	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	77808.16063578018	44874.80469000001	69279.87066405569	13134886.439686945	13205502.941079358	13796449.154433228	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			3	0.00024102318339415524	-7.707956141777321	False	0.0001044932079414838	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	77808.16063578018	44874.80469000001	69279.87066405569	11899629.11246005	11299085.02153838	11831397.477761004	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			3	0.00025801578144214374	-7.511624742406897	False	0.00013061650992685477	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	77808.16063578018	44874.80469000001	69279.87066405569	2640770.5829731184	2823146.335294379	2718150.547846701	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			3	0.0002597260858033474	-5.413566495877568	False	0.00015673981191222572	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	77808.16063578018	44874.80469000001	69279.87066405569	1632973.1909966443	1767076.8420708235	1678468.6359650695	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)			3	0.0002927433973550114	-4.725508807638001	False	0.00018286311389759666	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	77808.16063578018	44874.80469000001	69279.87066405569	33970678.46811294	31746253.27668828	32000546.643590417	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			3	0.00046615458977560046	-8.991645792755	False	0.0002089864158829676	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	77808.16063578018	337745.62148379686	69279.87066405569	6228744.531262233	5686226.666932682	5442624.021143291	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)			2	0.000506973521802391	-5.161933434314975	False	0.00023510971786833856	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	77808.16063578018	44874.80469000001	69279.87066405569	6832066.201481478	7453022.681994492	7159835.297458158	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)			3	0.0006191580999727776	-6.803665372891427	False	0.00026123301985370953	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
