Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				3094250.0	2981880.0	46428.4	293933.0	72507.0	2971620.0	2	7.247532891018202e-05	-4.453805159229462	False	2.6136957658128594e-05	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				8523220.0	8855250.0	46428.4	66911.2	72507.0	8548660.0	3	0.00014314351760381577	-7.124206411051423	False	5.227391531625719e-05	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
Q46829	Q46829		bglA		13986700.0	14183800.0	12726100.0	12952600.0	12796200.0	14069900.0	0	0.00016384024744058493	-0.13470591966263737	False	7.841087297438579e-05	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				2643880.0	2557010.0	46428.4	66911.2	72507.0	2502880.0	3	0.0001674689904990727	-5.373380431483526	False	0.00010454783063251438	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2722560.0	2631410.0	46428.4	66911.2	72507.0	2553120.0	3	0.00026321357607027047	-5.4109626458311935	False	0.00013068478829064296	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				7232300.0	7289840.0	135370.0	150910.0	132659.0	7620410.0	0	0.0002710171140070432	-5.723937372116147	False	0.00015682174594877158	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)				1242630.0	1319170.0	224679.0	210473.0	228526.0	1312540.0	0	0.0002966952791334684	-2.545395209108255	False	0.00018295870360690017	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				4623130.0	4820640.0	46428.4	66911.2	72507.0	4444580.0	3	0.0005318341654389836	-6.223619105624947	False	0.00020909566126502875	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P0AEX9	P0AEX9		malE		7258510.0	7382520.0	6109440.0	6237380.0	6116770.0	7513350.0	0	0.0005339098858058355	-0.2629088597786032	False	0.00023523261892315734	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				5490650.0	5280540.0	71460.7	66911.2	72507.0	5038360.0	2	0.0006297979468894561	-6.2282377434602685	False	0.00026136957658128593	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)				2507430.0	2462260.0	46428.4	66911.2	72507.0	2684230.0	3	0.0006381630733131356	-5.364014621863881	False	0.00028750653423941457	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				2305790.0	2451060.0	46428.4	66911.2	72507.0	2529520.0	3	0.0006551147422951899	-5.293016056683739	False	0.00031364349189754316	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P0AEV4	P0AEV4		hycA		1422200.0	1384110.0	1187690.0	1194730.0	1220110.0	1434450.0	0	0.0006785279781131927	-0.23531239343053872	False	0.00033978044955567174	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)				6009580.0	6154620.0	3376820.0	2691830.0	2912260.0	6893340.0	0	0.0008840895888064466	-1.0854283641443525	False	0.00036591740721380033	False	False	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P0A722	P0A722		lpxA		8173070.0	7964060.0	8884160.0	8878940.0	8762490.0	8038840.0	0	0.0009226860474409385	0.13381106551572577	False	0.0003920543648719289	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				2516340.0	2663620.0	46428.4	66911.2	72507.0	2810550.0	3	0.0009749186291278609	-5.426103387190668	False	0.0004181913225300575	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
