protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	32782888.363330998	32971628.351035908	33331762.81530774	3441362.66419215	4264451.477860958	3796319.581030584	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	3.2503649488687017e-07	3.106783785739039	True	2.6001040041601664e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	11409841.269693812	11759673.069470253	11626145.631877864	1340455.6372506756	1319384.6707152925	1859280.7292250376	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			0	1.0019573675431613e-05	2.9447932684983145	True	5.200208008320333e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P28635	59888460.63500636	59794465.26303057	59449272.35421449	54493304.27105706	54245760.3703675	54764953.47141744	P28635	P28635		metQ	0	1.4699644106235073e-05	0.13169858853823582	True	7.8003120124805e-05	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	2786825.9477443816	2910948.7756937305	2717825.2082312247	368345.2566959269	349619.59379999974	467822.9184169463	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			0	1.5450975915434436e-05	2.827220301231307	True	0.00010400416016640666	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	7125433.789436268	7076411.709055754	7525342.551858935	2904518.678516494	2406190.42174355	2680466.72605115	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)			0	2.2663199353158492e-05	1.4430217689997187	True	0.00013000520020800833	True	False	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	23526165.720838606	23557921.926924143	23139855.84911	3267228.039021488	4178988.582292949	4178534.418313599	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)			0	2.380625705817937e-05	2.594763195288103	True	0.00015600624024961	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	39330772.34540442	40561247.66077572	40489332.93690112	4575885.298834729	4356368.0561848655	4109447.97869162	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)			0	2.5827439490318472e-05	3.2064079447486966	True	0.00018200728029121166	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	12355553.415925968	12756759.988948377	13018553.293675989	2014455.7623134116	1300912.45665199	989876.2965587836	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			0	2.6851837620120384e-05	3.1467922406420716	False	0.0002080083203328133	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	74038963.84232436	75026661.90126052	74189314.86643483	9780291.90347012	12407888.003463686	9907762.974903291	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	3.4036969261444534e-05	2.798229253652511	False	0.000234009360374415	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	9064184.196222944	8443068.870753834	8838146.0080492	839564.7706101442	1050186.4728489316	1161729.7653916744	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	3.924397162569187e-05	3.1099695167255494	False	0.00026001040041601667	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	65513701.475266345	66763722.74010524	71313202.49116673	9817112.307145895	13376433.10630066	12076094.017081112	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	5.978692103053689e-05	2.52917240944182	False	0.0002860114404576183	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	2217669.763666368	2251942.544923107	2461529.174026372	38646.40809222661	314806.69241883873	27524.448871523036	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)			2	7.476331614232182e-05	4.185315079110425	False	0.00031201248049922	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	17308367.90360061	18170808.436865862	17152732.18286832	9340315.163677258	10168536.84019504	8887219.9995538	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)			0	9.66013736762376e-05	0.8902463332217458	False	0.0003380135205408216	True	False	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
