protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	10366739.762001406	10301006.65720898	10328445.46420954	2548314.2683796645	2473531.222021085	2475490.714727617	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			0	4.274291330589072e-09	2.047640976507371	True	2.635740643120717e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.0
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	20325497.85022616	20508497.36401847	20687851.55452772	6657772.946624933	6477683.626315687	6889355.184630381	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	1.294071119880325e-07	1.6193101302079875	True	5.271481286241434e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.0
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	64130673.37504744	64334723.88257162	61889132.19745397	20013653.313019253	22572077.79353562	22245029.938898005	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	3.1136178234476346e-06	1.5539384851382332	True	7.907221929362152e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.0
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	11411585.017759915	11853273.21276597	11813469.193742309	4123400.7887194026	4150820.219532931	4451983.971890369	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			0	4.1677841241425046e-06	1.4627776957503842	True	0.00010542962572482868	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.0
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	10410966.32917319	10403117.210841866	10816651.949510489	3860678.391680626	3920072.3209123015	4137597.5094631137	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)			0	1.2893159315737953e-05	1.4081427974764498	True	0.00013178703215603585	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.0
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	9620776.954390869	9153674.830173012	9688290.753724176	4103467.478597819	3869065.098026476	4310008.626577706	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			0	2.5187786109235945e-05	1.2124656012025863	True	0.00015814443858724303	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.0
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	10834541.820520531	11617626.166200165	11170093.840651926	4380480.785394669	4825661.845444997	4926660.845713223	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)			0	4.0693057955205716e-05	1.2503691038061424	False	0.0001845018450184502	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.0
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	11958472.76450626	11352408.731020948	11205527.501305278	3935155.093216952	3481296.627707977	3612140.770521745	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)			0	5.002496008281979e-05	1.6460336970852447	False	0.00021085925144965736	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.0
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	28844064.01150654	27816533.04793331	28129423.489880413	9916939.863957085	9967603.025678577	9654824.27395186	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			0	7.826787107858219e-05	1.5212555564019932	False	0.00023721665788086453	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.0
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	7719225.211697226	7039253.35407746	7131807.644851443	2184585.8478224264	1704163.129890776	2484547.420334817	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)			0	7.928741092590169e-05	1.780179155815292	False	0.0002635740643120717	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.0
