Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AEP3	2.1303203963880256e-07	-0.2372919264225608	6.671555074533501	non_sig	galU		False	True	2.641310089804543e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A7I4	1.672787573676309e-05	-0.10641445237031277	4.7765592063404645	non_sig	prfC		False	True	5.282620179609086e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P28635	3.882508864088178e-05	0.18464239462581844	4.410887544068125	non_sig	metQ		False	False	7.923930269413631e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0AEK4	6.367318667923054e-05	-0.18966350728440418	4.196043414270395	non_sig	fabI		False	False	0.00010565240359218173	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0AF70	7.698613295555649e-05	-0.41600578907809194	4.113587494609817	non_sig	yjeI		False	False	0.00013206550449022716	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0AFC7	0.0001326883282902911	-0.3372807746163531	3.8771672774524877	non_sig	nuoB		False	False	0.00015847860538827262	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P62399	0.00014240888358711147	-0.1120998571550409	3.846462918195483	non_sig	rplE		False	False	0.00018489170628631802	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A9T4	0.00020445266878873128	-0.09779450816126456	3.6894072160822318	non_sig	tas		False	False	0.00021130480718436345	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A9X9	0.00024262345236225095	0.21557983488367327	3.615067221856762	non_sig	cspA		False	False	0.00023771790808240888	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A8W2	0.00032249997170957594	-0.162914283502559	3.491470319126002	non_sig	slyA		False	False	0.0002641310089804543	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A715	0.0003573194689655892	-0.06283927194032302	3.4469433201144586	non_sig	kdsA		False	False	0.00029054410987849975	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A7Y0	0.0003684974090679911	-0.05880401699952742	3.433565561350195	non_sig	rnc		False	False	0.00031695721077654523	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A7K2	0.0003768168835386771	0.07733569945450824	3.4238696465813554	non_sig	rplL		False	False	0.0003433703116745906	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A7W1	0.0003886083016590796	-0.41744464991066366	3.4104879260053593	non_sig	rpsE		False	False	0.00036978341257263604	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0AE67	0.000390806641081618	-0.4613061393877764	3.4080380648084474	non_sig	cheY		False	False	0.0003961965134706815	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P76594	0.0004235655009140856	0.32609123945290364	3.3730794200772864	non_sig	yfiQ		False	False	0.0004226096143687269	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P15288	0.00048100824350451316	-0.05000460051174116	3.3178474806368885	non_sig	pepD		False	False	0.0004490227152667724	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A6R3	0.0005327366555225834	-0.5291883644232094	3.273487420084882	non_sig	fis		False	False	0.00047543581616481777	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P60651	0.0005369128884496101	-0.07320791699044449	3.270096170789298	non_sig	speB		False	False	0.0005018489170628632	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A6F5	0.0005550396123709637	-0.06506906229851595	3.255676020804859	non_sig	groL		False	False	0.0005282620179609086	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A6F9	0.0006262663476208111	-0.1313492186905556	3.20324092445588	non_sig	groS		False	False	0.0005546751188589541	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0ADY3	0.0006547292764134768	-0.36831510448439886	3.1839382390374498	non_sig	rplN		False	False	0.0005810882197569995	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P64506	0.0006923423012186568	-0.3548716010614896	3.159679132747077	non_sig	yebY		False	False	0.0006075013206550449	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0C037	0.0006989048408183931	-0.1848974844822564	3.1555819514657446	non_sig	yaiE		False	False	0.0006339144215530905	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A8I5	0.0007236120953042799	-0.5647211589978696	3.140494182442401	non_sig	trmB		False	False	0.0006603275224511358	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A7X3	0.0007337544766155026	-0.25380291270402466	3.134449236117781	non_sig	rpsI		False	False	0.0006867406233491812	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A7V0	0.0007503664165009972	-0.07455282636099625	3.124726611535551	non_sig	rpsB		False	False	0.0007131537242472267	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A9L8	0.0007779164886394998	-0.6836983858813568	3.1090670231513546	non_sig	proC		False	False	0.0007395668251452721	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A858	0.0008009680750874368	-0.21140441321946923	3.0963847936406923	non_sig	tpiA		False	False	0.0007659799260433176	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A905	0.0008512034429930857	-0.08307980609389531	3.0699666283879905	non_sig	slyB		False	False	0.000792393026941363	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P09373	0.0008586527167470449	-0.12817634092013463	3.066182451647953	non_sig	pflB		False	False	0.0008188061278394084	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
