Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AEP3	P0AEP3		galU		62079600.0	73141700.0	72796100.0	61897400.0	72929500.0	61696300.0	0	2.2475011133683957e-07	-0.23729005465567382	True	2.6497085320614733e-05	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				67334.2	540016.0	576871.0	54423.2	542738.0	38512.8	3	1.1762601716117211e-05	-3.372279188135614	True	5.299417064122947e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0AEK4	P0AEK4		fabI		54866000.0	62994500.0	62574200.0	54231700.0	61934200.0	55308100.0	0	6.207897329069883e-05	-0.18965171299725292	False	7.949125596184421e-05	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				67334.2	326066.0	290073.0	54423.2	312982.0	38512.8	3	6.449326012245647e-05	-2.5353602904246872	False	0.00010598834128245893	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				67334.2	572272.0	623985.0	54423.2	576249.0	38512.8	3	0.00010360551843455793	-3.467212404455841	False	0.00013248542660307367	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0A7I4	P0A7I4		prfC		5054300.0	5423940.0	5445800.0	5071360.0	5438900.0	5023430.0	0	0.000217749386742836	-0.10640534456937693	False	0.00015898251192368842	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A9T4	P0A9T4		tas		8985940.0	9501700.0	9628430.0	8885050.0	9531590.0	8912130.0	0	0.00028811362521941123	-0.09780115699237099	False	0.00018547959724430314	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AFC7	P0AFC7		nuoB		3473970.0	4459790.0	4378250.0	3398660.0	4357200.0	3573500.0	0	0.00032657631432414627	-0.337049028198187	False	0.00021197668256491787	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8W2	P0A8W2		slyA		7668580.0	8374690.0	8548490.0	7465610.0	8479140.0	7556200.0	0	0.0003481013288003756	-0.1628788585884257	False	0.0002384737678855326	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AE67	P0AE67		cheY		1202050.0	1601700.0	1632110.0	1166560.0	1547250.0	1105250.0	0	0.000348177380808317	-0.4607908977467881	False	0.00026497085320614734	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
