Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P60624	P60624		rplX		119446000.0	130423000.0	129910000.0	120243000.0	119202000.0	129275000.0	0	2.411973843659317e-05	-0.1184775564635526	True	2.6595744680851067e-05	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.0
P18355	P18355				3065630.0	2210380.0	2237250.0	3175360.0	3139100.0	2114620.0	0	5.166021894454006e-05	0.515411208355814	False	5.3191489361702134e-05	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.0
P33593	P33593		nikD		618595.0	19147.6	65944.6	689622.0	672168.0	37457.8	3	6.178964177054712e-05	4.014338537753588	False	7.97872340425532e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	1.0
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				72166.3	562005.0	639110.0	82203.1	22554.6	617133.0	2	6.841724549661467e-05	-3.361347319280336	False	0.00010638297872340427	True	True	Human	True	False	False	True	msfragger	manual	min	1.0
P0A6R0	P0A6R0		fabH		17562500.0	19020100.0	18802100.0	17437000.0	17419600.0	18942700.0	0	0.00010621450297296454	-0.11490654578337563	False	0.00013297872340425532	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.0
P28635	P28635		metQ		14703200.0	13022700.0	13234100.0	14753800.0	14627000.0	13088200.0	0	0.00012604013387596915	0.1640748257108625	False	0.0001595744680851064	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.0
P0AFK9	P0AFK9		potD		7215210.0	7903300.0	8039090.0	7328030.0	7207330.0	8002490.0	0	0.00020391077867568162	-0.1386639964860977	False	0.00018617021276595746	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P45578	P45578		luxS		21406100.0	22400600.0	22282200.0	21308700.0	21223200.0	22307900.0	0	0.0002071808547960295	-0.06728721009956172	False	0.00021276595744680854	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AG99	P0AG99		secG		5533760.0	6369060.0	6263760.0	5461180.0	5562320.0	6231470.0	0	0.00020793865505007317	-0.18819385579700404	False	0.0002393617021276596	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0A9Y6	P0A9Y6		cspC		176568000.0	159706000.0	160320000.0	177775000.0	179988000.0	156693000.0	0	0.0002328063007797095	0.16459459339990137	False	0.00026595744680851064	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
