protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	64560.320582223394	50469.57812000002	54383.81841043931	20038012.747454565	20019585.865114905	20069048.399717275	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)			3	6.383716560440464e-08	-8.471310006331453	True	2.6219192448872577e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	64560.320582223394	50469.57812000002	54383.81841043931	22010946.16518429	22289621.65795668	21839511.0548274	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			3	3.4962692045602405e-05	-8.608830264122071	False	5.2438384897745154e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	64560.320582223394	8247145.617052435	7510337.595753977	82923042.19021335	82690950.30108905	88219335.66000652	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)			1	4.0159669305141874e-05	-4.0038736548968386	False	7.865757734661774e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	64560.320582223394	50469.57812000002	54383.81841043931	15270581.773423957	14891018.160327516	14993590.121376654	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)			3	5.591078962928712e-05	-8.058197316020193	False	0.00010487676979549031	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	64560.320582223394	50469.57812000002	54383.81841043931	27598854.48766667	27878026.949152283	28580600.506331705	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)			3	0.00010874225408726215	-8.95468173728282	False	0.00013109596224436288	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	857592.0153763066	445244.4637418645	424655.61476823984	4278667.297825634	4442372.322733696	4188366.615010916	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)			0	0.00015947067411608702	-2.9016716327853254	False	0.00015731515469323548	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	2717120.815211103	2865666.494773724	3745868.961690441	35675378.187281795	36034633.56913403	38430098.47549316	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	0.00015971116916362204	-3.561526861460345	False	0.00018353434714210804	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	64560.320582223394	50469.57812000002	54383.81841043931	55759142.80630204	55205849.02907912	53347076.46287213	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			3	0.00017764194443447705	-9.921672039351114	False	0.00020975353959098062	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	64560.320582223394	50469.57812000002	54383.81841043931	29835514.817782965	28565670.39199265	29607866.61898723	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			3	0.00017791004568401848	-9.02095741221794	False	0.00023597273203985317	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	64560.320582223394	50469.57812000002	54383.81841043931	22634632.49284976	23046069.490877293	21916316.338541385	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			3	0.0002151949211198405	-8.640265109252459	False	0.00026219192448872575	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P45578	55864497.53002605	60135272.08782058	58591690.73580867	77294496.31967412	75773703.61137356	79143050.35384578	P45578	P45578		luxS	0	0.0003667597701341357	-0.4114548749408873	False	0.00028841111693759836	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ADE6	1702838.8330031217	1702720.8923400422	1731728.2778582675	1886203.5486358271	1928990.156068552	1900892.8953989071	P0ADE6	P0ADE6		ygaU	0	0.00037370205266418633	-0.1540208184245372	False	0.00031463030938647097	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	64560.320582223394	50469.57812000002	54383.81841043931	26576585.21348217	25734756.558588453	27550143.11819192	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)			3	0.000389350213622114	-8.880805394761992	False	0.00034084950183534347	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	64560.320582223394	50469.57812000002	54383.81841043931	44123540.39860579	45678693.80969398	42586718.23786388	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			3	0.0004097933025503158	-9.610016330518606	False	0.00036706869428421607	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	64560.320582223394	50469.57812000002	54383.81841043931	8965248.333768385	8405272.57684337	8918468.484547514	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)			3	0.00042140687653708693	-7.2777641807954865	False	0.0003932878867330886	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	64560.320582223394	50469.57812000002	54383.81841043931	17673008.594338886	18879022.015874296	18810934.45123292	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			3	0.00045109639981392665	-8.352226709175559	False	0.00041950707918196123	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
