protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	11012932.163043205	11909392.841766104	12319406.60636974	177951028.419323	178813108.26685008	180043384.68543524	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	3.054326347860903e-08	-3.9290481674243813	True	2.5933609958506227e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	1519613.4294046322	1444438.0289091032	2070611.573046435	17534461.079343334	16893595.358576257	17033682.33599778	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			0	6.172689926541196e-07	-3.3535330758603807	True	5.1867219917012454e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	9194388.995706065	10958140.29503025	10217441.109795092	178113340.44385394	178849493.8955243	181770301.5203682	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	1.8578317516817934e-06	-4.1488533962264	True	7.780082987551868e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	4111641.8647253183	5460651.161734717	5794569.884288636	58559467.22537861	60383326.8211863	57723394.05286573	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	2.9158122835804406e-06	-3.523131371627274	True	0.00010373443983402491	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	5228871.71539418	4954872.493260722	3357719.549036057	36365532.97886367	38705258.70415779	37245191.20467211	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)			0	4.18738769490016e-06	-3.052107642157684	True	0.00012966804979253112	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	5408715.4029885605	5183786.585793367	6097440.655729284	17957843.202041157	18197509.84948976	17396997.906270213	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)			0	5.580222309325958e-06	-1.6819709140923047	True	0.00015560165975103736	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	5869575.545344152	2656884.1504023136	2391278.013415986	39823500.510342434	41189790.629353374	43376454.779746726	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			0	1.6418651640328063e-05	-3.5101217136572997	True	0.00018153526970954357	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	7595953.007898257	8811057.118242307	7934218.736415959	31070791.16277301	32252914.665600896	33076515.13716209	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	2.0668303067624324e-05	-1.9856344492693487	True	0.00020746887966804981	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	3375665.5863015493	2977474.333927349	2763720.282118428	58372573.80722892	59661509.80758706	57762115.26497035	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			0	2.359235764491951e-05	-4.269223012681586	True	0.00023340248962655603	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	2585824.698083593	2053888.767392489	2573652.8199082	24365542.286245983	25129659.4783939	23800144.023977432	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			0	2.9341896582034597e-05	-3.344977002011996	False	0.00025933609958506224	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
