Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A7M9	8.687224324745902e-07	-0.12229198241977812	6.061118963828162	non_sig	rpmE		False	True	2.6274303730951132e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A858	2.102997357757438e-05	-0.17987132685428264	4.677161272968498	non_sig	tpiA		False	True	5.2548607461902265e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0AEK4	4.511406524731145e-05	-0.14807797103235742	4.345688036681342	non_sig	fabI		False	False	7.88229111928534e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A9T0	8.328950970690243e-05	0.044288138373246966	4.079409694431142	non_sig	serA		False	False	0.00010509721492380453	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	8.825859425921238e-05	-1.244690195209035	4.054242994069077	non_sig			False	False	0.00013137151865475564	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A6G7	8.939795806577527e-05	-0.06860702923684414	4.048672400789024	non_sig	clpP		False	False	0.0001576458223857068	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P61320	9.131504113244862e-05	-0.11633064177279095	4.039457680923468	non_sig	lolB		False	False	0.00018392012611665793	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0AFL3	0.00012538895866870148	0.11843984492441706	3.901740704337629	non_sig	ppiA		False	False	0.00021019442984760906	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0AFX0	0.00017882224570946393	0.40863110988112794	3.74757845540638	non_sig	hpf		False	False	0.00023646873357856016	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A715	0.00019249365264291062	-0.07677006156588106	3.715583586506686	non_sig	kdsA		False	False	0.0002627430373095113	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
