Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	3.4548265154984855e-07	-3.6745445258197442	6.461573755888439	down		ids:P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	True	True	2.6246719160104988e-05	True	Human	True	False	False	True	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	5.568273673175271e-05	-1.3908606439825633	4.254279427882221	non_sig			False	False	5.2493438320209976e-05	False	Human	True	False	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	0.0001183798294674415	-1.1186605606650915	3.926722289988447	non_sig			False	False	7.874015748031497e-05	False	Human	True	False	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0ACE7	0.00014223479238713177	-0.035263123982790745	3.846994156816314	non_sig	hinT		False	False	0.00010498687664041995	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P17117	0.00019363185300866692	-0.16645226062304275	3.713023198432579	non_sig	nfsA		False	False	0.00013123359580052493	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A7N9	0.00019475827004057007	0.050280209003112475	3.710504091772329	non_sig	rpmG		False	False	0.00015748031496062994	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0AEX9	0.00023901735648715588	-0.12956583731985205	3.6215705611735904	non_sig	malE		False	False	0.00018372703412073492	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A972	0.0002758461313631736	0.15563372979445944	3.5593331024780657	non_sig	cspE		False	False	0.0002099737532808399	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P32176	0.00037498239609660793	-0.030746507914404475	3.4259891201591017	non_sig	fdoG		False	False	0.00023622047244094488	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0AB71	0.00037849757390992945	-0.10704918928877305	3.421936899891536	non_sig	fbaA		False	False	0.00026246719160104987	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P61175	0.0005498674809843001	0.05950954339252945	3.259741963618134	non_sig	rplV		False	False	0.0002887139107611549	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A850	0.000557956129248188	0.023427226754918706	3.2533999472531887	non_sig	tig		False	False	0.0003149606299212599	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
