Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	9.452445846452082e-07	-1.3475130222691014	6.0244558020537005	down		ids:P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	True	True	2.6136957658128594e-05	True	Human	True	False	False	True	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	3.6465023283115355e-06	-1.0298592853764887	5.43812350480151	down		ids:P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	True	True	5.227391531625719e-05	True	Human	True	False	False	True	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	6.1081215639962924e-06	-1.0939209432811268	5.214092328189384	down		ids:P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	True	True	7.841087297438579e-05	True	Human	True	False	False	True	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	1.1870977181757032e-05	-1.0969853406884589	4.925513529808896	down		ids:P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	True	True	0.00010454783063251438	True	Human	True	False	False	True	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	1.5287968762650372e-05	-1.271144209998834	4.815650213330231	down		ids:P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	True	True	0.00013068478829064296	True	Human	True	False	False	True	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	1.5476173619051033e-05	-1.2395365989266054	4.8103364068021195	down		ids:P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	True	True	0.00015682174594877158	True	Human	True	False	False	True	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	1.8347513189140992e-05	-0.723805902387646	4.736422791434896	down		ids:P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	True	True	0.00018295870360690017	True	Human	True	False	False	True	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	1.8629504744442803e-05	-0.9264803386909648	4.72979869044002	down		ids:P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	True	True	0.00020909566126502875	True	Human	True	False	False	True	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A7V0	2.1218347786672714e-05	0.06006080377862233	4.673288436413327	non_sig	rpsB		False	True	0.00023523261892315734	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	2.837750625233159e-05	-1.2445025224834936	4.547025771966526	down		ids:P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	True	False	0.00026136957658128593	True	Human	True	False	False	True	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
