protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	2528201.3809909653	2577001.272627598	2306673.338658262	5212924.903117621	5281266.6530023925	5002464.117263525	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			0	2.189154107254161e-05	-1.06404625267054	True	2.6205450733752623e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	8468085.043767497	9516616.569923928	9120437.937780429	20089765.026474424	19937387.48865263	19440748.101129517	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	3.101407220780834e-05	-1.1335447107369436	False	5.2410901467505245e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	6102808.947425545	7128832.174533428	6812965.492325493	13215739.33937001	13715571.511876687	13988164.562895125	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	9.022074740398804e-05	-1.0295735457811892	False	7.861635220125787e-05	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.6609640474436812
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	243632.6139159902	244435.56250000023	299885.45070344734	659091.708320445	671699.9090026853	707447.276059952	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			0	9.127443585941461e-05	-1.3711405222378115	False	0.00010482180293501049	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.6609640474436812
P00452	91442936.5910535	91188722.58237071	91342218.24037404	93242248.6562852	93092938.72487852	93130992.74286512	P00452	P00452		nrdA	0	0.00012320809533143866	-0.028635361360674575	False	0.0001310272536687631	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	422885.7635402438	389569.59380000015	468545.8472923497	911517.3525230543	970449.9728890206	881072.9798096009	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			0	0.00016067959423460694	-1.1089847749224684	False	0.00015723270440251574	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.6609640474436812
P08660	14885488.51378312	14955547.74398547	14823339.4597385	14114995.907551164	14237135.146604322	14187482.047717305	P08660	P08660		lysC	0	0.00017551607817590349	0.07031768522261345	False	0.00018343815513626835	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	351216.59262921405	444616.8750000004	437923.41082305374	898835.3191039872	976039.7851129704	990635.9910300504	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	0.00019780121909240708	-1.2157343543434584	False	0.00020964360587002098	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.6609640474436812
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	1682732.0382679556	1729038.395706716	1457677.018486621	3503027.0358411483	3331486.3382738666	3436948.168261853	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	0.00020629120747667686	-1.0768114988605677	False	0.0002358490566037736	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.6609640474436812
P31554	44613919.38765852	44461240.56853125	44672831.46114671	45691806.99979532	45624209.11244077	45794577.270562924	P31554	P31554		lptD	0	0.00021274913614935026	-0.03582281457554689	False	0.0002620545073375262	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	1692045.824705843	1818386.3715435723	1982370.484002944	4285937.707292129	4750493.593209034	4470110.945083628	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			0	0.00023892985438755702	-1.2980440120050156	False	0.00028825995807127885	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.6609640474436812
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	987138.2501665496	1183560.3529126963	1050271.4186472627	2662094.811754493	2620475.5513118133	2575575.0086304755	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)			0	0.00028537322779875214	-1.286693623864247	False	0.0003144654088050315	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.6609640474436812
P69908	6539581.847512933	6549895.457974264	6639136.969777063	7333619.396851989	7391080.069175962	7496084.315212521	P69908	P69908		gadA	0	0.00030734957751758486	-0.17162007931663856	False	0.00034067085953878406	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	699762.6466994057	980128.3514408316	918634.1714076274	2273143.5556692914	2583756.5438578613	2571993.098343094	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			0	0.0003134861739442537	-1.5154542520600378	False	0.0003668763102725367	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.6609640474436812
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	266215.2707929352	236480.7136307991	161220.28964827253	802607.1109477759	764261.7678561588	824431.8879182595	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)			0	0.0003959195426564372	-1.848722375867787	False	0.00039308176100628933	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.6609640474436812
P0AG67	1215892178.0878928	1208744473.9325151	1205996859.136507	1172181779.4075358	1171478757.926002	1163567385.1354291	P0AG67	P0AG67		rpsA	0	0.0005358263651760461	0.04989011746606045	False	0.00041928721174004196	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	849118.8742646038	828043.6250000009	899710.2535100585	1532921.9266625664	1662223.5211235797	1654370.599342343	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			0	0.0005497501607322193	-0.9122194841185564	False	0.0004454926624737946	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.6609640474436812
P0A7S9	263759665.81380868	261278687.5342335	266159261.8592589	246359349.2083143	245269310.3206914	242356422.2356697	P0A7S9	P0A7S9		rpsM	0	0.000568202362952484	0.10828733698398404	False	0.0004716981132075472	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	503542.7670211095	704762.2269377343	498778.4229054796	1574794.592798622	1660801.8833587265	1515346.816488045	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)			0	0.0006033773035710598	-1.4766804292361655	False	0.0004979035639412999	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.6609640474436812
P05055	288031288.9517652	286759842.7621433	289147232.82921666	277616953.2828822	279034540.81195897	279052542.3584717	P05055	P05055		pnp	0	0.0006691479026165932	0.04793628659906553	False	0.0005241090146750524	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.6609640474436812
