Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				683669.0	721842.0	1807950.0	1797410.0	1750500.0	699491.0	0	5.270055521667413e-06	-1.3472966456714057	True	2.6205450733752623e-05	True	True	Human	True	False	False	True	msfragger	manual	min	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				2540680.0	2707810.0	5393530.0	5597340.0	5526330.0	2477690.0	0	6.641629470773143e-06	-1.0961419473143685	True	5.2410901467505245e-05	True	True	Human	True	False	False	True	msfragger	manual	min	0.6609640474436812
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				434851.0	454483.0	977829.0	975353.0	930490.0	461710.0	0	8.324079136214875e-05	-1.0938324159344865	False	7.861635220125787e-05	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				530675.0	545579.0	1226690.0	1242140.0	1218680.0	487187.0	0	0.0001235571594383174	-1.2379221848364326	False	0.00010482180293501049	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				5069440.0	5656940.0	10313300.0	10133800.0	9540000.0	5616790.0	0	0.00014643753158117293	-0.875654165730762	False	0.0001310272536687631	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
P0A7V0	P0A7V0		rpsB		125630000.0	125160000.0	120265000.0	120215000.0	119939000.0	124951000.0	0	0.0002056363846851875	0.0600634812816012	False	0.00015723270440251574	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				421151.0	418520.0	928006.0	880398.0	917791.0	345728.0	0	0.00024211091744168938	-1.201516013743669	False	0.00018343815513626835	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				853474.0	786771.0	1885820.0	1836740.0	2043640.0	709437.0	0	0.0002623396436181695	-1.2951553581010804	False	0.00020964360587002098	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				841995.0	792503.0	1587220.0	1498020.0	1594980.0	827760.0	0	0.00030466265754811424	-0.9265944091839771	False	0.0002358490566037736	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				246463.0	213013.0	784749.0	736054.0	677747.0	171376.0	0	0.0003063785705477648	-1.80117885416252	False	0.0002620545073375262	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				446881.0	372972.0	856447.0	866746.0	949754.0	398955.0	0	0.00031456423644996267	-1.1329603569561375	False	0.00028825995807127885	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				944652.0	1015500.0	1981700.0	1940590.0	1952160.0	899792.0	0	0.0003281642425074759	-1.0384668863900344	False	0.0003144654088050315	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
P0A9Q7	P0A9Q7		adhE		195733000.0	194936000.0	189203000.0	190293000.0	190125000.0	194465000.0	0	0.0005201047489339516	0.03876471576112599	False	0.00034067085953878406	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P18355	P18355				2266770.0	2334380.0	2850120.0	2944010.0	2972660.0	2288820.0	0	0.0005820533627478062	-0.34755098878631585	False	0.0003668763102725367	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				100166.0	147830.0	513759.0	491536.0	487381.0	161569.0	0	0.0006461971050019884	-1.8657367102931885	False	0.00039308176100628933	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
P0A7U3	P0A7U3		rpsS		85371800.0	85199500.0	79328100.0	79679900.0	79776400.0	84415700.0	0	0.0006670057398604642	0.0947151089358626	False	0.00041928721174004196	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				282479.0	228114.0	657542.0	655122.0	642216.0	245195.0	0	0.0007396586491298339	-1.371026533095832	False	0.0004454926624737946	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				884871.0	981656.0	1839220.0	2053880.0	1979490.0	984227.0	0	0.0007475953358998533	-1.0426533681148238	False	0.0004716981132075472	False	True	Human	True	False	False	False	msfragger	manual	min	0.6609640474436812
