Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)				106001.0	5754140.0	40643.6	5638370.0	11797.2	5736820.0	2	6.191466756563623e-08	-6.756371916056192	True	2.6205450733752623e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)				48003.7	6045960.0	40643.6	6122720.0	11797.2	6047040.0	3	7.180435144320002e-07	-7.502641641229635	True	5.2410901467505245e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				48003.7	17543600.0	40643.6	17608600.0	11797.2	17695000.0	3	1.744315347496436e-06	-9.039284656034786	True	7.861635220125787e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)				458640.0	3965330.0	427782.0	4117650.0	240770.0	4133840.0	0	3.1461815740325476e-06	-3.4380636223250702	True	0.00010482180293501049	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)				48003.7	5995930.0	40643.6	6083650.0	11797.2	6107180.0	3	5.428553225764116e-06	-7.50034616810811	True	0.0001310272536687631	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0A7L3	P0A7L3		rplT		37065900.0	44740400.0	37246800.0	44250700.0	36584500.0	44843100.0	0	9.661912177044417e-06	-0.2712238895576156	True	0.00015723270440251574	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P0A7W1	P0A7W1		rpsE		146401000.0	123579000.0	144217000.0	124295000.0	145746000.0	122321000.0	0	1.5844169036236884e-05	0.23724667459863744	True	0.00018343815513626835	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				48003.7	4201930.0	40643.6	4093160.0	11797.2	4208710.0	3	2.2690594378475086e-05	-6.959824228155246	True	0.00020964360587002098	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P30864	P30864		yafC		48003.7	569655.0	40643.6	573028.0	11797.2	588467.0	3	2.499173540901183e-05	-4.107260261928114	True	0.0002358490566037736	True	True	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P0A972	P0A972		cspE		255633000.0	147755000.0	246380000.0	142768000.0	250452000.0	147717000.0	0	2.528800191613326e-05	0.7799033070609236	True	0.0002620545073375262	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
