Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	1.4796881342835038e-09	-1.8031068001192203	8.829829808815788	down		ids:P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	True	True	2.5920165889061693e-05	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	1.2373415005800681e-08	-2.1179126267517816	7.907510420541521	down		ids:P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	True	True	5.1840331778123385e-05	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	1.2879026844664488e-08	-2.1582695997570376	7.89011695156932	down		ids:P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	True	True	7.776049766718508e-05	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	2.0538707457748737e-08	-1.9868301896910197	7.687426890905743	down		ids:P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	True	True	0.00010368066355624677	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	2.2429659737939898e-08	-1.8440305228707707	7.64917731469416	down		ids:P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	True	True	0.00012960082944530845	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	2.2657452387187996e-08	-2.1831560678262214	7.644788923968949	down		ids:P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	True	True	0.00015552099533437016	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	2.5343783746747034e-08	-2.1882875599944676	7.5961285458195755	down		ids:P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	True	True	0.00018144116122343183	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	2.8819314601663297e-08	-1.9266482984549036	7.540316352052741	down		ids:P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	True	True	0.00020736132711249354	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	4.057125657892994e-08	-2.0849805654256635	7.391781541054754	down		ids:P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	True	True	0.00023328149300155522	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	4.781857318791319e-08	-2.1219081118189784	7.320403386519295	down		ids:O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	True	True	0.0002592016588906169	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	5.015401185119057e-08	-1.9287035271468405	7.299694321763252	down		ids:P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	True	True	0.00028512182477967863	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	5.954124901018313e-08	-2.2340751211297025	7.225182059300632	down		ids:P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	True	True	0.0003110419906687403	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	7.299777916969317e-08	-2.0609324966809623	7.136690352331858	down		ids:P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	True	True	0.000336962156557802	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	7.54145974118831e-08	-2.199275523460752	7.122544583018285	down		ids:P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	True	True	0.00036288232244686367	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	9.8645437362486e-08	-1.9318065317535584	7.005922997326339	down		ids:P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	True	True	0.00038880248833592535	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	1.557398836215393e-07	-2.197596197962543	6.8076001541714115	down		ids:P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	True	True	0.0004147226542249871	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	1.6715976562319066e-07	-2.2423830794446715	6.776868246457739	down		ids:P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	True	True	0.00044064282011404876	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	3.0306189314688155e-07	-2.247787597507177	6.518468668173643	down		ids:P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	True	True	0.00046656298600311044	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	3.7789357638311587e-07	-2.2725655767532373	6.4226304903668625	down		ids:P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	True	True	0.0004924831518921722	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	4.09455157744594e-07	-2.098550295053773	6.387793653880234	down		ids:P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	True	True	0.0005184033177812338	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	5.771957298069168e-07	-1.9809312038525917	6.238676890551781	down		ids:P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	True	True	0.0005443234836702955	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	6.178977337204668e-07	-2.142854557648839	6.209083397655628	down		ids:P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	True	True	0.0005702436495593573	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	6.255720160781854e-07	-2.1841768148263156	6.203722686953723	down		ids:P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	True	True	0.0005961638154484189	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	6.451434095289179e-07	-2.197990724719979	6.190343734908623	down		ids:O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	True	True	0.0006220839813374806	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	7.329901242978341e-07	-2.1619161098090096	6.134901876643795	down		ids:P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	True	True	0.0006480041472265422	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	8.262885568170378e-07	-1.901174594725461	6.082868261700325	down		ids:P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	True	True	0.000673924313115604	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	1.0417713278883256e-06	-2.0403450079244863	5.982227599592168	down		ids:P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	True	True	0.0006998444790046657	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	1.1419491403794949e-06	-2.2166891677830733	5.942353238073011	down		ids:P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	True	True	0.0007257646448937273	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	1.8238481612445957e-06	-2.0581405046588657	5.739011320326935	down		ids:P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	True	True	0.0007516848107827891	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	3.145978546253963e-06	-2.0580407182583187	5.502244243338698	down		ids:Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	True	True	0.0007776049766718507	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	3.3615448306139592e-06	-2.2460041626235494	5.473461092483499	down		ids:P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	True	True	0.0008035251425609124	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	3.731450729116831e-06	-2.11510188396883	5.428122288524077	down		ids:P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	True	True	0.0008294453084499742	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	4.194038465150731e-06	-2.3124677963722498	5.377367590769554	down		ids:P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	True	True	0.0008553654743390358	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	5.722299114617182e-06	-2.0137568749367745	5.242429444602673	down		ids:P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	True	True	0.0008812856402280975	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	6.582858323426719e-06	-2.064015198665416	5.181585491712737	down		ids:P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	True	True	0.0009072058061171591	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	6.680928509612131e-06	-1.952672674870957	5.175163175461847	down		ids:Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	True	True	0.0009331259720062209	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	8.81655891473077e-06	-1.731874709489329	5.054700886063823	down		ids:P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	True	True	0.0009590461378952826	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	1.045882225970688e-05	-2.1156433243265695	4.980517217467586	down		ids:P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	True	True	0.0009849663037843443	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	1.1923664311511774e-05	-2.0849519386862845	4.923590259216918	down		ids:P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	True	True	0.001010886469673406	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.160964047443681
