Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				4506580.0	4530540.0	15661700.0	15679200.0	15762900.0	4461020.0	0	9.913989331778158e-09	-1.8030828286562173	True	2.5974025974025975e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				3659590.0	3522440.0	16431100.0	16253000.0	16377600.0	3622330.0	0	1.1928623672517604e-08	-2.18298360831157	True	5.194805194805195e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1386400.0	1454240.0	5749670.0	5633830.0	5712410.0	1318640.0	0	1.607852522312095e-07	-2.0392455035325066	True	7.792207792207793e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)				4916430.0	4512410.0	17545700.0	17535300.0	17818100.0	4741930.0	0	2.1124918574590378e-07	-1.9003250248258396	True	0.0001038961038961039	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				7177590.0	7418310.0	34278900.0	34108500.0	33510100.0	6867950.0	0	3.7874514018842695e-07	-2.247137873603682	True	0.00012987012987012987	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				2043510.0	1992400.0	8004310.0	8060720.0	8234570.0	1807130.0	0	4.2100272644427287e-07	-2.056141494807907	True	0.00015584415584415587	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				7199570.0	6962650.0	29233700.0	29535200.0	28973700.0	6869720.0	0	4.4741764606467986e-07	-2.060695525766954	True	0.00018181818181818183	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				5881070.0	6032350.0	23969500.0	23818800.0	24265700.0	5406830.0	0	6.26020606151715e-07	-2.0566187682459462	True	0.0002077922077922078	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1934360.0	2258230.0	8896620.0	8657520.0	8553460.0	2062830.0	0	1.2238452341273893e-06	-2.061291182890396	True	0.00023376623376623377	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				5730540.0	5609880.0	28145000.0	29328700.0	28327000.0	6836700.0	0	1.990107913995901e-06	-2.238865782237646	True	0.00025974025974025974	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
