Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	7.702494559065769e-10	-3.734356788425206	9.11336859979045	down		ids:P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	True	True	2.6028110359187926e-05	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	1.7962151781275103e-09	-3.6821531274620725	8.74564163811654	down		ids:P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	True	True	5.205622071837585e-05	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	2.399852618975839e-09	-3.7163979415606754	8.619815428592934	down		ids:P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	True	True	7.808433107756378e-05	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	4.1246895849201285e-09	-4.162195873000776	8.3846087299332	down		ids:P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	True	True	0.0001041124414367517	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	4.92934751276408e-09	-3.967219770419433	8.307210563554392	down		ids:P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	True	True	0.0001301405517959396	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	9.403751373088994e-09	-3.4086942764456474	8.026698861759233	down		ids:P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	True	True	0.00015616866215512756	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	9.538147151745562e-09	-3.9122026118441653	8.020535981682176	down		ids:P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	True	True	0.00018219677251431549	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	1.2333993375678929e-08	-3.6785551146934026	7.9088962891598245	down		ids:P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	True	True	0.0002082248828735034	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	1.5809544697726384e-08	-3.8273343793033554	7.80108063722227	down		ids:P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	True	True	0.0002342529932326913	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	2.3161594400861802e-08	-3.8334706608875813	7.635231547895268	down		ids:P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	True	True	0.0002602811035918792	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
