Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1900530.0	28890200.0	1806610.0	1849590.0	28958100.0	29043600.0	0	2.955279121611326e-09	-3.966913649376368	True	2.612330198537095e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				1295030.0	14393800.0	1026000.0	1129220.0	14125600.0	14155700.0	0	3.9967609131927005e-08	-3.628621727570532	True	5.22466039707419e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)				3232300.0	27526900.0	3713890.0	3416150.0	27215400.0	27181100.0	0	4.27526935573242e-08	-2.9829257656551436	True	7.836990595611286e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				2296770.0	18138900.0	1945160.0	2064190.0	18430500.0	18208700.0	0	4.2975631824115126e-08	-3.1187746978329174	True	0.0001044932079414838	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				1328060.0	19081200.0	1229170.0	1289030.0	19275000.0	19225300.0	0	1.4973152973262568e-07	-3.904077177064996	True	0.00013061650992685477	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P77330	P77330		borD		27377600.0	20719400.0	27402700.0	27589300.0	20853000.0	20849700.0	0	7.756418113345867e-07	0.4000550896572574	True	0.00015673981191222572	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				969327.0	13852200.0	830830.0	985618.0	14174700.0	13996800.0	0	1.0269227388693145e-06	-3.9150525455610232	True	0.00018286311389759666	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				406427.0	4393060.0	271615.0	195675.0	4191880.0	4256930.0	0	1.2834529644869782e-06	-3.8775454276583914	True	0.0002089864158829676	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)				1093770.0	5271030.0	1244260.0	1037480.0	5511830.0	5450600.0	0	1.8760185927843398e-06	-2.2657931306545094	True	0.00023510971786833856	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P30864	P30864		yafC		28256.4	1583900.0	73201.5	75492.4	1513630.0	1522280.0	3	2.3616686315759883e-06	-4.706417405996559	True	0.00026123301985370953	True	True	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
