Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1376460.0	1410440.0	1338700.0	11855100.0	11848000.0	11805100.0	0	9.131279702372373e-10	3.1054763726085053	True	2.6695141484249868e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				2799960.0	2924400.0	2956760.0	25719000.0	25941600.0	25911800.0	0	9.039309802253516e-09	3.1595903476731917	True	5.3390282968499735e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				1859670.0	1760890.0	1731540.0	15124700.0	15006200.0	14937800.0	0	2.067940415744192e-08	3.073948859302357	True	8.008542445274962e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				1407090.0	1235090.0	1285220.0	9814200.0	9848280.0	9979510.0	0	2.951881740750643e-08	2.9159958584967813	True	0.00010678056593699947	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				3593030.0	3482190.0	3132760.0	28169100.0	28512200.0	28399500.0	0	5.182018207464612e-08	3.0591361911577253	True	0.00013347570742124932	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				2421270.0	2326120.0	2298990.0	18258400.0	18462900.0	18255000.0	0	1.8693431210042456e-07	2.96385562996969	True	0.00016017084890549923	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				2329340.0	2385720.0	2159260.0	15933500.0	15806000.0	15892600.0	0	2.527071925886271e-07	2.79264523959622	True	0.0001868659903897491	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				689373.0	563109.0	679710.0	4894260.0	4871970.0	4806160.0	0	7.142241088659335e-07	2.9149271458880417	True	0.00021356113187399894	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)				3312730.0	3772840.0	3223370.0	18282200.0	18286300.0	18901200.0	0	8.829699491525525e-07	2.4278039253136514	True	0.0002402562733582488	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1222860.0	1120740.0	1140300.0	11803600.0	11591800.0	11788300.0	0	1.73086516829789e-06	3.336132088667397	True	0.00026695141484249865	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				1677820.0	1637840.0	1600940.0	9669500.0	9830950.0	9686840.0	0	2.211226970519769e-06	2.5696073731409004	True	0.00029364655632674856	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)				760255.0	868101.0	769374.0	5954780.0	6103410.0	6163940.0	0	3.5023495639040753e-06	2.9259504906637845	True	0.00032034169781099847	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0A972	P0A972		cspE		256603000.0	258101000.0	254592000.0	164245000.0	161792000.0	166973000.0	0	3.5385110228900796e-06	-0.6419218970886613	True	0.00034703683929524827	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				2156080.0	2041050.0	2515050.0	15657400.0	15681400.0	15460800.0	0	5.16011730487372e-06	2.8016428889812337	True	0.0003737319807794982	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)				699877.0	710669.0	721345.0	5245040.0	5240830.0	5178920.0	0	5.223756705405099e-06	2.877319846743993	True	0.000400427122263748	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				4609800.0	4981140.0	4628200.0	36866800.0	36849000.0	36018900.0	0	5.525404804608981e-06	2.9481136870454625	True	0.0004271222637479979	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)				1123510.0	927224.0	1223040.0	8208010.0	8683540.0	8528840.0	0	9.222582607608684e-06	2.9569595282531234	True	0.0004538174052322478	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
